,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
1863,316,2011,1449.0,,,,,71.81,,,100.0,,,100.0,,1449.0,,
1864,316,2016,,,,,,80.3,85.0,,,31.58,24.1,,,,31.8,13.0
1865,316,2014,,,,,,77.44,70.0,,,24.65753424657534,30.92105263157895,,,,45.714285714285715,13.110181311018131
1866,317,2017,141.0,82.0,,18.0,,82.0,,11.0,46.0,29.4,27.6,46.0,18.0,141.0,,16.0
1867,317,2015,127.0,,25.0,,199.0,72.81,100.0,,46.0,16.6666666666667,14.29,42.0,,141.0,,21.7741935483871
1868,317,2013,126.0,,15.0,,118.0,76.03,50.0,,46.0,,,41.0,,140.0,,10.273972602739725
1869,317,2011,28.0,,,,,64.75,,,14.0,,,9.0,,42.0,,
1870,317,2016,,,,,,73.2,,,,19.44,24.3,,,,,9.0
1871,317,2014,,,,,,81.13,64.0,,,16.27906976744186,12.903225806451612,,,,60.0,15.584415584415584
1872,318,2017,251.0,97.0,,7.0,,50.0,,7.0,33.0,71.4,65.0,33.0,51.0,251.0,,9.0
1873,318,2015,173.0,,19.0,,323.0,40.0,86.0,,25.0,68.0,42.11,25.0,,173.0,,7.86516853932584
1874,318,2013,173.0,,18.0,,301.0,52.17,100.0,,25.0,,,25.0,,173.0,,9.565217391304348
1875,318,2011,175.0,,,,,51.28,,,9.0,,,25.0,,65.0,,
1876,318,2016,,,,,,38.0,67.0,,,79.17,45.5,,,,,9.0
1877,318,2014,,,,,,50.0,100.0,,,62.5,55.55555555555556,,,,62.5,7.608695652173914
1878,319,2017,1025.0,85.0,,7.0,,59.0,83.0,11.0,95.0,33.3,35.1,95.0,15.0,1025.0,42.5,11.0
1879,319,2015,1085.0,,14.0,,449.0,56.75,90.0,,100.0,46.0869565217391,26.13,100.0,,1085.0,47.06,10.3238866396761
1880,319,2013,1086.0,,10.0,,308.0,85.3,66.0,,100.0,,,100.0,,1086.0,,9.13978494623656
1881,319,2011,1015.0,,,,,51.74,,,100.0,,,100.0,,1015.0,,
1882,319,2016,,,,,,55.5,86.0,,,46.67,40.0,,,,45.7,8.0
1883,319,2014,,,,,,55.86,78.0,,,42.34234234234234,28.000000000000004,,,,62.16216216216216,7.969639468690702
1884,320,2017,445.0,100.0,,22.0,,81.0,,17.0,52.0,83.6,81.5,100.0,76.0,232.0,,4.0
1885,320,2015,467.0,,20.0,,216.0,80.17,100.0,,60.0,81.0810810810811,79.17,100.0,,278.0,,4.0650406504065
1886,320,2013,476.0,,16.0,,168.0,90.23,90.0,,61.0,,,100.0,,288.0,,5.263157894736842
1887,320,2011,475.0,,,,,83.67,,,55.0,,,100.0,,259.0,,
1888,320,2016,,,,,,82.7,,,,91.3,83.3,,,,100.0,1.0
1889,320,2014,,,,,,88.57,100.0,,,73.80952380952381,89.47368421052632,,,,,4.316546762589928
1890,321,2017,476.0,82.0,,5.0,,68.0,88.0,8.0,100.0,20.9,21.9,100.0,7.0,476.0,,23.0
1891,321,2015,477.0,,25.0,,295.0,70.0,81.0,,100.0,15.1515151515152,17.14,100.0,,477.0,12.5,21.8390804597701
1892,321,2013,473.0,,15.0,,174.0,71.95,61.0,,100.0,,,100.0,,473.0,,13.008130081300814
1893,321,2011,481.0,,,,,64.5,,,100.0,,,100.0,,481.0,,
1894,321,2016,,,,,,66.5,70.0,,,19.57,22.2,,,,,19.0
1895,321,2014,,,,,,73.89,69.0,,,20.588235294117645,14.285714285714285,,,,20.0,16.75392670157068
1896,322,2017,357.0,93.0,,10.0,,59.0,88.0,7.0,84.0,41.0,27.8,84.0,18.0,357.0,30.0,13.0
1897,322,2015,426.0,,23.0,,272.0,61.08,88.0,,100.0,47.8260869565217,32.14,100.0,,426.0,27.27,9.88372093023256
1898,322,2013,426.0,,15.0,,173.0,64.52,69.0,,100.0,,,100.0,,426.0,,8.755760368663594
1899,322,2011,426.0,,,,,45.66,,,100.0,,,100.0,,426.0,,
1900,322,2016,,,,,,60.8,60.0,,,45.1,13.3,,,,18.2,9.0
1901,322,2014,,,,,,65.22,57.0,,,36.58536585365854,25.71428571428571,,,,,8.717948717948717
1902,323,2017,568.0,88.0,,6.0,,76.0,91.0,9.0,61.0,27.3,26.8,64.0,15.0,540.0,20.9,16.0
1903,323,2015,792.0,,22.0,,578.0,71.1,91.0,,86.0,33.0275229357798,18.27,89.0,,764.0,28.95,15.3361344537815
1904,323,2013,792.0,,14.0,,355.0,78.22,64.0,,81.0,,,89.0,,721.0,,8.885017421602788
1905,323,2011,838.0,,,,,72.84,,,81.0,,,94.0,,721.0,,
1906,323,2016,,,,,,79.9,85.0,,,33.02,22.8,,,,29.0,16.0
1907,323,2014,,,,,,77.43,74.0,,,33.04347826086956,20.72072072072072,,,,42.22222222222222,15.151515151515152
1908,324,2017,70.0,95.0,,8.0,,67.0,86.0,8.0,1.0,42.9,52.0,12.0,53.0,3.0,,15.0
1909,324,2015,68.0,,17.0,,275.0,63.27,90.0,,1.0,39.1304347826087,23.08,12.0,,4.0,,6.30630630630631
1910,324,2013,69.0,,14.0,,233.0,70.63,69.0,,1.0,,,12.0,,4.0,,9.375
1911,324,2011,69.0,,,,,67.79,,,12.0,,,12.0,,69.0,,
1912,324,2016,,,,,,65.8,90.0,,,55.17,23.5,,,,33.3,11.0
1913,324,2014,,,,,,66.43,100.0,,,53.84615384615385,30.303030303030305,,,,70.0,12.162162162162163
1914,325,2017,1017.0,83.0,,9.0,,70.0,87.0,7.0,90.0,41.3,38.8,90.0,34.0,1017.0,39.1,14.0
1915,325,2015,1017.0,,21.0,,572.0,70.11,89.0,,90.0,57.1428571428571,32.88,90.0,,1010.0,33.33,6.93069306930693
1916,325,2013,1020.0,,15.0,,401.0,70.41,79.0,,91.0,,,91.0,,1013.0,,6.205250596658711
1917,325,2011,1019.0,,,,,64.9,,,94.0,,,91.0,,1052.0,,
1918,325,2016,,,,,,68.4,89.0,,,46.51,33.7,,,,33.3,15.0
1919,325,2014,,,,,,70.83,88.0,,,50.74626865671642,31.32530120481928,,,,23.076923076923077,10.684931506849315
1920,326,2017,317.0,80.0,,9.0,,77.0,,19.0,75.0,25.6,7.4,77.0,9.0,306.0,,15.0
1921,326,2015,307.0,,27.0,,258.0,71.82,58.0,,75.0,10.0,9.38,75.0,,307.0,14.29,24.7863247863248
1922,326,2013,307.0,,15.0,,143.0,80.61,31.0,,75.0,,,75.0,,307.0,,17.346938775510203
1923,326,2011,307.0,,,,,76.79,,,75.0,,,75.0,,307.0,,
1924,326,2016,,,,,,70.2,,,,12.5,5.7,,,,14.3,15.0
1925,326,2014,,,,,,67.9,71.0,,,17.24137931034483,6.8181818181818175,,,,,27.439024390243905
1926,327,2017,626.0,73.0,,4.0,,66.0,74.0,13.0,100.0,34.8,22.4,100.0,4.0,626.0,26.9,21.0
1927,327,2015,626.0,,22.0,,370.0,70.86,75.0,,100.0,30.6930693069307,24.29,100.0,,626.0,52.94,16.1904761904762
1928,327,2013,626.0,,13.0,,222.0,76.01,61.0,,100.0,,,100.0,,626.0,,11.590296495956872
1929,327,2011,627.0,,,,,51.98,,,100.0,,,100.0,,627.0,,
1930,327,2016,,,,,,63.8,69.0,,,32.65,28.0,,,,14.3,19.0
1931,327,2014,,,,,,73.2,60.0,,,34.93975903614458,21.428571428571427,,,,33.33333333333333,15.57632398753894
1932,328,2017,304.0,91.0,,8.0,,57.0,,36.0,94.0,34.5,37.5,80.0,25.0,356.0,40.0,14.0
1933,328,2015,321.0,,15.0,,164.0,50.0,89.0,,97.0,37.5,26.92,84.0,,372.0,,17.5438596491228
1934,328,2013,321.0,,12.0,,130.0,67.5,92.0,,97.0,,,84.0,,372.0,,11.666666666666666
1935,328,2011,321.0,,,,,63.06,,,93.0,,,84.0,,357.0,,
1936,328,2016,,,,,,52.9,91.0,,,37.5,25.8,,,,37.5,14.0
1937,328,2014,,,,,,56.59,100.0,,,46.875,6.25,,,,40.0,17.91044776119403
1938,329,2017,737.0,99.0,,12.0,,60.0,96.0,34.0,100.0,52.8,37.5,96.0,34.0,761.0,37.5,14.0
1939,329,2015,732.0,,19.0,,390.0,60.2,84.0,,100.0,42.6666666666667,37.33,96.0,,756.0,60.71,9.20634920634921
1940,329,2013,746.0,,12.0,,247.0,64.39,88.0,,100.0,,,98.0,,758.0,,7.977207977207977
1941,329,2011,746.0,,,,,69.04,,,100.0,,,98.0,,759.0,,
1942,329,2016,,,,,,58.2,100.0,,,45.83,45.2,,,,40.9,9.0
1943,329,2014,,,,,,64.63,91.0,,,47.2972972972973,29.850746268656714,,,,25.0,13.414634146341465
1944,330,2017,209.0,80.0,,13.0,,66.0,93.0,6.0,27.0,44.1,33.3,27.0,31.0,209.0,25.0,15.0
1945,330,2015,498.0,,21.0,,447.0,66.56,69.0,,63.0,43.5897435897436,26.51,67.0,,465.0,47.37,14.0
1946,330,2013,495.0,,14.0,,286.0,73.91,91.0,,58.0,,,67.0,,432.0,,7.246376811594203
1947,330,2011,495.0,,,,,71.89,,,88.0,,,67.0,,655.0,,
1948,330,2016,,,,,,64.6,97.0,,,44.57,38.5,,,,21.7,15.0
1949,330,2014,,,,,,72.01,84.0,,,42.857142857142854,20.51282051282051,,,,52.17391304347826,13.838120104438643
1950,331,2017,654.0,99.0,,19.0,,55.0,77.0,4.0,97.0,21.3,35.3,92.0,59.0,691.0,50.0,23.0
1951,331,2015,643.0,,16.0,,260.0,60.87,,,97.0,33.3333333333333,43.75,92.0,,677.0,50.0,17.0731707317073
1952,331,2013,643.0,,11.0,,184.0,63.33,69.0,,97.0,,,92.0,,677.0,,10.0
1953,331,2011,643.0,,,,,72.92,,,97.0,,,92.0,,677.0,,
1954,331,2016,,,,,,56.1,,,,34.48,54.2,,,,36.4,14.0
1955,331,2014,,,,,,59.46,78.0,,,46.15384615384615,41.935483870967744,,,,33.33333333333333,11.016949152542372
1956,332,2017,103.0,97.0,,10.0,,68.0,89.0,12.0,14.0,41.3,40.7,14.0,36.0,103.0,40.9,13.0
1957,332,2015,107.0,,20.0,,350.0,71.09,95.0,,16.0,36.0,27.87,16.0,,107.0,11.11,5.77777777777778
1958,332,2013,108.0,,13.0,,204.0,81.72,88.0,,17.0,,,17.0,,108.0,,7.526881720430108
1959,332,2011,107.0,,,,,79.11,,,18.0,,,18.0,,108.0,,
1960,332,2016,,,,,,70.6,86.0,,,48.21,34.4,,,,28.6,10.0
1961,332,2014,,,,,,77.95,88.0,,,27.450980392156865,26.984126984126984,,,,26.666666666666668,11.787072243346007
1962,333,2017,1005.0,75.0,,7.0,,77.0,76.0,9.0,94.0,37.8,30.0,94.0,13.0,1005.0,46.9,13.0
1963,333,2015,1028.0,,16.0,,465.0,83.3,84.0,,99.0,38.5964912280702,19.09,99.0,,1028.0,17.65,11.3590263691684
1964,333,2013,1018.0,,9.0,,272.0,82.34,83.0,,99.0,,,99.0,,1018.0,,10.48951048951049
1965,333,2011,1013.0,,,,,75.1,,,100.0,,,99.0,,1022.0,,
1966,333,2016,,,,,,78.8,82.0,,,35.46,26.1,,,,20.8,13.0
1967,333,2014,,,,,,80.27,93.0,,,43.80952380952381,22.608695652173914,,,,50.0,13.754646840148698
1968,334,2017,0.0,96.0,,41.0,,46.0,,65.0,100.0,,,0.0,66.0,356.0,,10.0
1969,334,2015,0.0,,20.0,,146.0,40.91,,,100.0,80.0,,0.0,,356.0,,0.0
1970,334,2013,356.0,,15.0,,114.0,66.67,,,100.0,,,100.0,,356.0,,18.51851851851852
1971,334,2011,360.0,,,,,69.81,,,100.0,,,100.0,,360.0,,
1972,334,2016,,,,,,53.9,,,,55.56,40.0,,,,,8.0
1973,334,2014,,,,,,40.0,,,,66.66666666666666,60.0,,,,,5.769230769230769
1974,335,2017,60.0,97.0,,7.0,,87.0,98.0,10.0,7.0,75.9,74.8,5.0,59.0,83.0,62.5,5.0
1975,335,2015,429.0,,21.0,,704.0,91.5,97.0,,39.0,79.3478260869565,75.81,39.0,,429.0,78.95,6.18101545253863
1976,335,2013,406.0,,15.0,,471.0,93.32,90.0,,40.0,,,38.0,,426.0,,5.534351145038168
1977,335,2011,398.0,,,,,93.22,,,83.0,,,38.0,,862.0,,
1978,335,2016,,,,,,90.3,100.0,,,83.5,80.2,,,,74.2,5.0
1979,335,2014,,,,,,93.63,98.0,,,74.48979591836735,72.8,,,,76.66666666666667,4.8
1980,336,2017,1491.0,96.0,,8.0,,70.0,98.0,7.0,58.0,41.8,28.7,78.0,42.0,1099.0,33.3,12.0
1981,336,2015,1322.0,,15.0,,721.0,75.0,93.0,,49.0,48.7394957983193,39.36,71.0,,911.0,46.67,6.9620253164557
1982,336,2013,1261.0,,10.0,,470.0,82.2,85.0,,50.0,,,70.0,,894.0,,8.135593220338983
1983,336,2011,1089.0,,,,,83.01,,,55.0,,,67.0,,899.0,,
1984,336,2016,,,,,,73.9,98.0,,,48.09,34.7,,,,42.1,7.0
1985,336,2014,,,,,,77.48,96.0,,,44.800000000000004,44.871794871794876,,,,39.39393939393939,7.663551401869159
1986,337,2017,0.0,93.0,,12.0,,71.0,100.0,13.0,48.0,56.9,35.9,0.0,58.0,356.0,,7.0
1987,337,2015,585.0,,23.0,,445.0,72.39,89.0,,85.0,62.2222222222222,45.16,83.0,,599.0,41.67,7.78443113772455
1988,337,2013,0.0,,16.0,,305.0,78.2,89.0,,47.0,,,0.0,,333.0,,6.161137440758294
1989,337,2011,0.0,,,,,79.5,,,47.0,,,0.0,,334.0,,
1990,337,2016,,,,,,71.1,100.0,,,56.36,34.9,,,,25.0,10.0
1991,337,2014,,,,,,71.51,93.0,,,68.88888888888889,41.935483870967744,,,,15.384615384615385,10.106382978723403
1992,338,2017,0.0,84.0,,8.0,,78.0,,10.0,100.0,31.6,,0.0,51.0,1295.0,,18.0
1993,338,2015,1022.0,,11.0,,237.0,80.65,83.0,,100.0,11.4285714285714,7.41,77.0,,1334.0,66.67,23.8805970149254
1994,338,2013,1053.0,,9.0,,149.0,70.55,33.0,,100.0,,,100.0,,1053.0,,17.123287671232877
1995,338,2011,1053.0,,,,,79.1,,,100.0,,,100.0,,1053.0,,
1996,338,2016,,,,,,74.5,75.0,,,26.83,,,,,20.0,23.0
1997,338,2014,,,,,,78.0,57.0,,,19.230769230769234,12.5,,,,66.66666666666666,17.857142857142858
1998,339,2017,444.0,100.0,,6.0,,73.0,,5.0,100.0,,,33.0,87.0,1341.0,,13.0
1999,339,2015,448.0,,7.0,,114.0,66.67,,,100.0,62.5,,41.0,,1099.0,,0.0
2000,339,2013,954.0,,8.0,,102.0,50.0,,,100.0,,,100.0,,954.0,,12.5
2001,339,2011,889.0,,,,,44.44,,,100.0,,,100.0,,889.0,,
2002,339,2016,,,,,,63.6,,,,42.86,,,,,,9.0
2003,339,2014,,,,,,63.64,,,,,,,,,,18.181818181818183
2004,340,2017,4003.0,92.0,,7.0,,59.0,,7.0,100.0,25.0,20.0,100.0,73.0,4003.0,,25.0
