,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
0,2,2017,1078.0,90.0,,5.0,,50.0,90.0,21.0,61.0,55.9,37.8,100.0,38.0,663.0,50.0,12.0
1,2,2015,1078.0,,20.0,,443.0,47.5,83.0,,61.0,34.1463414634146,41.67,100.0,,662.0,,11.5151515151515
2,2,2013,1080.0,,16.0,,354.0,49.34,61.0,,61.0,,,100.0,,664.0,,8.81057268722467
3,2,2011,1081.0,,,,,45.54,,,100.0,,,100.0,,1082.0,,
4,2,2016,,,,,,46.1,86.0,,,37.5,28.2,,,,55.6,15.0
5,2,2014,,,,,,48.96,75.0,,,39.473684210526315,45.83333333333333,,,,63.63636363636363,11.5
6,3,2017,3848.0,96.0,,4.0,,82.0,95.0,4.0,78.0,86.1,82.3,73.0,79.0,4109.0,68.2,5.0
7,3,2015,3316.0,,17.0,,1338.0,76.84,100.0,,70.0,84.2105263157895,79.52,70.0,,3317.0,65.0,5.72139303482587
8,3,2013,3622.0,,14.0,,1064.0,76.39,88.0,,70.0,,,76.0,,3306.0,,5.555555555555555
9,3,2011,3343.0,,,,,69.9,,,80.0,,,75.0,,3559.0,,
10,3,2016,,,,,,79.6,100.0,,,87.31,85.0,,,,62.5,6.0
11,3,2014,,,,,,74.94,91.0,,,86.36363636363636,77.94117647058823,,,,66.66666666666666,5.673758865248227
12,4,2017,169.0,100.0,,15.0,,85.0,92.0,14.0,40.0,96.6,81.8,41.0,87.0,163.0,,4.0
13,4,2015,173.0,,19.0,,209.0,81.82,100.0,,41.0,86.3636363636364,82.86,43.0,,167.0,83.33,0.909090909090909
14,4,2013,162.0,,16.0,,170.0,86.18,100.0,,39.0,,,40.0,,156.0,,2.4390243902439024
15,4,2011,162.0,,,,,84.11,,,44.0,,,40.0,,175.0,,
16,4,2016,,,,,,79.5,100.0,,,96.15,85.7,,,,66.7,2.0
17,4,2014,,,,,,86.11,100.0,,,82.6086956521739,86.20689655172413,,,,,3.7037037037037033
18,5,2017,319.0,89.0,,4.0,,64.0,77.0,12.0,99.0,31.4,24.3,99.0,2.0,319.0,,24.0
19,5,2015,331.0,,19.0,,141.0,69.23,100.0,,100.0,16.6666666666667,6.67,100.0,,331.0,16.67,23.5294117647059
20,5,2013,329.0,,9.0,,72.0,74.68,80.0,,100.0,,,100.0,,329.0,,22.151898734177212
21,5,2011,332.0,,,,,69.7,,,100.0,,,100.0,,332.0,,
22,5,2016,,,,,,70.0,80.0,,,20.0,17.7,,,,50.0,17.0
23,5,2014,,,,,,73.17,50.0,,,16.666666666666664,12.903225806451612,,,,11.11111111111111,21.428571428571427
24,6,2017,814.0,64.0,,4.0,,61.0,88.0,1.0,100.0,28.8,22.6,100.0,7.0,814.0,31.3,20.0
25,6,2015,817.0,,18.0,,311.0,65.94,61.0,,100.0,17.741935483871,20.75,100.0,,817.0,20.0,19.5219123505976
26,6,2013,820.0,,12.0,,210.0,74.1,56.0,,100.0,,,100.0,,820.0,,15.737704918032788
27,6,2011,825.0,,,,,66.56,,,100.0,,,100.0,,825.0,,
28,6,2016,,,,,,67.4,72.0,,,21.52,20.3,,,,28.6,21.0
29,6,2014,,,,,,65.33,62.0,,,25.0,17.857142857142858,,,,25.0,20.74829931972789
30,7,2017,367.0,100.0,,4.0,,99.0,100.0,4.0,0.0,,94.4,85.0,88.0,0.0,,1.0
31,7,2015,360.0,,15.0,,196.0,97.18,100.0,,0.0,94.4444444444444,100.0,85.0,,0.0,,1.40845070422535
32,7,2013,357.0,,11.0,,147.0,97.75,83.0,,0.0,,,84.0,,0.0,,1.1235955056179776
33,7,2011,355.0,,,,,97.73,,,27.0,,,85.0,,113.0,,
34,7,2016,,,,,,97.3,,,,90.91,100.0,,,,,1.0
35,7,2014,,,,,,97.67,100.0,,,90.0,100.0,,,,,4.651162790697675
36,8,2017,208.0,95.0,,14.0,,41.0,,13.0,21.0,81.3,76.2,20.0,60.0,215.0,,11.0
37,8,2015,208.0,,14.0,,260.0,38.1,,,20.0,79.3103448275862,83.33,20.0,,208.0,,9.09090909090909
38,8,2013,206.0,,15.0,,229.0,37.5,,,20.0,,,20.0,,208.0,,4.166666666666666
39,8,2011,199.0,,,,,31.08,,,48.0,,,22.0,,431.0,,
40,8,2016,,,,,,32.9,,,,74.07,70.6,,,,,8.0
41,8,2014,,,,,,33.33,,,,81.81818181818183,71.42857142857143,,,,,10.76923076923077
42,9,2017,294.0,86.0,,11.0,,18.0,,11.0,100.0,,,100.0,45.0,294.0,,11.0
43,9,2015,302.0,,17.0,,106.0,30.43,,,100.0,40.0,28.57,100.0,,302.0,,20.6896551724138
44,9,2013,305.0,,15.0,,87.0,27.91,,,100.0,,,100.0,,305.0,,9.30232558139535
45,9,2011,305.0,,,,,35.29,,,100.0,,,100.0,,305.0,,
46,9,2016,,,,,,32.6,,,,40.0,25.0,,,,,4.0
47,9,2014,,,,,,13.64,,,,60.0,16.666666666666664,,,,,12.0
48,10,2017,1586.0,76.0,,6.0,,71.0,88.0,7.0,100.0,34.3,20.3,100.0,24.0,1586.0,18.8,15.0
49,10,2015,1592.0,,17.0,,624.0,70.77,61.0,,100.0,24.1758241758242,30.77,100.0,,1592.0,22.22,19.3083573487032
50,10,2013,1595.0,,13.0,,454.0,76.73,59.0,,100.0,,,100.0,,1595.0,,13.017751479289942
51,10,2011,1599.0,,,,,53.24,,,100.0,,,100.0,,1599.0,,
52,10,2016,,,,,,66.4,71.0,,,31.31,27.3,,,,33.3,17.0
53,10,2014,,,,,,70.8,56.0,,,26.041666666666668,29.78723404255319,,,,6.666666666666667,20.506329113924053
54,11,2017,1014.0,99.0,,9.0,,70.0,100.0,8.0,82.0,89.9,85.5,82.0,80.0,1011.0,,3.0
55,11,2015,1009.0,,20.0,,534.0,69.81,100.0,,82.0,88.0434782608696,95.74,82.0,,1006.0,85.71,1.8796992481203
56,11,2013,998.0,,16.0,,400.0,75.0,100.0,,82.0,,,82.0,,994.0,,3.5211267605633805
57,11,2011,993.0,,,,,72.22,,,89.0,,,82.0,,1071.0,,
58,11,2016,,,,,,72.9,100.0,,,88.17,88.7,,,,92.9,3.0
59,11,2014,,,,,,69.9,100.0,,,87.14285714285714,82.45614035087719,,,,100.0,3.6544850498338874
60,12,2017,1257.0,77.0,,4.0,,84.0,86.0,19.0,100.0,22.7,19.3,100.0,22.0,1257.0,23.3,19.0
61,12,2015,1257.0,,16.0,,438.0,83.58,78.0,,100.0,23.6559139784946,22.77,100.0,,1257.0,50.0,19.5402298850575
62,12,2013,1257.0,,11.0,,292.0,82.23,52.0,,100.0,,,100.0,,1257.0,,12.072892938496583
63,12,2011,1257.0,,,,,68.32,,,100.0,,,100.0,,1257.0,,
64,12,2016,,,,,,77.5,78.0,,,22.73,21.3,,,,34.3,16.0
65,12,2014,,,,,,81.97,85.0,,,25.842696629213485,18.27956989247312,,,,25.0,17.381489841986454
66,13,2017,1831.0,95.0,,6.0,,67.0,83.0,23.0,84.0,32.9,30.4,100.0,35.0,1539.0,,12.0
67,13,2015,1827.0,,17.0,,621.0,69.64,60.0,,84.0,39.7260273972603,32.61,100.0,,1535.0,20.0,11.284046692607
68,13,2013,1810.0,,14.0,,488.0,64.61,50.0,,84.0,,,100.0,,1518.0,,7.792207792207792
69,13,2011,1812.0,,,,,68.83,,,92.0,,,100.0,,1665.0,,
70,13,2016,,,,,,65.2,77.0,,,40.0,24.2,,,,,14.0
71,13,2014,,,,,,63.06,64.0,,,46.96969696969697,30.0,,,,53.84615384615385,9.03010033444816
72,14,2017,1607.0,93.0,,8.0,,69.0,93.0,8.0,100.0,41.9,32.3,100.0,42.0,1609.0,40.0,12.0
73,14,2015,1595.0,,17.0,,661.0,76.46,97.0,,100.0,41.1214953271028,35.43,99.0,,1614.0,50.0,10.2880658436214
74,14,2013,1105.0,,12.0,,431.0,76.55,95.0,,81.0,,,68.0,,1315.0,,7.980456026058631
75,14,2011,1103.0,,,,,78.97,,,81.0,,,68.0,,1314.0,,
76,14,2016,,,,,,71.8,91.0,,,41.05,34.1,,,,67.9,9.0
77,14,2014,,,,,,76.28,97.0,,,43.29896907216495,39.25925925925926,,,,50.0,8.531746031746032
78,15,2017,475.0,89.0,,17.0,,60.0,100.0,27.0,56.0,79.6,64.7,56.0,56.0,471.0,62.5,8.0
79,15,2015,461.0,,20.0,,436.0,62.03,100.0,,55.0,64.8648648648649,62.79,55.0,,457.0,50.0,5.55555555555556
80,15,2013,4.0,,17.0,,352.0,55.84,80.0,,57.0,,,0.0,,474.0,,4.060913705583756
81,15,2011,3.0,,,,,47.78,,,77.0,,,0.0,,635.0,,
82,15,2016,,,,,,61.8,100.0,,,61.54,68.3,,,,42.9,11.0
83,15,2014,,,,,,57.96,91.0,,,72.22222222222221,62.16216216216216,,,,,5.590062111801243
84,16,2017,2106.0,87.0,,5.0,,72.0,93.0,4.0,100.0,46.7,33.1,100.0,28.0,2113.0,31.8,12.0
85,16,2015,1988.0,,22.0,,1030.0,76.16,75.0,,98.0,38.2165605095541,27.21,94.0,,2076.0,27.59,12.8125
86,16,2013,2105.0,,16.0,,750.0,73.73,70.0,,100.0,,,100.0,,2112.0,,9.028727770177838
87,16,2011,2112.0,,,,,64.71,,,100.0,,,100.0,,2119.0,,
88,16,2016,,,,,,75.3,94.0,,,40.2,27.3,,,,33.3,11.0
89,16,2014,,,,,,73.2,80.0,,,31.543624161073826,27.027027027027028,,,,24.324324324324326,12.427745664739884
90,17,2017,1253.0,84.0,,5.0,,72.0,78.0,6.0,100.0,33.6,22.7,100.0,22.0,1253.0,14.9,18.0
91,17,2015,1256.0,,17.0,,574.0,71.93,81.0,,100.0,36.2204724409449,19.83,100.0,,1256.0,37.93,11.6803278688525
92,17,2013,1256.0,,12.0,,409.0,75.66,78.0,,100.0,,,100.0,,1256.0,,11.423220973782772
93,17,2011,1256.0,,,,,67.24,,,100.0,,,100.0,,1256.0,,
94,17,2016,,,,,,71.3,91.0,,,32.84,24.3,,,,31.3,14.0
95,17,2014,,,,,,76.32,81.0,,,35.84905660377358,26.717557251908396,,,,30.0,11.602209944751381
96,18,2017,386.0,98.0,,22.0,,83.0,100.0,27.0,25.0,72.7,79.3,23.0,75.0,409.0,65.2,7.0
97,18,2015,554.0,,17.0,,570.0,83.73,89.0,,10.0,76.0,81.54,33.0,,172.0,50.0,3.27868852459016
98,18,2013,383.0,,15.0,,486.0,79.44,88.0,,10.0,,,23.0,,168.0,,6.2717770034843205
99,18,2011,377.0,,,,,81.86,,,39.0,,,24.0,,621.0,,
100,18,2016,,,,,,83.9,100.0,,,78.82,71.4,,,,63.6,5.0
101,18,2014,,,,,,81.29,91.0,,,76.62337662337663,75.92592592592592,,,,70.0,4.844290657439446
102,19,2017,1001.0,98.0,,6.0,,68.0,100.0,6.0,33.0,80.6,67.4,57.0,59.0,574.0,65.0,8.0
103,19,2015,1001.0,,18.0,,675.0,67.01,88.0,,33.0,75.3424657534247,76.06,57.0,,574.0,91.67,7.26072607260726
104,19,2013,1006.0,,17.0,,595.0,70.31,93.0,,39.0,,,57.0,,684.0,,5.322128851540616
105,19,2011,1005.0,,,,,67.83,,,39.0,,,57.0,,683.0,,
106,19,2016,,,,,,66.5,97.0,,,75.76,76.6,,,,57.9,5.0
107,19,2014,,,,,,64.0,87.0,,,72.0,73.75,,,,73.33333333333333,9.26517571884984
108,20,2017,502.0,95.0,,14.0,,92.0,100.0,13.0,22.0,69.1,67.0,35.0,62.0,314.0,66.7,3.0
109,20,2015,549.0,,22.0,,702.0,95.25,100.0,,43.0,65.7142857142857,61.9,38.0,,624.0,79.17,5.53846153846154
110,20,2013,956.0,,17.0,,541.0,93.95,100.0,,79.0,,,66.0,,1151.0,,6.744186046511628
111,20,2011,957.0,,,,,93.28,,,75.0,,,66.0,,1092.0,,
112,20,2016,,,,,,91.9,85.0,,,76.4,67.4,,,,79.2,6.0
113,20,2014,,,,,,93.98,96.0,,,69.44444444444444,65.47619047619048,,,,85.0,5.8495821727019495
114,21,2017,1219.0,77.0,,5.0,,72.0,92.0,7.0,100.0,37.1,34.6,100.0,11.0,1219.0,30.0,12.0
115,21,2015,1207.0,,25.0,,738.0,75.0,90.0,,100.0,39.6551724137931,31.43,99.0,,1219.0,46.67,7.38255033557047
116,21,2013,1215.0,,18.0,,510.0,79.1,55.0,,100.0,,,100.0,,1211.0,,7.421875
117,21,2011,1167.0,,,,,59.51,,,100.0,,,100.0,,1167.0,,
118,21,2016,,,,,,67.1,90.0,,,42.03,36.0,,,,30.0,13.0
119,21,2014,,,,,,77.75,57.0,,,39.44954128440367,23.232323232323232,,,,28.57142857142857,9.915611814345992
120,22,2017,639.0,86.0,,9.0,,58.0,,4.0,81.0,,23.1,92.0,35.0,565.0,,30.0
121,22,2015,490.0,,15.0,,141.0,67.57,,,84.0,44.4444444444444,8.33,98.0,,417.0,,16.2162162162162
122,22,2013,329.0,,12.0,,109.0,56.36,33.0,,87.0,,,90.0,,316.0,,7.2727272727272725
123,22,2011,432.0,,,,,69.64,,,90.0,,,93.0,,419.0,,
124,22,2016,,,,,,69.8,,,,37.5,54.6,,,,,14.0
125,22,2014,,,,,,65.31,,,,23.076923076923077,15.384615384615385,,,,,5.88235294117647
126,23,2017,378.0,82.0,,8.0,,84.0,79.0,21.0,66.0,22.8,13.0,69.0,15.0,364.0,,14.0
127,23,2015,378.0,,32.0,,352.0,81.82,67.0,,66.0,26.9230769230769,23.91,69.0,,364.0,50.0,12.565445026178
128,23,2013,415.0,,22.0,,242.0,81.56,88.0,,73.0,,,75.0,,401.0,,11.475409836065573
129,23,2011,415.0,,,,,71.66,,,76.0,,,76.0,,415.0,,
130,23,2016,,,,,,79.7,89.0,,,34.85,15.1,,,,40.0,16.0
131,23,2014,,,,,,82.32,82.0,,,28.57142857142857,20.51282051282051,,,,20.0,17.616580310880828
132,24,2017,360.0,81.0,,16.0,,72.0,92.0,13.0,93.0,32.3,16.7,81.0,47.0,414.0,,13.0
133,24,2015,443.0,,16.0,,185.0,70.37,67.0,,93.0,45.945945945946,25.0,99.0,,417.0,57.14,10.0719424460432
134,24,2013,464.0,,11.0,,131.0,74.71,77.0,,92.0,,,98.0,,434.0,,13.529411764705882
135,24,2011,465.0,,,,,75.71,,,92.0,,,98.0,,436.0,,
136,24,2016,,,,,,65.0,77.0,,,33.33,25.0,,,,50.0,9.0
137,24,2014,,,,,,76.06,67.0,,,36.0,32.35294117647059,,,,50.0,15.032679738562091
138,25,2017,200.0,99.0,,7.0,,93.0,100.0,9.0,2.0,85.3,82.6,18.0,67.0,22.0,73.7,5.0
139,25,2015,299.0,,19.0,,575.0,95.34,94.0,,2.0,84.2592592592593,90.0,27.0,,22.0,88.1,5.06024096385542
140,25,2013,299.0,,16.0,,462.0,96.23,100.0,,2.0,,,27.0,,22.0,,3.563941299790356
141,25,2011,298.0,,,,,96.54,,,2.0,,,27.0,,22.0,,
142,25,2016,,,,,,94.4,94.0,,,85.59,90.0,,,,87.5,3.0
143,25,2014,,,,,,96.26,98.0,,,81.03448275862068,86.72566371681415,,,,89.1891891891892,6.209850107066381
144,26,2017,61.0,96.0,,8.0,,69.0,95.0,8.0,6.0,59.0,52.8,6.0,45.0,61.0,34.8,7.0
145,26,2015,64.0,,17.0,,514.0,72.46,100.0,,6.0,63.3802816901408,54.32,6.0,,64.0,77.27,7.64331210191083
146,26,2013,62.0,,12.0,,384.0,84.34,93.0,,6.0,,,6.0,,62.0,,4.47427293064877
147,26,2011,63.0,,,,,86.39,,,5.0,,,6.0,,51.0,,
148,26,2016,,,,,,67.4,92.0,,,60.26,57.8,,,,40.7,8.0
149,26,2014,,,,,,79.78,90.0,,,65.75342465753424,49.46236559139785,,,,54.166666666666664,10.372340425531915
150,27,2017,630.0,84.0,,9.0,,83.0,100.0,26.0,60.0,38.5,41.2,64.0,35.0,596.0,40.0,11.0
151,27,2015,630.0,,20.0,,535.0,85.23,89.0,,60.0,43.6363636363636,46.53,64.0,,596.0,52.17,9.82658959537572
152,27,2013,988.0,,14.0,,378.0,86.52,78.0,,100.0,,,100.0,,988.0,,7.103825136612022
153,27,2011,990.0,,,,,73.84,,,100.0,,,100.0,,990.0,,
154,27,2016,,,,,,82.9,94.0,,,50.38,38.4,,,,40.5,10.0
155,27,2014,,,,,,84.71,96.0,,,43.22033898305085,36.36363636363637,,,,56.666666666666664,8.761904761904763
156,28,2017,488.0,100.0,,15.0,,88.0,,15.0,81.0,82.1,88.2,88.0,67.0,450.0,81.8,6.0
157,28,2015,485.0,,20.0,,238.0,84.68,80.0,,81.0,71.875,89.19,88.0,,447.0,,3.53982300884956
158,28,2013,474.0,,14.0,,167.0,87.83,,,79.0,,,86.0,,431.0,,3.4782608695652173
159,28,2011,472.0,,,,,78.64,,,90.0,,,87.0,,493.0,,
160,28,2016,,,,,,89.8,100.0,,,75.86,88.2,,,,100.0,2.0
161,28,2014,,,,,,88.52,100.0,,,87.5,88.23529411764706,,,,,4.878048780487805
162,29,2017,0.0,87.0,,9.0,,87.0,91.0,2.0,60.0,84.4,76.9,0.0,58.0,338.0,,8.0
163,29,2015,338.0,,22.0,,273.0,94.55,89.0,,60.0,72.0,88.24,60.0,,338.0,66.67,10.9090909090909
164,29,2013,339.0,,18.0,,223.0,92.74,80.0,,60.0,,,60.0,,339.0,,7.258064516129033
165,29,2011,339.0,,,,,95.07,,,60.0,,,60.0,,339.0,,
166,29,2016,,,,,,90.4,100.0,,,91.3,84.6,,,,64.3,13.0
167,29,2014,,,,,,90.68,100.0,,,73.68421052631578,73.68421052631578,,,,81.81818181818183,4.724409448818897
168,30,2017,43.0,70.0,,8.0,,76.0,73.0,16.0,99.0,12.1,11.8,4.0,21.0,1089.0,14.3,29.0
169,30,2015,853.0,,15.0,,323.0,77.74,79.0,,99.0,18.1818181818182,8.82,100.0,,847.0,23.08,22.1818181818182
170,30,2013,503.0,,11.0,,134.0,80.0,50.0,,99.0,,,100.0,,497.0,,17.096774193548388
171,30,2011,502.0,,,,,76.37,,,99.0,,,100.0,,496.0,,
172,30,2016,,,,,,75.6,79.0,,,20.0,13.1,,,,33.3,24.0
173,30,2014,,,,,,75.0,57.0,,,33.33333333333333,15.09433962264151,,,,10.0,22.435897435897438
174,31,2017,395.0,100.0,,8.0,,92.0,100.0,11.0,55.0,85.9,88.2,58.0,78.0,373.0,,3.0
175,31,2015,388.0,,21.0,,349.0,93.63,100.0,,54.0,91.304347826087,91.84,57.0,,366.0,88.89,1.44230769230769
176,31,2013,141.0,,19.0,,319.0,91.52,100.0,,0.0,,,21.0,,0.0,,3.125
177,31,2011,140.0,,,,,89.67,,,69.0,,,21.0,,466.0,,
178,31,2016,,,,,,92.8,100.0,,,87.5,85.7,,,,85.7,2.0
179,31,2014,,,,,,91.9,100.0,,,88.67924528301887,93.18181818181817,,,,80.0,3.7735849056603774
180,32,2017,144.0,93.0,,16.0,,94.0,,13.0,100.0,,,65.0,58.0,220.0,,0.0
181,32,2015,220.0,,16.0,,53.0,94.74,,,100.0,50.0,40.0,100.0,,220.0,,5.0
182,32,2013,220.0,,14.0,,47.0,91.67,100.0,,100.0,,,100.0,,220.0,,20.833333333333336
183,32,2011,220.0,,,,,85.71,,,100.0,,,100.0,,220.0,,
184,32,2016,,,,,,100.0,,,,,,,,,,6.0
185,32,2014,,,,,,89.47,,,,60.0,40.0,,,,,5.0
186,33,2017,628.0,94.0,,17.0,,50.0,,15.0,100.0,79.0,64.3,100.0,60.0,628.0,,12.0
187,33,2015,38.0,,20.0,,270.0,61.05,80.0,,99.0,64.2857142857143,45.45,6.0,,624.0,,14.7058823529412
188,33,2013,3.0,,13.0,,170.0,74.11,100.0,,95.0,,,0.0,,589.0,,12.5
189,33,2011,3.0,,,,,70.25,,,97.0,,,0.0,,596.0,,
190,33,2016,,,,,,57.0,60.0,,,70.37,35.3,,,,20.0,12.0
191,33,2014,,,,,,70.37,,,,37.5,28.57142857142857,,,,,6.8181818181818175
192,34,2017,504.0,61.0,,5.0,,77.0,90.0,29.0,60.0,34.5,27.4,60.0,9.0,504.0,17.9,22.0
193,34,2015,525.0,,13.0,,288.0,84.34,93.0,,65.0,36.4864864864865,21.62,65.0,,525.0,35.0,19.2182410423453
194,34,2013,496.0,,9.0,,193.0,83.38,77.0,,61.0,,,61.0,,496.0,,13.246753246753245
195,34,2011,475.0,,,,,78.12,,,61.0,,,60.0,,479.0,,
196,34,2016,,,,,,78.5,81.0,,,28.41,19.7,,,,27.3,15.0
197,34,2014,,,,,,84.69,78.0,,,33.33333333333333,20.238095238095237,,,,33.33333333333333,20.245398773006134
198,35,2017,0.0,96.0,,7.0,,70.0,,5.0,0.0,29.5,38.9,0.0,36.0,0.0,45.5,10.0
199,35,2015,0.0,,10.0,,183.0,77.63,75.0,,0.0,41.8604651162791,41.46,0.0,,0.0,,12.3456790123457
200,35,2013,1.0,,7.0,,110.0,82.83,59.0,,0.0,,,0.0,,0.0,,8.080808080808081
201,35,2011,1.0,,,,,66.67,,,0.0,,,0.0,,0.0,,
202,35,2016,,,,,,69.5,91.0,,,35.85,44.2,,,,37.5,14.0
203,35,2014,,,,,,76.3,83.0,,,48.78048780487805,47.368421052631575,,,,60.0,11.052631578947368
204,36,2017,675.0,97.0,,6.0,,55.0,88.0,4.0,51.0,65.4,55.6,51.0,48.0,675.0,,7.0
205,36,2015,586.0,,21.0,,596.0,61.63,100.0,,48.0,65.9574468085106,60.71,48.0,,586.0,44.44,8.98876404494382
206,36,2013,769.0,,20.0,,470.0,67.63,92.0,,73.0,,,73.0,,769.0,,8.212560386473431
207,36,2011,768.0,,,,,59.9,,,75.0,,,75.0,,768.0,,
208,36,2016,,,,,,61.5,100.0,,,60.71,44.4,,,,42.9,10.0
209,36,2014,,,,,,57.3,92.0,,,72.72727272727273,57.14285714285714,,,,33.33333333333333,6.557377049180328
210,37,2017,683.0,80.0,,5.0,,61.0,88.0,8.0,81.0,28.0,10.0,88.0,16.0,632.0,,24.0
211,37,2015,779.0,,23.0,,418.0,62.98,88.0,,100.0,25.0,13.16,100.0,,779.0,36.36,17.7083333333333
212,37,2013,780.0,,15.0,,269.0,69.11,69.0,,100.0,,,100.0,,780.0,,11.788617886178862
213,37,2011,790.0,,,,,56.88,,,100.0,,,100.0,,790.0,,
214,37,2016,,,,,,61.4,63.0,,,23.64,11.4,,,,18.2,16.0
215,37,2014,,,,,,68.49,80.0,,,15.909090909090908,30.23255813953488,,,,35.294117647058826,21.428571428571427
216,38,2017,785.0,96.0,,9.0,,66.0,96.0,7.0,79.0,55.8,51.2,93.0,55.0,661.0,,9.0
217,38,2015,769.0,,18.0,,431.0,67.8,91.0,,79.0,57.1428571428571,43.48,91.0,,662.0,50.0,12.0772946859903
218,38,2013,769.0,,14.0,,341.0,80.27,84.0,,79.0,,,91.0,,661.0,,6.688963210702341
219,38,2011,768.0,,,,,78.88,,,80.0,,,91.0,,671.0,,
220,38,2016,,,,,,68.7,100.0,,,58.33,44.4,,,,22.2,6.0
221,38,2014,,,,,,74.89,95.0,,,55.55555555555556,37.5,,,,53.333333333333336,9.34959349593496
222,39,2017,877.0,88.0,,7.0,,67.0,89.0,24.0,89.0,45.0,37.7,89.0,42.0,877.0,32.4,12.0
223,39,2015,748.0,,19.0,,543.0,70.11,83.0,,78.0,50.0,34.11,78.0,,748.0,38.78,10.9803921568627
224,39,2013,760.0,,14.0,,387.0,81.7,88.0,,82.0,,,81.0,,771.0,,7.653910149750416
225,39,2011,747.0,,,,,77.44,,,81.0,,,80.0,,759.0,,
226,39,2016,,,,,,68.5,87.0,,,47.46,45.8,,,,41.7,12.0
227,39,2014,,,,,,76.42,84.0,,,50.96153846153846,31.25,,,,39.130434782608695,11.851851851851853
228,40,2017,1193.0,63.0,,9.0,,69.0,73.0,12.0,100.0,33.3,20.5,100.0,20.0,1193.0,21.3,19.0
229,40,2015,1183.0,,19.0,,601.0,63.52,100.0,,100.0,27.7777777777778,23.21,100.0,,1183.0,29.41,12.0567375886525
230,40,2013,1182.0,,11.0,,358.0,65.43,60.0,,100.0,,,100.0,,1182.0,,7.992565055762081
231,40,2011,1183.0,,,,,47.03,,,100.0,,,100.0,,1183.0,,
232,40,2016,,,,,,65.0,77.0,,,33.63,24.7,,,,31.0,14.0
233,40,2014,,,,,,63.0,71.0,,,37.37373737373738,22.115384615384613,,,,40.0,16.630669546436287
234,41,2017,49.0,94.0,,7.0,,88.0,84.0,1.0,19.0,42.9,41.4,6.0,34.0,146.0,38.5,12.0
235,41,2015,232.0,,16.0,,256.0,90.68,81.0,,30.0,53.7037037037037,22.22,30.0,,232.0,63.64,18.2352941176471
236,41,2013,320.0,,13.0,,199.0,89.89,67.0,,60.0,,,41.0,,460.0,,7.303370786516854
237,41,2011,319.0,,,,,87.98,,,94.0,,,41.0,,726.0,,
238,41,2016,,,,,,89.0,95.0,,,46.0,39.3,,,,61.5,13.0
239,41,2014,,,,,,90.85,89.0,,,50.0,37.03703703703704,,,,77.77777777777779,10.843373493975903
240,42,2017,1097.0,98.0,,7.0,,89.0,100.0,6.0,15.0,75.0,70.8,83.0,66.0,193.0,,3.0
241,42,2015,1097.0,,21.0,,537.0,91.74,100.0,,15.0,65.0793650793651,71.67,83.0,,193.0,100.0,4.03587443946188
242,42,2013,1097.0,,18.0,,439.0,88.44,82.0,,0.0,,,83.0,,2.0,,6.802721088435375
243,42,2011,1096.0,,,,,84.25,,,83.0,,,83.0,,1096.0,,
244,42,2016,,,,,,86.2,85.0,,,78.38,80.9,,,,50.0,4.0
245,42,2014,,,,,,89.11,57.0,,,73.4375,73.68421052631578,,,,62.5,10.465116279069768
246,43,2017,488.0,97.0,,12.0,,85.0,100.0,11.0,75.0,68.1,60.9,75.0,61.0,488.0,,6.0
247,43,2015,488.0,,20.0,,312.0,88.33,100.0,,75.0,67.3076923076923,67.27,75.0,,488.0,80.0,8.10810810810811
248,43,2013,485.0,,16.0,,247.0,88.73,87.0,,75.0,,,75.0,,485.0,,8.92018779342723
249,43,2011,466.0,,,,,82.47,,,78.0,,,74.0,,496.0,,
250,43,2016,,,,,,91.1,100.0,,,67.86,64.2,,,,71.4,7.0
251,43,2014,,,,,,87.91,89.0,,,74.0,64.70588235294117,,,,,6.914893617021277
252,44,2017,357.0,100.0,,22.0,,86.0,,13.0,0.0,80.0,90.0,74.0,80.0,0.0,,4.0
253,44,2015,341.0,,17.0,,156.0,93.48,,,0.0,50.0,66.67,74.0,,0.0,,6.38297872340426
254,44,2013,336.0,,17.0,,149.0,98.0,,,0.0,,,74.0,,0.0,,2.0
255,44,2011,335.0,,,,,87.18,,,75.0,,,75.0,,335.0,,
256,44,2016,,,,,,91.2,,,,73.33,87.5,,,,,10.0
257,44,2014,,,,,,95.45,,,,88.23529411764706,87.5,,,,,4.25531914893617
258,45,2017,1022.0,93.0,,5.0,,49.0,93.0,7.0,69.0,65.4,49.2,80.0,58.0,882.0,34.2,6.0
259,45,2015,885.0,,19.0,,616.0,42.93,100.0,,71.0,62.9213483146067,46.23,78.0,,812.0,50.0,4.75
260,45,2013,71.0,,13.0,,402.0,72.08,88.0,,0.0,,,6.0,,0.0,,5.416666666666667
261,45,2011,24.0,,,,,52.46,,,2.0,,,2.0,,24.0,,
262,45,2016,,,,,,42.8,100.0,,,68.75,47.6,,,,73.0,4.0
263,45,2014,,,,,,53.22,89.0,,,60.86956521739131,41.83673469387755,,,,71.42857142857143,4.670912951167728
