,NPA,year,transit_proximate_units,transit_ridership,transit_ridership_total,sidewalk_availability,sidewalk_miles,street_connectivity,long_commute,long_commute_moe,bicycle_friendliness,transit_proximity
897,132,2018,275.0,,,,,1.19,,,1.8,100.0
898,132,2016,281.0,,,,,1.19,,,1.8,100.0
899,132,2015,257.0,6.0,30.0,52.7,2.3,1.19,,,1.8,91.46
900,132,2013,279.0,15.0,73.0,,,1.19,,,1.7,100.0
901,132,2011,280.0,,,,,1.19,,,1.7,100.0
902,132,2014,,12.0,60.0,,,,,,,
903,133,2017,627.0,,,,,1.14,32.0,10.0,1.6,100.0
904,133,2018,549.0,,,,,1.14,,,1.6,100.0
905,133,2016,627.0,,,,,1.14,,,1.6,100.0
906,133,2015,626.0,33.0,33.0,66.3,2.5,1.14,,,1.6,100.0
907,133,2013,627.0,12.0,12.0,,,1.18,,,1.4,100.0
908,133,2011,626.0,,,,,1.14,,,1.3,100.0
909,133,2014,,19.0,19.0,,,,,,,
910,134,2017,449.0,,,,,1.18,66.0,18.0,1.3,100.0
911,134,2018,449.0,,,,,1.18,,,1.3,100.0
912,134,2016,449.0,,,,,1.18,,,1.3,100.0
913,134,2015,449.0,11.0,22.0,30.8,1.0,1.18,,,1.3,100.0
914,134,2013,449.0,6.0,11.0,,,1.18,,,1.3,100.0
915,134,2011,449.0,,,,,1.18,,,1.3,100.0
916,134,2014,,12.0,24.0,,,,,,,
917,135,2017,555.0,,,,,1.0,67.0,14.0,1.1,100.0
918,135,2018,555.0,,,,,1.0,,,1.1,100.0
919,135,2016,555.0,,,,,1.0,,,1.1,100.0
920,135,2015,555.0,81.0,406.0,55.9,1.7,1.0,,,1.1,100.0
921,135,2013,555.0,90.0,448.0,,,1.0,,,1.1,100.0
922,135,2011,554.0,,,,,1.0,,,1.0,100.0
923,135,2014,,82.0,408.0,,,,,,,
924,136,2017,291.0,,,,,1.17,68.0,8.0,1.3,35.23
925,136,2018,290.0,,,,,1.17,,,1.3,34.36
926,136,2016,285.0,,,,,1.17,,,1.3,34.71
927,136,2015,278.0,40.0,81.0,59.3,7.0,1.17,,,1.3,34.49
928,136,2013,226.0,33.0,67.0,,,1.21,,,1.4,28.64
929,136,2011,215.0,,,,,1.24,,,1.4,28.18
930,136,2014,,34.0,68.0,,,,,,,
931,137,2017,389.0,,,,,1.11,57.0,12.0,1.3,70.34
932,137,2018,389.0,,,,,1.11,,,1.3,70.22
933,137,2016,45.0,,,,,1.11,,,1.3,8.23
934,137,2015,34.0,70.0,139.0,42.6,5.3,1.11,,,1.3,6.2
935,137,2013,36.0,65.0,130.0,,,1.13,,,1.3,6.53
936,137,2011,40.0,,,,,1.16,,,1.3,7.34
937,137,2014,,70.0,140.0,,,,,,,
938,138,2017,250.0,,,,,1.18,84.0,23.0,1.3,100.0
939,138,2018,249.0,,,,,1.18,,,1.3,100.0
940,138,2016,251.0,,,,,1.18,,,1.3,100.0
941,138,2015,251.0,67.0,534.0,27.3,2.7,1.18,,,1.3,100.0
942,138,2013,251.0,68.0,547.0,,,1.19,,,1.3,100.0
943,138,2011,252.0,,,,,1.19,,,1.3,100.0
944,138,2014,,66.0,531.0,,,,,,,
945,139,2017,660.0,,,,,1.16,73.0,4.0,1.3,100.0
946,139,2018,658.0,,,,,1.16,,,1.3,100.0
947,139,2016,660.0,,,,,1.16,,,1.3,100.0
948,139,2015,660.0,25.0,407.0,36.9,5.4,1.16,,,1.3,100.0
949,139,2013,661.0,24.0,389.0,,,1.17,,,1.4,100.0
950,139,2011,558.0,,,,,1.16,,,1.3,100.0
951,139,2014,,23.0,360.0,,,,,,,
952,140,2017,715.0,,,,,1.18,55.0,6.0,1.4,66.57
953,140,2018,716.0,,,,,1.18,,,1.4,66.54
954,140,2016,716.0,,,,,1.18,,,1.4,66.6
955,140,2015,953.0,29.0,321.0,29.8,6.5,1.19,,,1.4,88.65
956,140,2013,953.0,29.0,436.0,,,1.17,,,1.3,88.65
957,140,2011,871.0,,,,,1.16,,,1.3,87.71
958,140,2014,,27.0,432.0,,,,,,,
959,141,2017,338.0,,,,,1.31,73.0,22.0,1.4,100.0
960,141,2018,337.0,,,,,1.31,,,1.4,100.0
961,141,2016,342.0,,,,,1.31,,,1.4,100.0
962,141,2015,340.0,33.0,927.0,18.4,2.8,1.31,,,1.4,100.0
963,141,2013,344.0,36.0,995.0,,,1.36,,,1.4,100.0
964,141,2011,360.0,,,,,1.36,,,1.4,100.0
965,141,2014,,35.0,973.0,,,,,,,
966,142,2017,1299.0,,,,,1.16,54.0,7.0,1.5,100.0
967,142,2018,1298.0,,,,,1.16,,,1.5,100.0
968,142,2016,1299.0,,,,,1.16,,,1.5,100.0
969,142,2015,1299.0,31.0,532.0,58.2,4.4,1.16,,,1.5,100.0
970,142,2013,1299.0,30.0,566.0,,,1.17,,,1.5,100.0
971,142,2011,1299.0,,,,,1.17,,,1.5,100.0
972,142,2014,,36.0,606.0,,,,,,,
973,143,2017,618.0,,,,,1.04,69.0,16.0,1.6,99.68
974,143,2018,626.0,,,,,1.04,,,1.6,99.68
975,143,2016,616.0,,,,,1.05,,,1.5,99.68
976,143,2015,619.0,9.0,53.0,42.7,3.2,1.07,,,1.6,99.68
977,143,2013,618.0,9.0,52.0,,,1.07,,,1.6,99.68
978,143,2011,615.0,,,,,1.07,,,1.4,99.68
979,143,2014,,8.0,50.0,,,,,,,
980,144,2017,983.0,,,,,1.03,82.0,7.0,1.1,100.0
981,144,2018,988.0,,,,,1.03,,,1.1,100.0
982,144,2016,966.0,,,,,1.03,,,1.0,100.0
983,144,2015,955.0,2.0,2.0,,,1.03,,,1.1,100.0
984,144,2013,921.0,,,,,1.03,,,1.0,100.0
985,144,2011,911.0,,,,,1.03,,,1.1,99.67
986,144,2014,,,,,,,,,,
987,145,2017,392.0,,,,,1.03,69.0,8.0,1.1,60.68
988,145,2018,393.0,,,,,1.03,,,1.1,60.74
989,145,2016,386.0,,,,,1.03,,,1.1,59.75
990,145,2015,392.0,3.0,14.0,,,1.03,,,1.1,60.68
991,145,2013,392.0,5.0,19.0,,,1.08,,,1.2,60.68
992,145,2011,391.0,,,,,1.08,,,1.1,60.53
993,145,2014,,6.0,23.0,,,,,,,
994,146,2017,588.0,,,,,1.15,80.0,14.0,1.5,84.6
995,146,2018,589.0,,,,,1.15,,,1.5,84.75
996,146,2016,564.0,,,,,1.15,,,1.5,84.56
997,146,2015,560.0,25.0,126.0,40.2,3.5,1.15,,,1.5,84.72
998,146,2013,560.0,29.0,145.0,,,1.15,,,1.4,84.72
999,146,2011,542.0,,,,,1.18,,,1.4,84.29
1000,146,2014,,29.0,143.0,,,,,,,
1001,147,2017,1031.0,,,,,1.05,75.0,14.0,1.2,100.0
1002,147,2018,1121.0,,,,,1.05,,,1.2,100.0
1003,147,2016,1083.0,,,,,1.05,,,1.2,100.0
1004,147,2015,1069.0,2.0,8.0,25.6,2.3,1.05,,,1.2,100.0
1005,147,2013,1060.0,1.0,8.0,,,1.06,,,1.3,100.0
1006,147,2011,1042.0,,,,,1.06,,,1.3,100.0
1007,147,2014,,3.0,16.0,,,,,,,
1008,148,2017,506.0,,,,,1.08,67.0,7.0,1.4,53.77
1009,148,2018,525.0,,,,,1.08,,,1.4,54.18
1010,148,2016,505.0,,,,,1.08,,,1.4,53.72
1011,148,2015,504.0,6.0,13.0,38.4,4.8,1.08,,,1.4,53.56
1012,148,2013,486.0,15.0,29.0,,,1.09,,,1.4,51.65
1013,148,2011,485.0,,,,,1.09,,,1.4,52.32
1014,148,2014,,12.0,25.0,,,,,,,
1015,149,2017,0.0,,,,,1.22,78.0,17.0,1.3,0.0
1016,149,2018,0.0,,,,,1.22,,,1.3,0.0
1017,149,2016,0.0,,,,,1.22,,,1.3,0.0
1018,149,2015,0.0,,,21.8,2.3,1.22,,,1.3,0.0
1019,149,2013,0.0,,,,,1.27,,,1.4,0.0
1020,149,2011,0.0,,,,,1.27,,,1.4,0.0
1021,149,2014,,,,,,,,,,
1022,150,2017,309.0,,,,,1.09,64.0,12.0,1.4,45.37
1023,150,2018,309.0,,,,,1.1,,,1.4,45.31
1024,150,2016,309.0,,,,,1.09,,,1.4,45.44
1025,150,2015,309.0,,,32.9,2.6,1.09,,,1.4,45.44
1026,150,2013,309.0,,,,,1.09,,,1.3,45.44
1027,150,2011,309.0,,,,,1.09,,,1.3,45.44
1028,150,2014,,,,,,,,,,
1029,151,2017,0.0,,,,,1.16,65.0,7.0,1.5,0.0
1030,151,2018,0.0,,,,,1.16,,,1.5,0.0
1031,151,2016,0.0,,,,,1.16,,,1.5,0.0
1032,151,2015,0.0,,,82.7,11.6,1.16,,,1.5,0.0
1033,151,2013,0.0,,,,,1.16,,,1.5,0.0
1034,151,2011,0.0,,,,,1.16,,,1.5,0.0
1035,151,2014,,,,,,,,,,
1036,152,2017,0.0,,,,,1.11,48.0,26.0,1.2,0.0
1037,152,2018,0.0,,,,,1.11,,,1.2,0.0
1038,152,2016,0.0,,,,,1.11,,,1.1,0.0
1039,152,2015,0.0,,,6.7,0.8,1.11,,,1.2,0.0
1040,152,2013,0.0,,,,,1.08,,,1.2,0.0
1041,152,2011,0.0,,,,,1.22,,,1.3,0.0
1042,152,2014,,,,,,,,,,
1043,153,2017,433.0,,,,,1.08,62.0,8.0,1.5,35.32
1044,153,2018,641.0,,,,,1.08,,,1.5,52.28
1045,153,2016,431.0,,,,,1.08,,,1.5,35.18
1046,153,2015,433.0,,,72.8,12.2,1.07,,,1.5,35.35
1047,153,2013,433.0,,,,,1.08,,,1.5,35.35
1048,153,2011,432.0,,,,,1.09,,,1.5,35.27
1049,153,2014,,,,,,,,,,
1050,154,2017,956.0,,,,,1.05,61.0,9.0,1.7,83.57
1051,154,2018,1038.0,,,,,1.05,,,1.7,90.73
1052,154,2016,948.0,,,,,1.05,,,1.6,82.94
1053,154,2015,956.0,11.0,42.0,56.6,6.1,1.05,,,1.6,83.64
1054,154,2013,956.0,14.0,55.0,,,1.05,,,1.6,83.57
1055,154,2011,947.0,,,,,1.05,,,1.7,82.85
1056,154,2014,,9.0,37.0,,,,,,,
1057,155,2017,0.0,,,,,1.05,72.0,7.0,1.3,0.0
1058,155,2018,0.0,,,,,1.05,,,1.3,0.0
1059,155,2016,0.0,,,,,1.05,,,1.2,0.0
1060,155,2015,0.0,2.0,3.0,23.6,3.3,1.04,,,1.3,0.0
1061,155,2013,136.0,66.0,264.0,,,1.12,,,1.3,13.75
1062,155,2011,133.0,,,,,1.06,,,1.3,13.77
1063,155,2014,,3.0,9.0,,,,,,,
1064,156,2017,921.0,,,,,1.08,65.0,14.0,1.2,73.1
1065,156,2018,937.0,,,,,1.08,,,1.2,72.64
1066,156,2016,915.0,,,,,1.08,,,1.2,73.02
1067,156,2015,912.0,35.0,243.0,52.8,8.6,1.08,,,1.2,75.56
1068,156,2013,897.0,38.0,229.0,,,1.11,,,1.2,77.0
1069,156,2011,859.0,,,,,1.11,,,1.2,78.02
1070,156,2014,,32.0,226.0,,,,,,,
1071,157,2017,282.0,,,,,1.29,52.0,9.0,1.5,100.0
1072,157,2018,279.0,,,,,1.29,,,1.5,100.0
1073,157,2016,288.0,,,,,1.29,,,1.5,100.0
1074,157,2015,288.0,86.0,3610.0,74.0,8.7,1.29,,,1.5,100.0
1075,157,2013,391.0,105.0,4393.0,,,1.31,,,1.5,100.0
1076,157,2011,459.0,,,,,1.31,,,1.5,100.0
1077,157,2014,,88.0,3699.0,,,,,,,
1078,158,2017,858.0,,,,,1.1,59.0,9.0,1.4,65.5
1079,158,2018,866.0,,,,,1.1,,,1.4,65.61
1080,158,2016,837.0,,,,,1.1,,,1.4,64.98
1081,158,2015,835.0,18.0,346.0,45.0,8.3,1.1,,,1.4,64.83
1082,158,2013,862.0,20.0,375.0,,,1.19,,,1.4,66.98
1083,158,2011,856.0,,,,,1.18,,,1.4,67.61
1084,158,2014,,20.0,379.0,,,,,,,
1085,159,2017,419.0,,,,,1.25,47.0,14.0,1.8,100.0
1086,159,2018,421.0,,,,,1.25,,,1.8,100.0
1087,159,2016,397.0,,,,,1.25,,,1.8,100.0
1088,159,2015,389.0,43.0,608.0,36.1,2.5,1.25,,,1.8,100.0
1089,159,2013,381.0,52.0,781.0,,,1.27,,,1.8,100.0
1090,159,2011,374.0,,,,,1.29,,,1.8,100.0
1091,159,2014,,47.0,707.0,,,,,,,
1092,160,2017,1106.0,,,,,1.13,69.0,11.0,1.3,100.0
1093,160,2018,1105.0,,,,,1.13,,,1.3,100.0
1094,160,2016,1106.0,,,,,1.13,,,1.3,100.0
1095,160,2015,1107.0,35.0,657.0,30.7,5.3,1.13,,,1.3,100.0
1096,160,2013,1106.0,32.0,746.0,,,1.15,,,1.3,100.0
1097,160,2011,1107.0,,,,,1.15,,,1.3,100.0
1098,160,2014,,28.0,636.0,,,,,,,
1099,161,2017,1054.0,,,,,1.12,57.0,15.0,1.3,92.62
1100,161,2018,1054.0,,,,,1.13,,,1.3,90.71
1101,161,2016,1054.0,,,,,1.13,,,1.3,92.95
1102,161,2015,1054.0,127.0,380.0,41.4,2.4,1.13,,,1.3,92.95
1103,161,2013,1054.0,147.0,442.0,,,1.08,,,1.2,93.36
1104,161,2011,1061.0,,,,,1.08,,,1.1,93.4
1105,161,2014,,145.0,434.0,,,,,,,
1106,162,2017,696.0,,,,,1.08,78.0,4.0,1.4,100.0
1107,162,2018,695.0,,,,,1.08,,,1.4,100.0
1108,162,2016,696.0,,,,,1.08,,,1.4,100.0
1109,162,2015,696.0,54.0,700.0,40.0,3.8,1.08,,,1.4,100.0
1110,162,2013,700.0,26.0,337.0,,,1.08,,,1.4,100.0
1111,162,2011,701.0,,,,,1.08,,,1.4,100.0
1112,162,2014,,57.0,744.0,,,,,,,
1113,163,2017,522.0,,,,,1.44,26.0,7.0,1.8,100.0
1114,163,2018,837.0,,,,,1.44,,,1.8,100.0
1115,163,2016,528.0,,,,,1.44,,,1.8,100.0
1116,163,2015,544.0,45.0,627.0,97.9,7.0,1.44,,,1.8,100.0
1117,163,2013,540.0,31.0,493.0,,,1.46,,,1.8,100.0
1118,163,2011,539.0,,,,,1.48,,,1.8,100.0
1119,163,2014,,35.0,559.0,,,,,,,
1120,164,2017,1763.0,,,,,1.27,60.0,9.0,1.9,100.0
1121,164,2018,1668.0,,,,,1.27,,,1.9,100.0
1122,164,2016,1766.0,,,,,1.27,,,2.0,100.0
1123,164,2015,1744.0,126.0,2388.0,72.2,9.0,1.28,,,1.9,100.0
1124,164,2013,1815.0,147.0,2643.0,,,1.28,,,1.9,100.0
1125,164,2011,1794.0,,,,,1.2,,,2.0,98.41
1126,164,2014,,138.0,2614.0,,,,,,,
1127,165,2017,902.0,,,,,1.05,61.0,18.0,1.4,99.23
1128,165,2018,902.0,,,,,1.05,,,1.4,99.23
1129,165,2016,903.0,,,,,1.05,,,1.3,99.12
1130,165,2015,904.0,347.0,694.0,57.3,2.6,1.05,,,1.4,99.23
1131,165,2013,904.0,244.0,732.0,,,1.05,,,1.4,99.23
1132,165,2011,908.0,,,,,1.05,,,1.4,99.34
1133,165,2014,,333.0,667.0,,,,,,,
1134,166,2017,538.0,,,,,1.14,62.0,16.0,1.5,100.0
1135,166,2018,538.0,,,,,1.14,,,1.5,100.0
1136,166,2016,537.0,,,,,1.14,,,1.5,100.0
1137,166,2015,538.0,49.0,292.0,40.5,1.5,1.14,,,1.5,100.0
1138,166,2013,538.0,94.0,563.0,,,1.22,,,1.6,100.0
1139,166,2011,538.0,,,,,1.22,,,1.4,100.0
1140,166,2014,,45.0,272.0,,,,,,,
1141,167,2017,360.0,,,,,1.0,64.0,12.0,1.4,100.0
1142,167,2018,361.0,,,,,1.0,,,1.4,100.0
1143,167,2016,359.0,,,,,1.0,,,1.4,100.0
1144,167,2015,361.0,19.0,136.0,64.6,2.2,1.0,,,1.4,100.0
1145,167,2013,361.0,68.0,477.0,,,1.0,,,1.4,100.0
1146,167,2011,361.0,,,,,1.0,,,1.3,100.0
1147,167,2014,,24.0,168.0,,,,,,,
1148,168,2017,633.0,,,,,1.17,81.0,13.0,1.4,100.0
1149,168,2018,495.0,,,,,1.2,,,1.4,78.2
1150,168,2016,634.0,,,,,1.17,,,1.4,100.0
1151,168,2015,633.0,18.0,73.0,37.3,2.4,1.17,,,1.4,100.0
1152,168,2013,633.0,9.0,63.0,,,1.17,,,1.4,100.0
1153,168,2011,633.0,,,,,1.17,,,1.4,100.0
1154,168,2014,,22.0,87.0,,,,,,,
1155,169,2017,0.0,,,,,1.14,58.0,13.0,1.5,0.0
1156,169,2018,0.0,,,,,1.14,,,1.5,0.0
1157,169,2016,0.0,,,,,1.14,,,1.5,0.0
1158,169,2015,0.0,,,57.5,4.7,1.15,,,1.5,0.0
1159,169,2013,0.0,,,,,1.16,,,1.5,0.0
1160,169,2011,0.0,,,,,1.13,,,1.5,0.0
1161,169,2014,,,,,,,,,,
1162,170,2017,0.0,,,,,1.11,64.0,12.0,1.4,0.0
1163,170,2018,0.0,,,,,1.13,,,1.4,0.0
1164,170,2016,0.0,,,,,1.11,,,1.4,0.0
1165,170,2015,0.0,,,68.0,6.0,1.11,,,1.4,0.0
1166,170,2013,0.0,,,,,1.11,,,1.3,0.0
1167,170,2011,0.0,,,,,1.14,,,1.3,0.0
1168,170,2014,,,,,,,,,,
1169,171,2017,437.0,,,,,1.12,56.0,14.0,1.2,86.19
1170,171,2018,437.0,,,,,1.12,,,1.2,86.19
1171,171,2016,372.0,,,,,1.09,,,1.2,84.16
1172,171,2015,328.0,27.0,109.0,34.6,2.8,1.11,,,1.2,82.41
1173,171,2013,333.0,48.0,191.0,,,1.13,,,1.2,82.63
1174,171,2011,333.0,,,,,1.12,,,1.2,82.63
1175,171,2014,,57.0,229.0,,,,,,,
1176,172,2017,601.0,,,,,1.34,72.0,11.0,1.4,52.9
1177,172,2018,607.0,,,,,1.32,,,1.4,53.15
1178,172,2016,602.0,,,,,1.31,,,1.4,52.95
1179,172,2015,599.0,105.0,105.0,43.9,9.5,1.27,,,1.4,52.82
1180,172,2013,576.0,175.0,175.0,,,1.31,,,1.4,51.85
1181,172,2011,528.0,,,,,1.3,,,1.4,49.91
1182,172,2014,,189.0,189.0,,,,,,,
1183,173,2017,424.0,,,,,1.05,60.0,10.0,1.2,100.0
1184,173,2018,426.0,,,,,1.05,,,1.2,100.0
1185,173,2016,417.0,,,,,1.05,,,1.2,100.0
1186,173,2015,403.0,10.0,61.0,45.9,2.5,1.05,,,1.2,100.0
1187,173,2013,391.0,14.0,83.0,,,1.05,,,1.2,100.0
1188,173,2011,379.0,,,,,1.05,,,1.2,100.0
1189,173,2014,,11.0,66.0,,,,,,,
1190,174,2017,175.0,,,,,1.14,29.0,11.0,1.2,27.96
1191,174,2018,175.0,,,,,1.14,,,1.2,28.23
1192,174,2016,177.0,,,,,1.14,,,1.1,28.23
1193,174,2015,177.0,1.0,2.0,21.8,6.7,1.14,,,1.2,28.23
1194,174,2013,14.0,1.0,6.0,,,1.23,,,1.3,2.23
1195,174,2011,16.0,,,,,1.2,,,1.2,2.54
1196,174,2014,,1.0,5.0,,,,,,,
1197,175,2017,8.0,,,,,1.09,65.0,9.0,1.4,1.16
1198,175,2018,8.0,,,,,1.09,,,1.4,1.16
1199,175,2016,8.0,,,,,1.09,,,1.4,1.16
1200,175,2015,8.0,,,18.9,2.2,1.09,,,1.4,1.16
1201,175,2013,1.0,,,,,1.09,,,1.4,0.15
1202,175,2011,1.0,,,,,1.09,,,1.4,0.15
1203,175,2014,,,,,,,,,,
1204,176,2017,344.0,,,,,1.11,69.0,11.0,1.5,29.6
1205,176,2018,344.0,,,,,1.11,,,1.5,29.55
1206,176,2016,343.0,,,,,1.11,,,1.5,29.49
1207,176,2015,344.0,,,54.3,7.4,1.11,,,1.5,29.6
1208,176,2013,291.0,,,,,1.11,,,1.5,25.04
1209,176,2011,290.0,,,,,1.11,,,1.5,24.96
1210,176,2014,,,,,,,,,,
1211,177,2017,783.0,,,,,1.1,76.0,17.0,1.4,98.49
1212,177,2018,920.0,,,,,1.1,,,1.4,98.71
1213,177,2016,780.0,,,,,1.1,,,1.4,98.48
1214,177,2015,776.0,0.0,0.0,35.2,3.5,1.1,,,1.4,98.48
1215,177,2013,775.0,0.0,1.0,,,1.14,,,1.4,98.48
1216,177,2011,698.0,,,,,1.11,,,1.4,98.31
1217,177,2014,,0.0,2.0,,,,,,,
1218,178,2017,1023.0,,,,,1.22,41.0,8.0,1.3,78.03
1219,178,2018,1066.0,,,,,1.25,,,1.4,78.79
1220,178,2016,1025.0,,,,,1.2,,,1.3,78.18
1221,178,2015,891.0,16.0,409.0,34.9,7.8,1.19,,,1.3,75.7
1222,178,2013,742.0,20.0,483.0,,,1.2,,,1.3,72.18
1223,178,2011,742.0,,,,,1.19,,,1.3,72.18
1224,178,2014,,19.0,464.0,,,,,,,
1225,179,2017,475.0,,,,,1.16,71.0,16.0,1.6,72.3
1226,179,2018,600.0,,,,,1.16,,,1.6,76.63
1227,179,2016,478.0,,,,,1.16,,,1.7,72.42
1228,179,2015,485.0,6.0,48.0,38.5,4.6,1.16,,,1.6,72.71
1229,179,2013,484.0,12.0,95.0,,,1.16,,,1.6,72.67
1230,179,2011,484.0,,,,,1.16,,,1.6,72.67
1231,179,2014,,10.0,77.0,,,,,,,
1232,180,2017,476.0,,,,,1.11,70.0,30.0,1.4,89.64
1233,180,2018,476.0,,,,,1.11,,,1.5,89.64
1234,180,2016,476.0,,,,,1.11,,,1.4,91.54
1235,180,2015,476.0,59.0,235.0,54.9,3.9,1.11,,,1.4,94.44
1236,180,2013,455.0,49.0,246.0,,,1.11,,,1.4,94.2
1237,180,2011,441.0,,,,,1.11,,,1.4,94.84
1238,180,2014,,54.0,272.0,,,,,,,
1239,181,2017,895.0,,,,,1.07,58.0,8.0,1.5,70.47
1240,181,2018,896.0,,,,,1.07,,,1.5,70.5
1241,181,2016,892.0,,,,,1.07,,,1.5,70.4
1242,181,2015,887.0,3.0,29.0,53.7,7.9,1.07,,,1.5,70.29
1243,181,2013,662.0,3.0,23.0,,,1.07,,,1.4,53.56
1244,181,2011,659.0,,,,,1.07,,,1.4,54.11
1245,181,2014,,4.0,36.0,,,,,,,
1246,182,2017,268.0,,,,,1.26,73.0,15.0,1.5,100.0
1247,182,2018,268.0,,,,,1.26,,,1.5,100.0
1248,182,2016,268.0,,,,,1.26,,,1.5,100.0
1249,182,2015,268.0,36.0,641.0,63.5,4.7,1.26,,,1.5,100.0
1250,182,2013,268.0,36.0,650.0,,,1.32,,,1.5,100.0
1251,182,2011,268.0,,,,,1.32,,,1.6,100.0
1252,182,2014,,37.0,668.0,,,,,,,
1253,183,2017,343.0,,,,,1.0,94.0,14.0,1.4,97.72
1254,183,2018,343.0,,,,,1.0,,,1.4,97.72
1255,183,2016,342.0,,,,,1.0,,,1.4,97.71
1256,183,2015,343.0,17.0,100.0,64.7,3.0,1.0,,,1.4,97.72
1257,183,2013,344.0,25.0,150.0,,,1.03,,,1.3,97.73
1258,183,2011,340.0,,,,,1.0,,,1.4,97.7
1259,183,2014,,15.0,92.0,,,,,,,
1260,184,2017,684.0,,,,,1.36,44.0,8.0,2.1,100.0
1261,184,2018,696.0,,,,,1.36,,,2.1,100.0
1262,184,2016,689.0,,,,,1.36,,,2.1,100.0
1263,184,2015,691.0,,,61.9,4.4,1.36,,,2.1,100.0
1264,184,2013,690.0,,,,,1.4,,,2.1,100.0
1265,184,2011,867.0,,,,,1.4,,,2.2,100.0
1266,184,2014,,,,,,,,,,
1267,185,2017,1369.0,,,,,1.03,46.0,6.0,1.1,100.0
1268,185,2018,1369.0,,,,,1.03,,,1.1,100.0
1269,185,2016,1367.0,,,,,1.03,,,1.0,100.0
1270,185,2015,1366.0,37.0,224.0,52.8,1.8,1.04,,,1.1,100.0
1271,185,2013,1368.0,43.0,257.0,,,1.04,,,1.1,100.0
1272,185,2011,1368.0,,,,,1.0,,,1.0,100.0
1273,185,2014,,44.0,263.0,,,,,,,
1274,186,2017,603.0,,,,,1.07,73.0,7.0,1.5,72.56
1275,186,2018,607.0,,,,,1.07,,,1.5,72.69
1276,186,2016,602.0,,,,,1.07,,,1.5,72.71
1277,186,2015,602.0,83.0,417.0,58.8,6.6,1.07,,,1.4,72.79
1278,186,2013,605.0,84.0,418.0,,,1.07,,,1.4,73.33
1279,186,2011,571.0,,,,,1.07,,,1.3,69.3
1280,186,2014,,93.0,463.0,,,,,,,
1281,187,2017,0.0,,,,,1.07,61.0,14.0,1.3,0.0
1282,187,2018,0.0,,,,,1.07,,,1.3,0.0
1283,187,2016,0.0,,,,,1.07,,,1.3,0.0
1284,187,2015,0.0,,,53.6,3.0,1.07,,,1.3,0.0
1285,187,2013,0.0,,,,,1.07,,,1.3,0.0
1286,187,2011,0.0,,,,,1.07,,,1.3,0.0
1287,187,2014,,,,,,,,,,
1288,188,2017,0.0,,,,,1.15,45.0,14.0,1.3,0.0
1289,188,2018,0.0,,,,,1.15,,,1.3,0.0
1290,188,2016,0.0,,,,,1.15,,,1.2,0.0
1291,188,2015,0.0,,,31.7,2.9,1.15,,,1.2,0.0
1292,188,2013,0.0,,,,,1.14,,,1.2,0.0
1293,188,2011,0.0,,,,,1.14,,,1.2,0.0
1294,188,2014,,,,,,,,,,
1295,189,2017,453.0,,,,,1.05,78.0,14.0,1.6,100.0
1296,189,2018,453.0,,,,,1.05,,,1.6,100.0
1297,189,2016,453.0,,,,,1.05,,,1.6,100.0
1298,189,2015,418.0,,,77.1,2.1,1.05,,,1.6,92.27
1299,189,2013,418.0,,,,,1.05,,,1.6,92.27
1300,189,2011,419.0,,,,,1.05,,,1.6,92.49
1301,189,2014,,,,,,,,,,
1302,190,2017,378.0,,,,,1.19,40.0,8.0,1.5,100.0
1303,190,2018,385.0,,,,,1.19,,,1.5,100.0
1304,190,2016,382.0,,,,,1.19,,,1.5,100.0
1305,190,2015,374.0,18.0,303.0,37.0,4.2,1.19,,,1.5,97.91
1306,190,2013,374.0,19.0,327.0,,,1.23,,,1.5,97.91
1307,190,2011,376.0,,,,,1.23,,,1.4,97.92
1308,190,2014,,18.0,309.0,,,,,,,
1309,191,2017,216.0,,,,,1.07,61.0,7.0,1.3,22.86
1310,191,2018,216.0,,,,,1.07,,,1.3,22.86
1311,191,2016,216.0,,,,,1.07,,,1.4,22.86
1312,191,2015,216.0,,,37.4,4.0,1.07,,,1.3,22.86
1313,191,2013,218.0,,,,,1.07,,,1.3,23.07
1314,191,2011,219.0,,,,,1.07,,,1.4,23.2
1315,191,2014,,,,,,,,,,
1316,192,2017,907.0,,,,,1.18,59.0,11.0,1.2,81.79
1317,192,2018,964.0,,,,,1.18,,,1.2,80.27
1318,192,2016,873.0,,,,,1.18,,,1.2,84.76
1319,192,2015,831.0,9.0,85.0,34.5,7.2,1.19,,,1.2,87.29
1320,192,2013,807.0,17.0,135.0,,,1.21,,,1.2,88.78
1321,192,2011,761.0,,,,,1.21,,,1.2,89.63
1322,192,2014,,15.0,123.0,,,,,,,
1323,193,2017,566.0,,,,,1.19,39.0,13.0,1.6,100.0
1324,193,2018,573.0,,,,,1.19,,,1.6,100.0
1325,193,2016,567.0,,,,,1.19,,,1.6,100.0
1326,193,2015,567.0,9.0,100.0,35.7,2.7,1.19,,,1.5,100.0
1327,193,2013,569.0,12.0,128.0,,,1.19,,,1.4,100.0
1328,193,2011,570.0,,,,,1.21,,,1.5,100.0
1329,193,2014,,12.0,131.0,,,,,,,
1330,194,2017,746.0,,,,,1.05,77.0,9.0,1.2,71.66
1331,194,2018,792.0,,,,,1.05,,,1.2,72.46
1332,194,2016,723.0,,,,,1.05,,,1.2,71.3
1333,194,2015,718.0,6.0,24.0,,,1.06,,,1.2,71.44
