,NPA,year,housing_size,housing_units,residential_demolition_permit_units,residential_occupancy,new_residential_permit_units,rental_houses_units,foreclosures,residential_renovation_permit_units,residential_demolitions,residential_occupancy_moe,home_ownership_moe,rental_costs_moe,residential_renovation,single_family_housing,new_residential,housing_violations_total,subsidized_housing_units,rental_houses,housing_density,single_family_units,housing_age,foreclosed_units,rental_costs,subsidized_housing,home_ownership,housing_violations,home_sales_price
0,2,2018,1524.0,1083.0,6.0,,4,130.0,,19,11.79,,,,4.63,47.0,0.97,1.0,,26.0,2.6,509.0,70.0,,,,,0.09,
1,2,2017,1501.0,1079.0,1.0,93.0,5,138.0,0.2,23,1.98,5.0,6.0,,5.6,47.0,1.22,,80.0,27.0,2.6,504.0,70.0,1.0,894.0,7.0,33.0,,
2,2,2016,1491.0,1079.0,2.0,,4,145.0,0.3,29,3.96,,,,7.06,47.0,0.97,12.0,,29.0,2.6,505.0,69.0,2.0,,,,1.11,
3,2,2015,1473.0,1079.0,1.0,,1,126.0,1.1,30,1.98,,,,7.3,47.0,0.24,10.0,,25.0,2.6,505.0,68.0,7.0,,,,0.93,217562.0
4,2,2013,1449.0,1081.0,0.0,,0,134.0,0.9,16,0.0,,,,3.89,47.0,0.0,13.0,80.0,26.0,2.6,507.0,66.0,6.0,,7.0,,1.2,180860.0
5,2,2011,1446.0,1083.0,0.0,,0,,1.1,11,0.0,,,,2.67,47.0,0.0,7.0,,,2.6,509.0,64.0,7.0,,,,0.65,
6,2,2014,,,,,2,,,19,,,,,4.62,,0.49,,,,,,,,,,,,
7,2,2012,,,,,0,,,11,,,,,2.67,,0.0,,,,,,,,,,,,
8,3,2018,2267.0,5931.0,78.0,,801,343.0,,125,44.34,,,,10.81,30.0,69.3,16.0,,20.0,5.1,1759.0,69.0,,,,,0.27,
9,3,2017,2261.0,5283.0,25.0,88.0,186,373.0,0.0,103,14.51,2.0,4.0,,8.91,33.0,16.09,,421.0,22.0,4.6,1723.0,70.0,0.0,1286.0,8.0,50.0,,
10,3,2016,2177.0,4730.0,28.0,,422,413.0,0.2,143,15.63,,,,12.37,38.0,36.51,16.0,,23.0,4.1,1792.0,69.0,6.0,,,,0.34,
11,3,2015,2145.0,4752.0,24.0,,385,344.0,0.1,124,13.39,,,,10.73,38.0,33.3,8.0,,19.0,4.1,1792.0,69.0,4.0,,,,0.17,467716.0
12,3,2013,2088.0,4746.0,15.0,,39,450.0,0.5,113,8.35,,,,9.78,38.0,3.37,20.0,472.0,25.0,4.1,1796.0,69.0,17.0,,10.0,,0.42,391928.0
13,3,2011,2033.0,4369.0,3.0,,20,,0.7,77,1.65,,,,6.66,42.0,1.73,55.0,,,3.8,1822.0,68.0,24.0,,,,1.26,
14,3,2014,,,,,749,,,118,,,,,10.21,,64.79,,,,,,,,,,,,
15,3,2012,,,,,185,,,88,,,,,7.61,,16.0,,,,,,,,,,,,
16,4,2018,3814.0,419.0,7.0,,3,39.0,,20,18.67,,,,6.07,90.0,0.91,0.0,,10.0,1.3,375.0,44.0,,,,,0.0,
17,4,2017,3820.0,408.0,3.0,98.0,4,35.0,0.0,31,8.24,4.0,2.0,,9.42,89.0,1.21,,0.0,10.0,1.2,364.0,44.0,0.0,,0.0,97.0,,
18,4,2016,3768.0,406.0,5.0,,4,34.0,0.0,43,13.81,,,,13.06,89.0,1.21,0.0,,9.0,1.2,362.0,44.0,0.0,,,,0.0,
19,4,2015,3728.0,404.0,2.0,,6,34.0,0.2,23,5.56,,,,6.99,89.0,1.82,0.0,,9.0,1.2,360.0,44.0,1.0,,,,0.0,810017.0
20,4,2013,3722.0,402.0,1.0,,1,34.0,0.0,19,2.79,,,,5.77,89.0,0.3,0.0,0.0,10.0,1.2,358.0,42.0,0.0,,0.0,,0.0,845392.0
21,4,2011,3660.0,401.0,2.0,,4,,0.3,27,5.6,,,,8.2,89.0,1.22,1.0,,,1.2,357.0,40.0,1.0,,,,0.25,
22,4,2014,,,,,5,,,24,,,,,7.29,,1.52,,,,,,,,,,,,
23,4,2012,,,,,0,,,15,,,,,4.56,,0.0,,,,,,,,,,,,
24,5,2018,1056.0,318.0,0.0,,0,121.0,,4,0.0,,,,2.39,58.0,0.0,11.0,,66.0,1.9,183.0,59.0,,,,,3.46,
25,5,2017,1057.0,322.0,2.0,90.0,0,131.0,0.0,0,10.7,9.0,7.0,25.0,0.0,58.0,0.0,,0.0,70.0,1.9,187.0,58.0,0.0,631.0,0.0,11.0,,
26,5,2016,1056.0,326.0,6.0,,0,135.0,1.1,1,31.41,,,,0.6,59.0,0.0,41.0,,71.0,2.0,191.0,57.0,2.0,,,,12.58,
27,5,2015,1053.0,331.0,5.0,,0,122.0,2.2,4,25.51,,,,2.39,59.0,0.0,66.0,,62.0,2.0,196.0,56.0,4.0,,,,19.94,
28,5,2013,1061.0,329.0,0.0,,0,128.0,0.6,1,0.0,,,,0.6,59.0,0.0,31.0,0.0,66.0,2.0,194.0,56.0,1.0,,0.0,,9.42,45200.0
29,5,2011,1041.0,332.0,0.0,,1,,6.0,2,0.0,,,,1.2,59.0,0.6,26.0,,,2.0,197.0,55.0,11.0,,,,7.83,
30,5,2014,,,,,0,,,3,,,,,1.79,,0.0,,,,,,,,,,,,
31,5,2012,,,,,0,,,4,,,,,2.39,,0.0,,,,,,,,,,,,
32,6,2018,1084.0,808.0,1.0,,0,441.0,,6,1.48,,,,1.49,83.0,0.0,17.0,,65.0,2.0,674.0,70.0,,,,,2.1,
33,6,2017,1081.0,813.0,4.0,80.0,5,443.0,0.0,15,5.89,8.0,9.0,,3.72,84.0,1.24,,0.0,65.0,2.0,679.0,69.0,0.0,834.0,0.0,26.0,,
34,6,2016,1078.0,816.0,3.0,,1,446.0,1.2,17,4.4,,,,4.22,84.0,0.25,54.0,,65.0,2.0,682.0,68.0,7.0,,,,6.62,
35,6,2015,1081.0,817.0,2.0,,0,385.0,1.0,18,2.93,,,,4.46,84.0,0.0,54.0,,56.0,2.0,683.0,67.0,6.0,,,,6.61,41056.0
36,6,2013,1079.0,820.0,3.0,,0,423.0,1.5,11,4.37,,,,2.73,84.0,0.0,54.0,0.0,62.0,2.0,686.0,65.0,9.0,,0.0,,6.59,55545.0
37,6,2011,1073.0,825.0,2.0,,0,,1.2,6,2.89,,,,1.49,84.0,0.0,35.0,,,2.1,691.0,63.0,7.0,,,,4.24,
38,6,2014,,,,,0,,,19,,,,,4.71,,0.0,,,,,,,,,,,,
39,6,2012,,,,,0,,,9,,,,,2.23,,0.0,,,,,,,,,,,,
40,7,2018,5197.0,432.0,8.0,,6,22.0,,37,18.52,,,,6.75,100.0,1.1,1.0,,5.0,0.8,432.0,37.0,,,,,0.23,
41,7,2017,5215.0,430.0,1.0,89.0,4,26.0,0.0,31,2.33,3.0,0.0,,5.66,100.0,0.73,,0.0,6.0,0.8,430.0,36.0,0.0,,0.0,100.0,,
42,7,2016,5211.0,427.0,4.0,,4,25.0,0.0,36,9.37,,,,6.57,100.0,0.73,0.0,,6.0,0.8,427.0,36.0,0.0,,,,0.0,
43,7,2015,5157.0,426.0,2.0,,2,26.0,0.0,32,4.69,,,,5.84,100.0,0.36,0.0,,6.0,0.8,426.0,36.0,0.0,,,,0.0,1656526.0
44,7,2013,5157.0,423.0,1.0,,2,27.0,0.2,33,2.36,,,,6.02,100.0,0.36,0.0,0.0,6.0,0.8,423.0,34.0,1.0,,0.0,,0.0,1509529.0
45,7,2011,5105.0,420.0,2.0,,4,,0.0,19,4.76,,,,3.47,100.0,0.73,0.0,,,0.8,420.0,33.0,0.0,,,,0.0,
46,7,2014,,,,,4,,,49,,,,,8.94,,0.73,,,,,,,,,,,,
47,7,2012,,,,,2,,,39,,,,,7.12,,0.36,,,,,,,,,,,,
48,8,2018,1917.0,1080.0,0.0,,0,69.0,,20,0.0,,,,3.35,40.0,0.0,1.0,,16.0,1.8,437.0,54.0,,,,,0.09,
49,8,2017,1910.0,1029.0,2.0,100.0,32,71.0,0.0,22,4.61,0.0,12.0,264.0,3.69,42.0,5.36,,0.0,16.0,1.7,434.0,53.0,0.0,1257.0,0.0,59.0,,
50,8,2016,1901.0,1036.0,4.0,,0,78.0,0.1,17,9.07,,,,2.85,43.0,0.0,0.0,,18.0,1.7,441.0,52.0,1.0,,,,0.0,
51,8,2015,1873.0,1030.0,0.0,,3,76.0,0.0,12,0.0,,,,2.01,42.0,0.5,2.0,,17.0,1.7,435.0,52.0,0.0,,,,0.19,233714.0
52,8,2013,1870.0,1024.0,0.0,,3,84.0,0.4,43,0.0,,,,7.21,43.0,0.5,1.0,163.0,19.0,1.7,437.0,50.0,3.0,,16.0,,0.1,229197.0
53,8,2011,1838.0,901.0,0.0,,5,,0.4,8,0.0,,,,1.34,48.0,0.84,1.0,,,1.5,429.0,49.0,3.0,,,,0.11,
54,8,2014,,,,,6,,,14,,,,,2.35,,1.01,,,,,,,,,,,,
55,8,2012,,,,,5,,,9,,,,,1.51,,0.84,,,,,,,,,,,,
56,9,2018,1532.0,304.0,8.0,,11,73.0,,18,29.41,,,,19.24,89.0,11.76,0.0,,27.0,3.3,272.0,58.0,,,,,0.0,
57,9,2017,1417.0,294.0,7.0,84.0,13,88.0,0.0,13,25.36,14.0,16.0,620.0,13.89,94.0,13.89,,0.0,32.0,3.1,276.0,61.0,0.0,1203.0,0.0,51.0,,
58,9,2016,1341.0,305.0,4.0,,12,96.0,1.1,15,14.65,,,,16.03,90.0,12.83,2.0,,35.0,3.2,273.0,62.0,3.0,,,,0.66,
59,9,2015,1254.0,302.0,2.0,,11,95.0,1.2,15,7.41,,,,16.03,89.0,11.7,2.0,,35.0,3.2,270.0,64.0,3.0,,,,0.66,260211.0
60,9,2013,1213.0,305.0,0.0,,2,108.0,0.4,7,0.0,,,,7.48,90.0,2.13,3.0,0.0,40.0,3.3,273.0,63.0,1.0,,0.0,,0.98,245591.0
61,9,2011,1198.0,305.0,0.0,,0,,1.2,6,0.0,,,,6.41,90.0,0.0,4.0,,,3.3,273.0,61.0,3.0,,,,1.31,
62,9,2014,,,,,8,,,16,,,,,17.1,,8.51,,,,,,,,,,,,
63,9,2012,,,,,2,,,8,,,,,8.55,,2.13,,,,,,,,,,,,
64,10,2018,1119.0,1597.0,12.0,,9,550.0,,37,10.01,,,,6.71,75.0,1.63,29.0,,46.0,2.9,1199.0,64.0,,,,,1.82,
65,10,2017,1100.0,1586.0,6.0,89.0,13,577.0,0.0,64,5.05,4.0,7.0,,11.61,75.0,2.36,,0.0,49.0,2.9,1188.0,63.0,0.0,761.0,0.0,38.0,,
66,10,2016,1085.0,1592.0,8.0,,10,570.0,0.4,58,6.7,,,,10.52,75.0,1.81,47.0,,48.0,2.9,1194.0,63.0,4.0,,,,2.95,
67,10,2015,1077.0,1592.0,0.0,,3,484.0,0.6,53,0.0,,,,9.61,75.0,0.54,58.0,,41.0,2.9,1194.0,62.0,6.0,,,,3.64,141766.0
68,10,2013,1068.0,1595.0,3.0,,0,601.0,0.8,32,2.51,,,,5.8,75.0,0.0,83.0,0.0,50.0,2.9,1196.0,60.0,9.0,,0.0,,5.2,107523.0
69,10,2011,1068.0,1599.0,0.0,,1,,1.4,15,0.0,,,,2.72,75.0,0.18,54.0,,,2.9,1201.0,58.0,15.0,,,,3.38,
70,10,2014,,,,,8,,,38,,,,,6.89,,1.45,,,,,,,,,,,,
71,10,2012,,,,,0,,,25,,,,,4.54,,0.0,,,,,,,,,,,,
72,11,2018,2378.0,1253.0,13.0,,16,136.0,,53,16.01,,,,10.39,65.0,3.14,2.0,,17.0,2.5,812.0,55.0,,,,,0.16,
73,11,2017,2341.0,1231.0,10.0,92.0,12,145.0,0.0,39,12.69,4.0,7.0,,7.65,64.0,2.35,,0.0,18.0,2.4,788.0,55.0,0.0,1044.0,0.0,57.0,,
74,11,2016,2245.0,1225.0,4.0,,9,153.0,0.0,53,5.1,,,,10.39,64.0,1.76,1.0,,20.0,2.4,784.0,56.0,0.0,,,,0.08,
75,11,2015,2177.0,1225.0,10.0,,14,137.0,0.3,69,12.76,,,,13.53,64.0,2.75,2.0,,17.0,2.4,784.0,56.0,3.0,,,,0.16,529879.0
76,11,2013,2117.0,1212.0,8.0,,17,159.0,0.1,42,10.38,,,,8.23,64.0,3.33,1.0,0.0,21.0,2.4,771.0,56.0,1.0,,0.0,,0.08,455198.0
77,11,2011,2045.0,1209.0,0.0,,5,,0.4,48,0.0,,,,9.41,64.0,0.98,1.0,,,2.4,768.0,56.0,4.0,,,,0.08,
78,11,2014,,,,,15,,,46,,,,,9.02,,2.94,,,,,,,,,,,,
79,11,2012,,,,,8,,,34,,,,,6.67,,1.57,,,,,,,,,,,,
80,12,2018,,1257.0,,,0,,,0,,,,,0.0,0.0,0.0,10.0,,,7.9,0.0,,,,,,0.8,
81,12,2017,,1257.0,,91.0,0,,0.0,0,,6.0,4.0,,0.0,0.0,0.0,,0.0,,7.9,0.0,,0.0,882.0,0.0,15.0,,
82,12,2016,,1257.0,,,0,,0.4,0,,,,,0.0,0.0,0.0,16.0,,,7.9,0.0,,3.0,,,,1.27,
83,12,2015,,1257.0,,,0,,0.0,0,,,,,0.0,0.0,0.0,22.0,,,7.9,0.0,,0.0,,,,1.75,73375.0
84,12,2013,,1257.0,,,0,,1.7,0,,,,,0.0,0.0,0.0,15.0,0.0,,7.9,0.0,,12.0,,0.0,,1.19,31576.0
85,12,2011,,1257.0,,,0,,4.2,0,,,,,0.0,0.0,0.0,14.0,,,7.9,0.0,,30.0,,,,1.11,
86,12,2014,,,,,0,,,0,,,,,0.0,,0.0,,,,,,,,,,,,
87,12,2012,,,,,0,,,0,,,,,0.0,,0.0,,,,,,,,,,,,
88,13,2018,1346.0,1832.0,3.0,,0,139.0,,30,4.75,,,,6.56,35.0,0.0,7.0,,22.0,4.0,632.0,59.0,,,,,0.38,
89,13,2017,1344.0,1831.0,0.0,87.0,1,145.0,0.0,22,0.0,7.0,5.0,,4.81,34.0,0.22,,0.0,23.0,4.0,631.0,58.0,0.0,820.0,0.0,37.0,,
90,13,2016,1337.0,1830.0,0.0,,1,144.0,0.0,22,0.0,,,,4.81,34.0,0.22,8.0,,23.0,4.0,630.0,58.0,0.0,,,,0.44,
91,13,2015,1326.0,1827.0,1.0,,1,146.0,0.8,28,1.59,,,,6.12,34.0,0.22,10.0,,23.0,4.0,627.0,57.0,5.0,,,,0.55,220338.0
92,13,2013,1280.0,1810.0,1.0,,12,150.0,0.5,15,1.64,,,,3.28,34.0,2.63,13.0,0.0,25.0,4.0,610.0,56.0,3.0,,0.0,,0.72,215811.0
93,13,2011,1277.0,1812.0,0.0,,78,,0.3,15,0.0,,,,3.28,34.0,17.07,7.0,,,4.0,612.0,54.0,2.0,,,,0.39,
94,13,2014,,,,,8,,,21,,,,,4.59,,1.75,,,,,,,,,,,,
95,13,2012,,,,,0,,,12,,,,,2.62,,0.0,,,,,,,,,,,,
96,14,2018,1883.0,1611.0,0.0,,0,238.0,,3,0.0,,,,0.69,54.0,0.0,3.0,,27.0,3.7,875.0,21.0,,,,,0.19,
97,14,2017,1886.0,1611.0,0.0,95.0,0,225.0,0.0,4,0.0,19.0,7.0,,0.92,54.0,0.0,,0.0,26.0,3.7,874.0,20.0,0.0,1090.0,0.0,35.0,,
98,14,2016,1884.0,1613.0,0.0,,0,219.0,0.3,12,0.0,,,,2.75,54.0,0.0,6.0,,25.0,3.7,877.0,19.0,3.0,,,,0.37,
99,14,2015,1881.0,1614.0,0.0,,0,200.0,1.5,6,0.0,,,,1.38,54.0,0.0,6.0,,23.0,3.7,878.0,18.0,13.0,,,,0.37,147721.0
100,14,2013,1874.0,1614.0,1.0,,0,171.0,2.0,5,1.14,,,,1.15,54.0,0.0,7.0,0.0,19.0,3.7,878.0,16.0,17.0,,0.0,,0.43,140580.0
101,14,2011,1874.0,1613.0,0.0,,0,,1.5,3,0.0,,,,0.69,54.0,0.0,3.0,,,3.7,879.0,14.0,13.0,,,,0.19,
102,14,2014,,,,,0,,,6,,,,,1.38,,0.0,,,,,,,,,,,,
103,14,2012,,,,,0,,,10,,,,,2.29,,0.0,,,,,,,,,,,,
104,15,2018,2349.0,848.0,1.0,,1,104.0,,25,1.24,,,,3.62,95.0,0.14,2.0,,13.0,1.2,809.0,42.0,,,,,0.24,
105,15,2017,2346.0,848.0,0.0,97.0,0,103.0,0.0,28,0.0,5.0,5.0,,4.06,95.0,0.0,,0.0,13.0,1.2,809.0,41.0,0.0,1625.0,0.0,94.0,,
106,15,2016,2338.0,838.0,1.0,,3,107.0,0.1,26,1.25,,,,3.77,95.0,0.43,2.0,,13.0,1.2,799.0,40.0,1.0,,,,0.24,
107,15,2015,2323.0,833.0,1.0,,10,107.0,0.7,26,1.26,,,,3.77,95.0,1.45,3.0,,13.0,1.2,794.0,40.0,6.0,,,,0.36,277405.0
108,15,2013,2320.0,825.0,1.0,,8,109.0,0.5,19,1.27,,,,2.75,95.0,1.16,6.0,0.0,14.0,1.2,786.0,38.0,4.0,,0.0,,0.73,251774.0
109,15,2011,2324.0,825.0,0.0,,1,,0.4,19,0.0,,,,2.75,95.0,0.14,1.0,,,1.2,786.0,37.0,3.0,,,,0.12,
110,15,2014,,,,,5,,,38,,,,,5.51,,0.72,,,,,,,,,,,,
111,15,2012,,,,,2,,,16,,,,,2.32,,0.29,,,,,,,,,,,,
112,16,2018,1475.0,2112.0,0.0,,0,333.0,,12,0.0,,,,1.66,56.0,0.0,8.0,,28.0,2.9,1189.0,47.0,,,,,0.38,
113,16,2017,1474.0,2113.0,0.0,93.0,0,333.0,0.1,15,0.0,4.0,5.0,,2.07,56.0,0.0,,0.0,28.0,2.9,1190.0,46.0,2.0,932.0,0.0,47.0,,
114,16,2016,1473.0,2114.0,1.0,,0,340.0,0.9,22,0.84,,,,3.04,56.0,0.0,15.0,,29.0,2.9,1191.0,45.0,13.0,,,,0.71,
115,16,2015,1474.0,2112.0,0.0,,0,332.0,1.4,26,0.0,,,,3.58,56.0,0.0,23.0,,28.0,2.9,1189.0,44.0,20.0,,,,1.09,109167.0
116,16,2013,1471.0,2112.0,0.0,,0,320.0,1.4,11,0.0,,,,1.52,56.0,0.0,21.0,0.0,27.0,2.9,1189.0,42.0,20.0,,0.0,,0.99,107564.0
117,16,2011,1467.0,2119.0,0.0,,0,,1.2,20,0.0,,,,2.76,56.0,0.0,13.0,,,2.9,1196.0,40.0,17.0,,,,0.61,
118,16,2014,,,,,0,,,19,,,,,2.62,,0.0,,,,,,,,,,,,
119,16,2012,,,,,1,,,15,,,,,2.07,,0.14,,,,,,,,,,,,
120,17,2018,1613.0,1250.0,0.0,,0,217.0,,7,0.0,,,,1.54,69.0,0.0,2.0,,25.0,2.8,857.0,47.0,,,,,0.16,
121,17,2017,1612.0,1253.0,3.0,91.0,1,222.0,0.0,8,3.49,7.0,6.0,,1.76,69.0,0.22,,180.0,26.0,2.8,860.0,46.0,0.0,714.0,14.0,49.0,,
122,17,2016,1612.0,1253.0,1.0,,0,228.0,0.4,11,1.16,,,,2.43,69.0,0.0,27.0,,27.0,2.8,859.0,45.0,3.0,,,,2.15,
123,17,2015,1610.0,1256.0,1.0,,0,221.0,1.2,13,1.16,,,,2.87,69.0,0.0,20.0,,26.0,2.8,863.0,44.0,10.0,,,,1.59,686531.0
124,17,2013,1603.0,1256.0,0.0,,0,213.0,1.3,7,0.0,,,,1.54,69.0,0.0,18.0,16.0,25.0,2.8,863.0,42.0,11.0,,1.0,,1.43,81929.0
125,17,2011,1602.0,1256.0,1.0,,0,,1.8,4,1.16,,,,0.88,69.0,0.0,14.0,,,2.8,863.0,40.0,15.0,,,,1.11,
126,17,2014,,,,,0,,,8,,,,,1.76,,0.0,,,,,,,,,,,,
127,17,2012,,,,,0,,,6,,,,,1.32,,0.0,,,,,,,,,,,,
128,18,2018,3130.0,1684.0,8.0,,10,61.0,,47,10.78,,,,7.64,44.0,1.63,4.0,,8.0,2.7,742.0,40.0,,,,,0.24,
129,18,2017,3108.0,1665.0,23.0,86.0,37,86.0,0.0,64,31.81,6.0,7.0,,10.4,43.0,6.01,,0.0,12.0,2.7,723.0,42.0,0.0,1129.0,0.0,44.0,,
130,18,2016,3017.0,1693.0,11.0,,25,100.0,0.0,65,15.51,,,,10.57,42.0,4.06,14.0,,14.0,2.8,709.0,43.0,0.0,,,,0.83,
131,18,2015,2945.0,1695.0,8.0,,22,93.0,0.1,58,11.27,,,,9.43,42.0,3.58,11.0,,13.0,2.8,710.0,43.0,1.0,,,,0.65,667693.0
132,18,2013,2886.0,1691.0,2.0,,10,104.0,0.4,42,2.83,,,,6.83,42.0,1.63,18.0,0.0,15.0,2.8,706.0,43.0,3.0,,0.0,,1.06,559354.0
133,18,2011,2851.0,1598.0,2.0,,3,,1.2,26,2.84,,,,4.23,44.0,0.49,5.0,,,2.6,703.0,42.0,9.0,,,,0.31,
134,18,2014,,,,,29,,,53,,,,,8.62,,4.72,,,,,,,,,,,,
135,18,2012,,,,,0,,,31,,,,,5.04,,0.0,,,,,,,,,,,,
136,19,2018,2314.0,1770.0,5.0,,4,111.0,,42,4.42,,,,5.01,64.0,0.48,1.0,,10.0,2.1,1130.0,45.0,,,,,0.06,
137,19,2017,2301.0,1762.0,0.0,94.0,8,106.0,0.1,45,0.0,4.0,4.0,,5.37,64.0,0.95,,0.0,9.0,2.1,1122.0,44.0,2.0,1186.0,0.0,84.0,,
138,19,2016,2298.0,1762.0,0.0,,18,109.0,0.4,61,0.0,,,,7.28,64.0,2.15,5.0,,10.0,2.1,1122.0,43.0,7.0,,,,0.28,
139,19,2015,2295.0,1762.0,0.0,,0,87.0,0.2,43,0.0,,,,5.13,64.0,0.0,5.0,,8.0,2.1,1122.0,42.0,3.0,,,,0.28,297964.0
140,19,2013,2286.0,1759.0,0.0,,4,97.0,0.7,37,0.0,,,,4.42,64.0,0.48,1.0,0.0,9.0,2.1,1119.0,40.0,12.0,,0.0,,0.06,232809.0
141,19,2011,2274.0,1755.0,1.0,,0,,0.7,38,0.9,,,,4.53,64.0,0.0,1.0,,,2.1,1115.0,38.0,11.0,,,,0.06,
142,19,2014,,,,,2,,,41,,,,,4.89,,0.24,,,,,,,,,,,,
143,19,2012,,,,,5,,,42,,,,,5.01,,0.6,,,,,,,,,,,,
144,20,2018,1938.0,1452.0,0.0,,0,74.0,,13,0.0,,,,3.26,52.0,0.0,1.0,,10.0,3.6,760.0,22.0,,,,,0.07,
145,20,2017,1937.0,1452.0,0.0,100.0,0,74.0,0.0,7,0.0,0.0,4.0,,1.75,52.0,0.0,,0.0,10.0,3.6,760.0,21.0,0.0,1399.0,0.0,71.0,,
146,20,2016,1936.0,1452.0,0.0,,0,76.0,0.2,20,0.0,,,,5.01,52.0,0.0,1.0,,10.0,3.6,760.0,20.0,2.0,,,,0.07,
147,20,2015,1936.0,1452.0,0.0,,0,72.0,0.4,16,0.0,,,,4.01,52.0,0.0,1.0,,9.0,3.6,760.0,19.0,4.0,,,,0.07,206943.0
148,20,2013,1935.0,1452.0,0.0,,0,77.0,0.8,6,0.0,,,,1.5,52.0,0.0,0.0,0.0,10.0,3.6,760.0,17.0,9.0,,0.0,,0.0,192852.0
149,20,2011,1936.0,1453.0,0.0,,0,,0.5,5,0.0,,,,1.25,52.0,0.0,0.0,,,3.6,761.0,15.0,6.0,,,,0.0,
150,20,2014,,,,,0,,,12,,,,,3.01,,0.0,,,,,,,,,,,,
151,20,2012,,,,,0,,,14,,,,,3.51,,0.0,,,,,,,,,,,,
152,21,2018,1422.0,1209.0,3.0,,3,130.0,,4,8.65,,,,0.44,29.0,0.33,2.0,,37.0,1.3,347.0,38.0,,,,,0.17,
153,21,2017,1423.0,1221.0,2.0,99.0,3,134.0,0.0,8,5.8,3.0,7.0,53.0,0.88,28.0,0.33,,115.0,39.0,1.3,345.0,37.0,0.0,754.0,9.0,18.0,,
154,21,2016,1418.0,1224.0,3.0,,1,138.0,1.5,6,8.65,,,,0.66,28.0,0.11,11.0,,40.0,1.3,347.0,36.0,6.0,,,,0.9,
155,21,2015,1399.0,1220.0,0.0,,0,129.0,3.4,4,0.0,,,,0.44,28.0,0.0,24.0,,38.0,1.3,344.0,36.0,13.0,,,,1.97,183875.0
156,21,2013,1386.0,1216.0,0.0,,4,133.0,0.3,3,0.0,,,,0.33,28.0,0.44,11.0,115.0,39.0,1.3,340.0,36.0,1.0,,9.0,,0.9,115917.0
157,21,2011,1340.0,1168.0,1.0,,2,,2.1,5,3.42,,,,0.55,25.0,0.22,6.0,,,1.3,292.0,39.0,7.0,,,,0.51,
158,21,2014,,,,,11,,,7,,,,,0.77,,1.21,,,,,,,,,,,,
159,21,2012,,,,,43,,,8,,,,,0.88,,4.71,,,,,,,,,,,,
160,22,2018,1123.0,688.0,19.0,,340,82.0,,7,108.57,,,,2.23,25.0,108.19,15.0,,47.0,2.2,175.0,72.0,,,,,2.18,
161,22,2017,1123.0,695.0,3.0,82.0,415,93.0,0.0,7,16.48,7.0,8.0,90.0,2.23,26.0,132.06,,0.0,51.0,2.2,182.0,71.0,0.0,1215.0,0.0,42.0,,
162,22,2016,1116.0,508.0,1.0,,1,93.0,0.0,1,5.41,,,,0.32,36.0,0.32,8.0,,50.0,1.6,185.0,70.0,0.0,,,,1.57,
163,22,2015,1108.0,499.0,1.0,,163,87.0,0.8,5,5.41,,,,1.59,37.0,51.91,5.0,,47.0,1.6,185.0,70.0,2.0,,,,1.0,180556.0
164,22,2013,1108.0,364.0,0.0,,182,96.0,1.3,5,0.0,,,,1.59,51.0,57.96,7.0,0.0,51.0,1.2,187.0,70.0,3.0,,0.0,,1.92,112591.0
165,22,2011,1109.0,467.0,2.0,,0,,2.2,4,10.64,,,,1.27,40.0,0.0,8.0,,,1.5,188.0,68.0,5.0,,,,1.71,
166,22,2014,,,,,6,,,6,,,,,1.91,,1.91,,,,,,,,,,,,
167,22,2012,,,,,0,,,3,,,,,0.95,,0.0,,,,,,,,,,,,
168,23,2018,1471.0,550.0,2.0,,8,48.0,,4,10.53,,,,1.42,35.0,2.85,5.0,,25.0,2.0,190.0,37.0,,,,,0.91,
169,23,2017,1461.0,549.0,0.0,100.0,0,51.0,0.4,4,0.0,0.0,8.0,138.0,1.42,35.0,0.0,,403.0,27.0,2.0,191.0,36.0,1.0,584.0,73.0,21.0,,
170,23,2016,1460.0,550.0,1.0,,2,53.0,0.0,8,5.24,,,,2.85,35.0,0.71,10.0,,28.0,2.0,191.0,35.0,0.0,,,,1.82,
171,23,2015,1458.0,550.0,0.0,,0,53.0,0.8,3,0.0,,,,1.07,35.0,0.0,7.0,,28.0,2.0,191.0,34.0,2.0,,,,1.27,117045.0
172,23,2013,1460.0,550.0,0.0,,0,52.0,1.2,1,0.0,,,,0.36,35.0,0.0,9.0,403.0,27.0,2.0,191.0,32.0,3.0,,73.0,,1.64,107088.0
173,23,2011,1455.0,549.0,0.0,,0,,3.1,1,0.0,,,,0.36,35.0,0.0,3.0,,,2.0,191.0,30.0,8.0,,,,0.55,
174,23,2014,,,,,0,,,1,,,,,0.36,,0.0,,,,,,,,,,,,
175,23,2012,,,,,1,,,0,,,,,0.0,,0.36,,,,,,,,,,,,
176,24,2018,1493.0,426.0,2.0,,1,65.0,,22,6.1,,,,12.22,77.0,0.56,0.0,,20.0,2.4,328.0,62.0,,,,,0.0,
177,24,2017,1491.0,446.0,8.0,92.0,1,66.0,0.0,17,24.39,10.0,12.0,91.0,9.44,74.0,0.56,,0.0,20.0,2.5,328.0,61.0,0.0,883.0,0.0,51.0,,
178,24,2016,1488.0,446.0,0.0,,0,66.0,0.0,21,0.0,,,,11.66,74.0,0.0,0.0,,20.0,2.5,328.0,60.0,0.0,,,,0.0,
