,NPA,year,hispanic_latino_moe,asian_population_moe,age_of_residents_moe,youth_population,black_population_moe,white_population_moe,all_other_races,white_population,youth_population_moe,all_other_races_moe,hispanic_latino,vacant_land_area,age_of_residents,black_population,asian_population,vacant_land,older_adult_population,area,population_density,population,older_adult_population_moe
1740,296,2015,,,,,,,,,,,,203.19,,,,27.4,,741.0,2.0,1570.0,
1741,296,2013,,,,,,,,,,,,203.0,,,,27.4,,741.0,2.0,1356.0,
1742,296,2018,,,,,,,,,,,,203.0,,,,27.4,,,3.0,2062.0,
1743,296,2017,6.0,3.0,2.0,25.0,5.0,4.0,0.0,34.0,6.0,3.0,7.0,203.0,35.0,55.0,3.0,27.4,10.0,,3.0,1910.0,3.0
1744,296,2016,,,,,,,,,,,,203.0,,,,27.4,,,2.0,1657.0,
1745,296,2011,,,,,,,,,,,,203.0,,,,27.4,,,,,
1746,297,2015,,,,,,,,,,,,0.0,,,,0.0,,104.0,4.0,450.0,
1747,297,2013,,,,,,,,,,,,0.0,,,,0.0,,104.0,4.0,441.0,
1748,297,2018,,,,,,,,,,,,0.0,,,,0.0,,,4.0,448.0,
1749,297,2017,3.0,6.0,9.0,29.0,3.0,5.0,11.0,85.0,11.0,26.0,0.0,0.0,46.0,0.0,4.0,0.0,8.0,,4.0,449.0,9.0
1750,297,2016,,,,,,,,,,,,0.0,,,,0.0,,,4.0,450.0,
1751,297,2011,,,,,,,,,,,,0.0,,,,0.0,,,,,
1752,298,2015,,,,,,,,,,,,0.19,,,,0.1,,253.0,6.0,1510.0,
1753,298,2013,,,,,,,,,,,,0.0,,,,0.1,,253.0,6.0,1511.0,
1754,298,2018,,,,,,,,,,,,0.0,,,,0.1,,,6.0,1517.0,
1755,298,2017,15.0,1.0,4.0,16.0,13.0,9.0,2.0,39.0,8.0,5.0,22.0,0.0,33.0,36.0,0.0,0.1,6.0,,6.0,1524.0,3.0
1756,298,2016,,,,,,,,,,,,0.0,,,,0.1,,,6.0,1522.0,
1757,298,2011,,,,,,,,,,,,0.0,,,,0.1,,,,,
1758,299,2015,,,,,,,,,,,,107.66,,,,22.5,,479.0,6.0,3076.0,
1759,299,2013,,,,,,,,,,,,108.0,,,,22.5,,479.0,6.0,3012.0,
1760,299,2018,,,,,,,,,,,,108.0,,,,22.5,,,7.0,3585.0,
1761,299,2017,7.0,5.0,3.0,21.0,10.0,6.0,3.0,24.0,6.0,4.0,18.0,108.0,32.0,50.0,5.0,22.5,5.0,,7.0,3303.0,2.0
1762,299,2016,,,,,,,,,,,,108.0,,,,22.5,,,7.0,3120.0,
1763,299,2011,,,,,,,,,,,,74.0,,,,15.5,,,,,
1764,300,2015,,,,,,,,,,,,63.77,,,,13.6,,469.0,2.0,1085.0,
1765,300,2013,,,,,,,,,,,,64.0,,,,13.6,,469.0,2.0,1086.0,
1766,300,2018,,,,,,,,,,,,64.0,,,,13.6,,,2.0,1090.0,
1767,300,2017,16.0,2.0,16.0,7.0,20.0,11.0,1.0,43.0,7.0,5.0,14.0,64.0,40.0,40.0,2.0,13.6,26.0,,2.0,1094.0,9.0
1768,300,2016,,,,,,,,,,,,64.0,,,,13.6,,,2.0,1093.0,
1769,300,2011,,,,,,,,,,,,64.0,,,,13.6,,,,,
1770,301,2015,,,,,,,,,,,,112.52,,,,21.2,,531.0,4.0,2249.0,
1771,301,2013,,,,,,,,,,,,113.0,,,,21.2,,531.0,4.0,2113.0,
1772,301,2018,,,,,,,,,,,,113.0,,,,21.2,,,5.0,2391.0,
1773,301,2017,5.0,6.0,5.0,19.0,10.0,11.0,7.0,34.0,8.0,9.0,5.0,113.0,36.0,43.0,12.0,21.2,11.0,,4.0,2386.0,4.0
1774,301,2016,,,,,,,,,,,,113.0,,,,21.2,,,4.0,2295.0,
1775,301,2011,,,,,,,,,,,,146.0,,,,27.5,,,,,
1776,302,2015,,,,,,,,,,,,0.0,,,,0.0,,372.0,8.0,2994.0,
1777,302,2013,,,,,,,,,,,,0.0,,,,0.0,,372.0,8.0,2944.0,
1778,302,2018,,,,,,,,,,,,0.0,,,,0.0,,,8.0,2978.0,
1779,302,2017,11.0,3.0,2.0,25.0,6.0,5.0,1.0,64.0,5.0,2.0,23.0,0.0,35.0,7.0,6.0,0.0,6.0,,8.0,2974.0,2.0
1780,302,2016,,,,,,,,,,,,0.0,,,,0.0,,,8.0,3006.0,
1781,302,2011,,,,,,,,,,,,0.0,,,,0.0,,,,,
1782,303,2015,,,,,,,,,,,,0.0,,,,0.0,,200.0,9.0,1804.0,
1783,303,2013,,,,,,,,,,,,0.0,,,,0.0,,200.0,9.0,1785.0,
1784,303,2018,,,,,,,,,,,,0.0,,,,0.0,,,10.0,1920.0,
1785,303,2017,9.0,17.0,7.0,14.0,6.0,4.0,0.0,55.0,8.0,3.0,11.0,0.0,35.0,10.0,23.0,0.0,7.0,,9.0,1807.0,4.0
1786,303,2016,,,,,,,,,,,,0.0,,,,0.0,,,9.0,1806.0,
1787,303,2011,,,,,,,,,,,,0.0,,,,0.0,,,,,
1788,304,2015,,,,,,,,,,,,7.3,,,,11.0,,66.0,19.0,1236.0,
1789,304,2013,,,,,,,,,,,,7.0,,,,11.0,,66.0,18.0,1210.0,
1790,304,2018,,,,,,,,,,,,7.0,,,,11.0,,,19.0,1235.0,
1791,304,2017,17.0,1.0,5.0,44.0,11.0,1.0,3.0,0.0,5.0,7.0,45.0,7.0,23.0,51.0,0.0,11.0,2.0,,19.0,1241.0,3.0
1792,304,2016,,,,,,,,,,,,7.0,,,,11.0,,,19.0,1241.0,
1793,304,2011,,,,,,,,,,,,7.0,,,,11.0,,,,,
1794,305,2015,,,,,,,,,,,,52.83,,,,17.6,,300.0,3.0,896.0,
1795,305,2013,,,,,,,,,,,,53.0,,,,17.6,,300.0,3.0,882.0,
1796,305,2018,,,,,,,,,,,,53.0,,,,17.6,,,3.0,899.0,
1797,305,2017,4.0,2.0,16.0,17.0,17.0,10.0,0.0,26.0,9.0,8.0,3.0,53.0,40.0,71.0,0.0,17.6,15.0,,3.0,894.0,8.0
1798,305,2016,,,,,,,,,,,,53.0,,,,17.6,,,3.0,893.0,
1799,305,2011,,,,,,,,,,,,53.0,,,,17.6,,,,,
1800,306,2015,,,,,,,,,,,,250.95,,,,36.9,,679.0,2.0,1334.0,
1801,306,2013,,,,,,,,,,,,251.0,,,,36.9,,681.0,1.0,981.0,
1802,306,2018,,,,,,,,,,,,251.0,,,,37.0,,,2.0,1670.0,
1803,306,2017,1.0,1.0,3.0,58.0,2.0,1.0,0.0,0.0,9.0,5.0,1.0,251.0,13.0,99.0,0.0,37.0,3.0,,3.0,1721.0,4.0
1804,306,2016,,,,,,,,,,,,251.0,,,,37.0,,,2.0,1487.0,
1805,306,2011,,,,,,,,,,,,251.0,,,,36.9,,,,,
1806,307,2015,,,,,,,,,,,,12.17,,,,2.4,,516.0,6.0,2972.0,
1807,307,2013,,,,,,,,,,,,12.0,,,,2.4,,516.0,6.0,2948.0,
1808,307,2018,,,,,,,,,,,,12.0,,,,2.4,,,8.0,3926.0,
1809,307,2017,12.0,2.0,4.0,19.0,14.0,8.0,1.0,23.0,7.0,2.0,22.0,12.0,35.0,52.0,3.0,2.4,6.0,,8.0,3909.0,3.0
1810,307,2016,,,,,,,,,,,,12.0,,,,2.4,,,8.0,3912.0,
1811,307,2011,,,,,,,,,,,,12.0,,,,2.4,,,,,
1812,308,2015,,,,,,,,,,,,4.6,,,,1.9,,241.0,5.0,1267.0,
1813,308,2013,,,,,,,,,,,,5.0,,,,1.9,,241.0,5.0,1152.0,
1814,308,2018,,,,,,,,,,,,5.0,,,,1.9,,,5.0,1267.0,
1815,308,2017,4.0,10.0,3.0,27.0,1.0,5.0,13.0,66.0,8.0,16.0,4.0,5.0,39.0,1.0,16.0,1.9,11.0,,5.0,1267.0,6.0
1816,308,2016,,,,,,,,,,,,5.0,,,,1.9,,,5.0,1267.0,
1817,308,2011,,,,,,,,,,,,5.0,,,,1.9,,,,,
1818,309,2015,,,,,,,,,,,,24.54,,,,3.4,,725.0,2.0,1782.0,
1819,309,2013,,,,,,,,,,,,25.0,,,,3.4,,725.0,2.0,1732.0,
1820,309,2018,,,,,,,,,,,,25.0,,,,3.4,,,2.0,1805.0,
1821,309,2017,29.0,8.0,3.0,29.0,2.0,27.0,5.0,53.0,16.0,7.0,27.0,25.0,44.0,2.0,14.0,3.4,12.0,,2.0,1805.0,4.0
1822,309,2016,,,,,,,,,,,,25.0,,,,3.4,,,2.0,1802.0,
1823,309,2011,,,,,,,,,,,,25.0,,,,3.4,,,,,
1824,310,2015,,,,,,,,,,,,13.91,,,,3.4,,406.0,5.0,2219.0,
1825,310,2013,,,,,,,,,,,,14.0,,,,3.4,,406.0,5.0,2209.0,
1826,310,2018,,,,,,,,,,,,14.0,,,,3.4,,,5.0,2230.0,
1827,310,2017,4.0,7.0,4.0,33.0,3.0,10.0,6.0,79.0,9.0,10.0,5.0,14.0,39.0,3.0,8.0,3.4,11.0,,5.0,2228.0,4.0
1828,310,2016,,,,,,,,,,,,14.0,,,,3.4,,,5.0,2228.0,
1829,310,2011,,,,,,,,,,,,14.0,,,,3.4,,,,,
1830,311,2015,,,,,,,,,,,,33.87,,,,8.7,,389.0,3.0,1217.0,
1831,311,2013,,,,,,,,,,,,34.0,,,,8.7,,389.0,3.0,1243.0,
1832,311,2018,,,,,,,,,,,,34.0,,,,8.7,,,3.0,1233.0,
1833,311,2017,3.0,1.0,10.0,18.0,6.0,2.0,3.0,2.0,10.0,8.0,3.0,34.0,45.0,92.0,0.0,8.7,21.0,,3.0,1240.0,7.0
1834,311,2016,,,,,,,,,,,,34.0,,,,8.7,,,3.0,1226.0,
1835,311,2011,,,,,,,,,,,,34.0,,,,8.7,,,,,
1836,312,2015,,,,,,,,,,,,7.2,,,,3.5,,207.0,9.0,1776.0,
1837,312,2013,,,,,,,,,,,,7.0,,,,3.5,,207.0,8.0,1748.0,
1838,312,2018,,,,,,,,,,,,7.0,,,,3.5,,,9.0,1782.0,
1839,312,2017,16.0,1.0,16.0,26.0,13.0,4.0,1.0,5.0,7.0,6.0,14.0,7.0,32.0,80.0,0.0,3.5,8.0,,9.0,1775.0,5.0
1840,312,2016,,,,,,,,,,,,7.0,,,,3.5,,,9.0,1776.0,
1841,312,2011,,,,,,,,,,,,7.0,,,,3.5,,,,,
1842,313,2015,,,,,,,,,,,,49.9,,,,7.7,,647.0,3.0,1668.0,
1843,313,2013,,,,,,,,,,,,50.0,,,,7.7,,647.0,3.0,1668.0,
1844,313,2018,,,,,,,,,,,,50.0,,,,7.7,,,3.0,1668.0,
1845,313,2017,22.0,9.0,8.0,31.0,13.0,5.0,2.0,9.0,7.0,5.0,42.0,50.0,26.0,44.0,2.0,7.7,3.0,,3.0,1668.0,3.0
1846,313,2016,,,,,,,,,,,,50.0,,,,7.7,,,3.0,1668.0,
1847,313,2011,,,,,,,,,,,,50.0,,,,7.7,,,,,
1848,314,2015,,,,,,,,,,,,4.27,,,,1.3,,319.0,8.0,2651.0,
1849,314,2013,,,,,,,,,,,,4.0,,,,1.3,,319.0,8.0,2645.0,
1850,314,2018,,,,,,,,,,,,4.0,,,,1.4,,,8.0,2633.0,
1851,314,2017,15.0,5.0,8.0,17.0,14.0,16.0,4.0,34.0,9.0,5.0,23.0,4.0,34.0,35.0,4.0,1.4,6.0,,8.0,2618.0,4.0
1852,314,2016,,,,,,,,,,,,4.0,,,,1.3,,,8.0,2618.0,
1853,314,2011,,,,,,,,,,,,4.0,,,,1.3,,,,,
1854,315,2015,,,,,,,,,,,,26.73,,,,11.1,,241.0,3.0,741.0,
1855,315,2013,,,,,,,,,,,,27.0,,,,11.2,,241.0,3.0,611.0,
1856,315,2018,,,,,,,,,,,,27.0,,,,11.1,,,8.0,1851.0,
1857,315,2017,1.0,1.0,3.0,12.0,9.0,10.0,5.0,73.0,6.0,9.0,0.0,27.0,35.0,23.0,0.0,11.1,7.0,,3.0,759.0,4.0
1858,315,2016,,,,,,,,,,,,27.0,,,,11.1,,,3.0,746.0,
1859,315,2011,,,,,,,,,,,,27.0,,,,11.2,,,,,
1860,316,2015,,,,,,,,,,,,27.55,,,,6.4,,432.0,10.0,4264.0,
1861,316,2013,,,,,,,,,,,,28.0,,,,6.4,,432.0,10.0,4301.0,
1862,316,2018,,,,,,,,,,,,28.0,,,,6.4,,,10.0,4318.0,
1863,316,2017,9.0,3.0,,28.0,8.0,3.0,0.0,9.0,4.0,2.0,42.0,28.0,29.0,44.0,5.0,6.4,7.0,,10.0,4307.0,2.0
1864,316,2016,,,,,,,,,,,,28.0,,,,6.4,,,10.0,4305.0,
1865,316,2011,,,,,,,,,,,,28.0,,,,6.4,,,,,
1866,317,2015,,,,,,,,,,,,31.91,,,,18.8,,170.0,5.0,798.0,
1867,317,2013,,,,,,,,,,,,32.0,,,,18.8,,170.0,5.0,784.0,
1868,317,2018,,,,,,,,,,,,32.0,,,,18.8,,,5.0,802.0,
1869,317,2017,33.0,1.0,11.0,55.0,8.0,6.0,1.0,6.0,32.0,5.0,22.0,32.0,17.0,71.0,0.0,18.8,8.0,,5.0,806.0,4.0
1870,317,2016,,,,,,,,,,,,32.0,,,,18.8,,,5.0,806.0,
1871,317,2011,,,,,,,,,,,,32.0,,,,18.8,,,,,
1872,318,2015,,,,,,,,,,,,26.06,,,,6.8,,385.0,4.0,1660.0,
1873,318,2013,,,,,,,,,,,,26.0,,,,6.8,,385.0,4.0,1661.0,
1874,318,2018,,,,,,,,,,,,26.0,,,,6.8,,,5.0,1853.0,
1875,318,2017,7.0,2.0,6.0,16.0,6.0,9.0,0.0,81.0,5.0,3.0,11.0,26.0,44.0,7.0,1.0,6.8,19.0,,5.0,1850.0,4.0
1876,318,2016,,,,,,,,,,,,26.0,,,,6.8,,,4.0,1663.0,
1877,318,2011,,,,,,,,,,,,26.0,,,,6.8,,,,,
1878,319,2015,,,,,,,,,,,,38.56,,,,5.4,,718.0,5.0,3305.0,
1879,319,2013,,,,,,,,,,,,39.0,,,,5.4,,719.0,4.0,3095.0,
1880,319,2018,,,,,,,,,,,,39.0,,,,5.4,,,5.0,3288.0,
1881,319,2017,10.0,7.0,6.0,22.0,11.0,5.0,1.0,40.0,5.0,3.0,22.0,39.0,40.0,29.0,9.0,5.4,16.0,,5.0,3294.0,5.0
1882,319,2016,,,,,,,,,,,,39.0,,,,5.4,,,5.0,3294.0,
1883,319,2011,,,,,,,,,,,,39.0,,,,5.4,,,,,
1884,320,2015,,,,,,,,,,,,1.75,,,,0.7,,264.0,4.0,1067.0,
1885,320,2013,,,,,,,,,,,,2.0,,,,0.7,,264.0,4.0,1077.0,
1886,320,2018,,,,,,,,,,,,2.0,,,,0.9,,,4.0,1021.0,
1887,320,2017,3.0,1.0,3.0,25.0,0.0,9.0,0.0,97.0,10.0,5.0,2.0,2.0,41.0,0.0,0.0,0.9,17.0,,4.0,989.0,4.0
1888,320,2016,,,,,,,,,,,,2.0,,,,0.9,,,4.0,1000.0,
1889,320,2011,,,,,,,,,,,,2.0,,,,0.7,,,,,
1890,321,2015,,,,,,,,,,,,33.0,,,,15.2,,217.0,5.0,1186.0,
1891,321,2013,,,,,,,,,,,,33.0,,,,15.2,,217.0,5.0,1149.0,
1892,321,2018,,,,,,,,,,,,33.0,,,,15.2,,,6.0,1200.0,
1893,321,2017,6.0,21.0,5.0,20.0,18.0,3.0,7.0,3.0,9.0,11.0,8.0,33.0,30.0,67.0,14.0,15.2,5.0,,6.0,1198.0,3.0
1894,321,2016,,,,,,,,,,,,33.0,,,,15.2,,,5.0,1193.0,
1895,321,2011,,,,,,,,,,,,33.0,,,,15.2,,,,,
1896,322,2015,,,,,,,,,,,,12.33,,,,6.2,,199.0,6.0,1209.0,
1897,322,2013,,,,,,,,,,,,12.0,,,,6.2,,199.0,6.0,1147.0,
1898,322,2018,,,,,,,,,,,,12.0,,,,6.2,,,6.0,1267.0,
1899,322,2017,14.0,1.0,9.0,32.0,22.0,5.0,2.0,18.0,4.0,3.0,24.0,12.0,23.0,56.0,1.0,6.2,5.0,,6.0,1271.0,3.0
1900,322,2016,,,,,,,,,,,,12.0,,,,6.2,,,6.0,1234.0,
1901,322,2011,,,,,,,,,,,,12.0,,,,6.2,,,,,
1902,323,2015,,,,,,,,,,,,19.48,,,,3.5,,564.0,5.0,2602.0,
1903,323,2013,,,,,,,,,,,,19.0,,,,3.5,,564.0,4.0,2452.0,
1904,323,2018,,,,,,,,,,,,20.0,,,,3.5,,,5.0,2652.0,
1905,323,2017,10.0,2.0,4.0,26.0,11.0,5.0,4.0,19.0,5.0,6.0,23.0,20.0,35.0,54.0,1.0,3.5,12.0,,5.0,2616.0,3.0
1906,323,2016,,,,,,,,,,,,19.0,,,,3.5,,,5.0,2608.0,
1907,323,2011,,,,,,,,,,,,19.0,,,,3.5,,,,,
1908,324,2015,,,,,,,,,,,,394.1,,,,28.8,,1367.0,1.0,1661.0,
1909,324,2013,,,,,,,,,,,,394.0,,,,28.8,,1367.0,1.0,1658.0,
1910,324,2018,,,,,,,,,,,,394.0,,,,28.8,,,1.0,1684.0,
1911,324,2017,6.0,1.0,3.0,25.0,15.0,7.0,1.0,62.0,7.0,3.0,7.0,394.0,43.0,29.0,1.0,28.8,11.0,,1.0,1669.0,5.0
1912,324,2016,,,,,,,,,,,,394.0,,,,28.8,,,1.0,1669.0,
1913,324,2011,,,,,,,,,,,,394.0,,,,28.8,,,,,
1914,325,2015,,,,,,,,,,,,44.24,,,,7.4,,599.0,5.0,2756.0,
1915,325,2013,,,,,,,,,,,,44.0,,,,7.4,,599.0,4.0,2688.0,
1916,325,2018,,,,,,,,,,,,44.0,,,,7.4,,,5.0,2794.0,
1917,325,2017,9.0,7.0,6.0,27.0,13.0,5.0,8.0,25.0,6.0,8.0,13.0,44.0,39.0,49.0,4.0,7.4,13.0,,5.0,2786.0,3.0
1918,325,2016,,,,,,,,,,,,44.0,,,,7.4,,,5.0,2783.0,
1919,325,2011,,,,,,,,,,,,44.0,,,,7.4,,,,,
1920,326,2015,,,,,,,,,,,,4.65,,,,3.1,,152.0,6.0,959.0,
1921,326,2013,,,,,,,,,,,,5.0,,,,3.1,,152.0,6.0,938.0,
1922,326,2018,,,,,,,,,,,,5.0,,,,3.1,,,6.0,954.0,
1923,326,2017,18.0,1.0,24.0,24.0,11.0,1.0,0.0,0.0,12.0,5.0,15.0,5.0,33.0,85.0,0.0,3.1,16.0,,6.0,960.0,5.0
1924,326,2016,,,,,,,,,,,,5.0,,,,3.1,,,6.0,962.0,
1925,326,2011,,,,,,,,,,,,5.0,,,,3.1,,,,,
1926,327,2015,,,,,,,,,,,,30.31,,,,13.2,,230.0,7.0,1708.0,
1927,327,2013,,,,,,,,,,,,30.0,,,,13.2,,230.0,7.0,1685.0,
1928,327,2018,,,,,,,,,,,,30.0,,,,13.2,,,7.0,1712.0,
1929,327,2017,29.0,12.0,12.0,43.0,19.0,6.0,3.0,8.0,13.0,7.0,32.0,30.0,26.0,49.0,8.0,13.2,16.0,,7.0,1720.0,5.0
1930,327,2016,,,,,,,,,,,,30.0,,,,13.2,,,7.0,1710.0,
1931,327,2011,,,,,,,,,,,,30.0,,,,13.2,,,,,
1932,328,2015,,,,,,,,,,,,124.19,,,,17.1,,727.0,2.0,1099.0,
1933,328,2013,,,,,,,,,,,,124.0,,,,17.1,,728.0,2.0,1093.0,
1934,328,2018,,,,,,,,,,,,124.0,,,,17.1,,,2.0,1090.0,
1935,328,2017,12.0,8.0,11.0,14.0,20.0,12.0,0.0,25.0,5.0,3.0,24.0,124.0,38.0,39.0,12.0,17.1,15.0,,2.0,1096.0,5.0
1936,328,2016,,,,,,,,,,,,124.0,,,,17.1,,,2.0,1097.0,
1937,328,2011,,,,,,,,,,,,124.0,,,,17.1,,,,,
1938,329,2015,,,,,,,,,,,,41.1,,,,8.7,,470.0,4.0,2063.0,
1939,329,2013,,,,,,,,,,,,41.0,,,,8.7,,470.0,4.0,2057.0,
1940,329,2018,,,,,,,,,,,,159.0,,,,33.7,,,4.0,2088.0,
1941,329,2017,1.0,2.0,15.0,17.0,16.0,9.0,4.0,15.0,11.0,7.0,0.0,159.0,37.0,79.0,2.0,33.7,11.0,,4.0,2082.0,7.0
1942,329,2016,,,,,,,,,,,,159.0,,,,33.7,,,4.0,2061.0,
1943,329,2011,,,,,,,,,,,,41.0,,,,8.7,,,,,
1944,330,2015,,,,,,,,,,,,68.83,,,,11.1,,641.0,3.0,2149.0,
1945,330,2013,,,,,,,,,,,,69.0,,,,11.1,,620.0,3.0,2117.0,
1946,330,2018,,,,,,,,,,,,69.0,,,,10.7,,,4.0,2249.0,
1947,330,2017,14.0,1.0,10.0,29.0,9.0,7.0,9.0,15.0,9.0,14.0,11.0,69.0,35.0,65.0,0.0,10.7,10.0,,4.0,2247.0,4.0
1948,330,2016,,,,,,,,,,,,69.0,,,,10.7,,,3.0,2239.0,
1949,330,2011,,,,,,,,,,,,69.0,,,,11.1,,,,,
1950,331,2015,,,,,,,,,,,,447.05,,,,34.3,,1306.0,1.0,1617.0,
1951,331,2013,,,,,,,,,,,,447.0,,,,34.3,,1303.0,1.0,1607.0,
1952,331,2018,,,,,,,,,,,,445.0,,,,34.1,,,2.0,2129.0,
1953,331,2017,2.0,1.0,5.0,6.0,24.0,14.0,3.0,39.0,8.0,8.0,2.0,436.0,31.0,56.0,0.0,33.4,3.0,,1.0,1653.0,4.0
1954,331,2016,,,,,,,,,,,,436.0,,,,33.4,,,1.0,1617.0,
1955,331,2011,,,,,,,,,,,,451.0,,,,34.6,,,,,
1956,332,2015,,,,,,,,,,,,188.11,,,,31.6,,596.0,3.0,1769.0,
1957,332,2013,,,,,,,,,,,,188.0,,,,31.6,,596.0,3.0,1630.0,
1958,332,2018,,,,,,,,,,,,188.0,,,,31.6,,,3.0,1876.0,
1959,332,2017,2.0,6.0,2.0,26.0,11.0,6.0,4.0,27.0,6.0,5.0,3.0,188.0,34.0,58.0,7.0,31.6,6.0,,3.0,1871.0,3.0
1960,332,2016,,,,,,,,,,,,188.0,,,,31.6,,,3.0,1861.0,
1961,332,2011,,,,,,,,,,,,188.0,,,,31.6,,,,,
1962,333,2015,,,,,,,,,,,,114.38,,,,18.5,,619.0,5.0,2959.0,
1963,333,2013,,,,,,,,,,,,114.0,,,,18.5,,619.0,5.0,2883.0,
1964,333,2018,,,,,,,,,,,,114.0,,,,18.5,,,5.0,3225.0,
1965,333,2017,24.0,9.0,9.0,31.0,10.0,5.0,6.0,14.0,5.0,8.0,37.0,114.0,30.0,35.0,8.0,18.5,11.0,,5.0,3065.0,4.0
1966,333,2016,,,,,,,,,,,,114.0,,,,18.5,,,5.0,3039.0,
1967,333,2011,,,,,,,,,,,,114.0,,,,18.5,,,,,
1968,334,2015,,,,,,,,,,,,0.0,,,,0.0,,399.0,2.0,742.0,
1969,334,2013,,,,,,,,,,,,0.0,,,,0.0,,399.0,2.0,738.0,
1970,334,2018,,,,,,,,,,,,0.0,,,,0.0,,,2.0,744.0,
1971,334,2017,7.0,36.0,1.0,17.0,35.0,2.0,5.0,1.0,8.0,11.0,4.0,0.0,30.0,30.0,60.0,0.0,3.0,,2.0,744.0,6.0
1972,334,2016,,,,,,,,,,,,0.0,,,,0.0,,,2.0,743.0,
1973,334,2011,,,,,,,,,,,,0.0,,,,0.0,,,,,
1974,335,2015,,,,,,,,,,,,107.12,,,,12.5,,859.0,4.0,3324.0,
1975,335,2013,,,,,,,,,,,,107.0,,,,12.5,,859.0,4.0,3141.0,
1976,335,2018,,,,,,,,,,,,107.0,,,,12.5,,,4.0,3388.0,
1977,335,2017,7.0,4.0,3.0,27.0,4.0,6.0,4.0,66.0,6.0,4.0,11.0,102.0,42.0,10.0,10.0,11.9,16.0,,4.0,3398.0,4.0
1978,335,2016,,,,,,,,,,,,102.0,,,,11.9,,,4.0,3376.0,
1979,335,2011,,,,,,,,,,,,123.0,,,,14.3,,,,,
1980,336,2015,,,,,,,,,,,,507.34,,,,33.5,,1512.0,3.0,4896.0,
1981,336,2013,,,,,,,,,,,,551.0,,,,36.4,,1512.0,3.0,4612.0,
1982,336,2018,,,,,,,,,,,,507.0,,,,33.6,,,3.0,5007.0,
1983,336,2017,4.0,4.0,2.0,25.0,9.0,5.0,3.0,33.0,5.0,4.0,8.0,507.0,32.0,50.0,6.0,33.6,8.0,,3.0,5004.0,3.0
1984,336,2016,,,,,,,,,,,,507.0,,,,33.6,,,3.0,4996.0,
1985,336,2011,,,,,,,,,,,,551.0,,,,36.4,,,,,
1986,337,2015,,,,,,,,,,,,125.56,,,,17.6,,710.0,3.0,1939.0,
1987,337,2013,,,,,,,,,,,,126.0,,,,17.6,,715.0,3.0,1934.0,
1988,337,2018,,,,,,,,,,,,126.0,,,,17.7,,,3.0,2047.0,
1989,337,2017,0.0,3.0,3.0,27.0,16.0,7.0,6.0,54.0,7.0,7.0,0.0,126.0,42.0,38.0,2.0,17.7,5.0,,3.0,2050.0,5.0
1990,337,2016,,,,,,,,,,,,126.0,,,,17.7,,,3.0,1983.0,
1991,337,2011,,,,,,,,,,,,126.0,,,,17.6,,,,,
1992,338,2015,,,,,,,,,,,,4.61,,,,3.0,,153.0,14.0,2216.0,
1993,338,2013,,,,,,,,,,,,5.0,,,,3.0,,153.0,11.0,1739.0,
1994,338,2018,,,,,,,,,,,,5.0,,,,3.0,,,14.0,2162.0,
1995,338,2017,2.0,3.0,3.0,2.0,11.0,6.0,1.0,52.0,3.0,4.0,3.0,5.0,33.0,41.0,4.0,3.0,6.0,,14.0,2167.0,4.0
1996,338,2016,,,,,,,,,,,,5.0,,,,3.0,,,15.0,2223.0,
1997,338,2011,,,,,,,,,,,,16.0,,,,10.6,,,,,
1998,339,2015,,,,,,,,,,,,26.18,,,,10.3,,254.0,6.0,1575.0,
1999,339,2013,,,,,,,,,,,,27.0,,,,10.8,,254.0,5.0,1218.0,
2000,339,2018,,,,,,,,,,,,26.0,,,,10.3,,,8.0,1985.0,
2001,339,2017,4.0,4.0,1.0,2.0,5.0,4.0,4.0,75.0,2.0,6.0,5.0,26.0,29.0,9.0,7.0,10.3,0.0,,8.0,1918.0,2.0
2002,339,2016,,,,,,,,,,,,26.0,,,,10.3,,,7.0,1697.0,
2003,339,2011,,,,,,,,,,,,32.0,,,,12.6,,,,,
2004,340,2015,,,,,,,,,,,,19.32,,,,5.1,,376.0,18.0,6789.0,
2005,340,2013,,,,,,,,,,,,21.0,,,,5.7,,376.0,17.0,6544.0,
2006,340,2018,,,,,,,,,,,,19.0,,,,5.1,,,20.0,7410.0,
2007,340,2017,6.0,1.0,,4.0,7.0,4.0,3.0,62.0,3.0,3.0,10.0,19.0,33.0,22.0,2.0,5.1,11.0,,18.0,6733.0,5.0
2008,340,2016,,,,,,,,,,,,19.0,,,,5.1,,,19.0,6985.0,
2009,340,2011,,,,,,,,,,,,21.0,,,,5.7,,,,,
2010,341,2015,,,,,,,,,,,,12.1,,,,3.3,,369.0,12.0,4355.0,
2011,341,2013,,,,,,,,,,,,12.0,,,,3.3,,369.0,11.0,4062.0,
2012,341,2018,,,,,,,,,,,,12.0,,,,3.3,,,12.0,4479.0,
2013,341,2017,4.0,2.0,,13.0,8.0,6.0,3.0,52.0,4.0,4.0,5.0,12.0,30.0,39.0,1.0,3.3,6.0,,12.0,4482.0,3.0
2014,341,2016,,,,,,,,,,,,12.0,,,,3.3,,,12.0,4482.0,
2015,341,2011,,,,,,,,,,,,14.0,,,,3.8,,,,,
2016,342,2015,,,,,,,,,,,,3.81,,,,1.4,,280.0,2.0,631.0,
2017,342,2013,,,,,,,,,,,,4.0,,,,1.4,,280.0,2.0,523.0,
2018,342,2018,,,,,,,,,,,,4.0,,,,1.4,,,2.0,601.0,
