,NPA,year,hispanic_latino_moe,asian_population_moe,age_of_residents_moe,youth_population,black_population_moe,white_population_moe,all_other_races,white_population,youth_population_moe,all_other_races_moe,hispanic_latino,vacant_land_area,age_of_residents,black_population,asian_population,vacant_land,older_adult_population,area,population_density,population,older_adult_population_moe
1529,260,2011,,,,,,,,,,,,177.0,,,,12.6,,,,,
1530,261,2015,,,,,,,,,,,,0.25,,,,0.1,,543.0,4.0,2348.0,
1531,261,2013,,,,,,,,,,,,0.0,,,,0.1,,543.0,4.0,2348.0,
1532,261,2018,,,,,,,,,,,,0.0,,,,0.0,,,4.0,2353.0,
1533,261,2017,8.0,1.0,6.0,18.0,3.0,9.0,4.0,78.0,5.0,5.0,14.0,0.0,45.0,3.0,1.0,0.0,17.0,,4.0,2351.0,4.0
1534,261,2016,,,,,,,,,,,,0.0,,,,0.1,,,4.0,2348.0,
1535,261,2011,,,,,,,,,,,,0.0,,,,0.1,,,,,
1536,262,2015,,,,,,,,,,,,56.17,,,,5.6,,1012.0,3.0,3216.0,
1537,262,2013,,,,,,,,,,,,56.0,,,,5.6,,1012.0,3.0,3216.0,
1538,262,2018,,,,,,,,,,,,56.0,,,,5.6,,,3.0,3223.0,
1539,262,2017,6.0,3.0,4.0,25.0,6.0,5.0,2.0,77.0,4.0,3.0,8.0,56.0,41.0,10.0,3.0,5.6,12.0,,3.0,3218.0,2.0
1540,262,2016,,,,,,,,,,,,56.0,,,,5.6,,,3.0,3218.0,
1541,262,2011,,,,,,,,,,,,56.0,,,,5.6,,,,,
1542,263,2015,,,,,,,,,,,,18.9,,,,3.0,,631.0,4.0,2636.0,
1543,263,2013,,,,,,,,,,,,19.0,,,,3.0,,631.0,4.0,2575.0,
1544,263,2018,,,,,,,,,,,,18.0,,,,2.8,,,4.0,2696.0,
1545,263,2017,2.0,3.0,3.0,17.0,6.0,4.0,1.0,88.0,4.0,2.0,2.0,18.0,52.0,7.0,3.0,2.8,22.0,,4.0,2673.0,4.0
1546,263,2016,,,,,,,,,,,,18.0,,,,2.8,,,4.0,2666.0,
1547,263,2011,,,,,,,,,,,,19.0,,,,3.1,,,,,
1548,264,2015,,,,,,,,,,,,39.27,,,,12.1,,325.0,6.0,2085.0,
1549,264,2013,,,,,,,,,,,,39.0,,,,12.1,,325.0,6.0,1996.0,
1550,264,2018,,,,,,,,,,,,39.0,,,,12.1,,,7.0,2138.0,
1551,264,2017,3.0,6.0,3.0,20.0,19.0,9.0,3.0,31.0,5.0,5.0,2.0,39.0,32.0,52.0,12.0,12.1,6.0,,7.0,2142.0,3.0
1552,264,2016,,,,,,,,,,,,39.0,,,,12.1,,,6.0,2109.0,
1553,264,2011,,,,,,,,,,,,39.0,,,,12.1,,,,,
1554,265,2015,,,,,,,,,,,,8.98,,,,3.3,,277.0,5.0,1496.0,
1555,265,2013,,,,,,,,,,,,9.0,,,,3.3,,276.0,5.0,1495.0,
1556,265,2018,,,,,,,,,,,,9.0,,,,3.3,,,5.0,1504.0,
1557,265,2017,11.0,10.0,9.0,15.0,8.0,8.0,6.0,47.0,5.0,8.0,11.0,9.0,44.0,25.0,11.0,3.3,22.0,,5.0,1499.0,6.0
1558,265,2016,,,,,,,,,,,,9.0,,,,3.3,,,5.0,1499.0,
1559,265,2011,,,,,,,,,,,,9.0,,,,3.3,,,,,
1560,266,2015,,,,,,,,,,,,384.63,,,,20.6,,1871.0,2.0,2870.0,
1561,266,2013,,,,,,,,,,,,385.0,,,,20.6,,1871.0,2.0,2870.0,
1562,266,2018,,,,,,,,,,,,385.0,,,,20.6,,,2.0,3106.0,
1563,266,2017,4.0,4.0,2.0,27.0,7.0,4.0,2.0,39.0,4.0,3.0,9.0,385.0,35.0,46.0,4.0,20.6,4.0,,2.0,3022.0,2.0
1564,266,2016,,,,,,,,,,,,385.0,,,,20.6,,,2.0,2875.0,
1565,266,2011,,,,,,,,,,,,385.0,,,,20.6,,,,,
1566,267,2015,,,,,,,,,,,,441.57,,,,22.2,,1989.0,2.0,4586.0,
1567,267,2013,,,,,,,,,,,,442.0,,,,22.2,,1989.0,2.0,4400.0,
1568,267,2018,,,,,,,,,,,,442.0,,,,22.2,,,2.0,4939.0,
1569,267,2017,7.0,4.0,3.0,32.0,5.0,5.0,5.0,46.0,4.0,4.0,12.0,442.0,34.0,34.0,4.0,22.2,5.0,,2.0,4724.0,2.0
1570,267,2016,,,,,,,,,,,,442.0,,,,22.2,,,2.0,4618.0,
1571,267,2011,,,,,,,,,,,,442.0,,,,22.2,,,,,
1572,268,2015,,,,,,,,,,,,3.45,,,,1.3,,257.0,7.0,1788.0,
1573,268,2013,,,,,,,,,,,,6.0,,,,2.2,,257.0,7.0,1757.0,
1574,268,2018,,,,,,,,,,,,3.0,,,,1.3,,,7.0,1805.0,
1575,268,2017,16.0,1.0,4.0,21.0,13.0,5.0,2.0,23.0,7.0,4.0,26.0,3.0,39.0,49.0,1.0,1.3,13.0,,7.0,1800.0,3.0
1576,268,2016,,,,,,,,,,,,3.0,,,,1.3,,,7.0,1786.0,
1577,268,2011,,,,,,,,,,,,6.0,,,,2.2,,,,,
1578,269,2015,,,,,,,,,,,,13.91,,,,3.0,,457.0,6.0,2791.0,
1579,269,2013,,,,,,,,,,,,14.0,,,,3.0,,457.0,6.0,2774.0,
1580,269,2018,,,,,,,,,,,,14.0,,,,3.0,,,6.0,2830.0,
1581,269,2017,3.0,3.0,3.0,23.0,8.0,6.0,0.0,78.0,5.0,2.0,5.0,14.0,39.0,12.0,4.0,3.0,14.0,,6.0,2802.0,3.0
1582,269,2016,,,,,,,,,,,,14.0,,,,3.0,,,6.0,2791.0,
1583,269,2011,,,,,,,,,,,,14.0,,,,3.0,,,,,
1584,270,2015,,,,,,,,,,,,0.0,,,,0.0,,90.0,15.0,1387.0,
1585,270,2013,,,,,,,,,,,,0.0,,,,0.0,,90.0,15.0,1368.0,
1586,270,2018,,,,,,,,,,,,0.0,,,,0.0,,,16.0,1397.0,
1587,270,2017,27.0,18.0,10.0,25.0,13.0,6.0,0.0,8.0,12.0,4.0,47.0,0.0,31.0,29.0,16.0,0.0,0.0,,16.0,1395.0,2.0
1588,270,2016,,,,,,,,,,,,0.0,,,,0.0,,,16.0,1394.0,
1589,270,2011,,,,,,,,,,,,0.0,,,,0.0,,,,,
1590,271,2015,,,,,,,,,,,,0.48,,,,0.3,,169.0,7.0,1207.0,
1591,271,2013,,,,,,,,,,,,0.0,,,,0.3,,169.0,7.0,1168.0,
1592,271,2018,,,,,,,,,,,,1.0,,,,0.3,,,7.0,1209.0,
1593,271,2017,24.0,1.0,9.0,33.0,26.0,1.0,8.0,1.0,9.0,10.0,23.0,1.0,35.0,68.0,0.0,0.3,14.0,,7.0,1225.0,4.0
1594,271,2016,,,,,,,,,,,,0.0,,,,0.3,,,7.0,1219.0,
1595,271,2011,,,,,,,,,,,,0.0,,,,0.3,,,,,
1596,272,2015,,,,,,,,,,,,37.27,,,,7.1,,527.0,3.0,1450.0,
1597,272,2013,,,,,,,,,,,,37.0,,,,7.1,,527.0,3.0,1450.0,
1598,272,2018,,,,,,,,,,,,37.0,,,,7.1,,,3.0,1451.0,
1599,272,2017,7.0,10.0,4.0,14.0,13.0,14.0,2.0,42.0,9.0,4.0,7.0,37.0,28.0,42.0,8.0,7.1,6.0,,3.0,1450.0,5.0
1600,272,2016,,,,,,,,,,,,37.0,,,,7.1,,,3.0,1450.0,
1601,272,2011,,,,,,,,,,,,37.0,,,,7.1,,,,,
1602,273,2015,,,,,,,,,,,,160.11,,,,26.5,,605.0,3.0,1873.0,
1603,273,2013,,,,,,,,,,,,160.0,,,,26.5,,605.0,3.0,1790.0,
1604,273,2018,,,,,,,,,,,,160.0,,,,26.5,,,3.0,1971.0,
1605,273,2017,10.0,9.0,8.0,23.0,20.0,5.0,3.0,9.0,10.0,6.0,18.0,160.0,35.0,60.0,9.0,26.4,6.0,,3.0,1882.0,5.0
1606,273,2016,,,,,,,,,,,,160.0,,,,26.5,,,3.0,1873.0,
1607,273,2011,,,,,,,,,,,,160.0,,,,26.5,,,,,
1608,274,2015,,,,,,,,,,,,9.59,,,,8.0,,121.0,9.0,1052.0,
1609,274,2013,,,,,,,,,,,,10.0,,,,8.0,,121.0,9.0,1039.0,
1610,274,2018,,,,,,,,,,,,10.0,,,,8.0,,,9.0,1048.0,
1611,274,2017,1.0,10.0,3.0,23.0,29.0,12.0,1.0,33.0,11.0,5.0,0.0,10.0,27.0,52.0,13.0,8.0,3.0,,9.0,1049.0,4.0
1612,274,2016,,,,,,,,,,,,10.0,,,,8.0,,,9.0,1051.0,
1613,274,2011,,,,,,,,,,,,10.0,,,,8.0,,,,,
1614,275,2015,,,,,,,,,,,,12.3,,,,3.2,,391.0,5.0,2118.0,
1615,275,2013,,,,,,,,,,,,12.0,,,,3.2,,391.0,5.0,2111.0,
1616,275,2018,,,,,,,,,,,,12.0,,,,3.2,,,5.0,2106.0,
1617,275,2017,8.0,4.0,8.0,14.0,20.0,8.0,2.0,46.0,7.0,5.0,8.0,12.0,46.0,40.0,4.0,3.2,11.0,,5.0,2113.0,4.0
1618,275,2016,,,,,,,,,,,,12.0,,,,3.2,,,5.0,2121.0,
1619,275,2011,,,,,,,,,,,,12.0,,,,3.2,,,,,
1620,276,2015,,,,,,,,,,,,50.18,,,,12.2,,410.0,5.0,1971.0,
1621,276,2013,,,,,,,,,,,,50.0,,,,12.2,,410.0,5.0,1971.0,
1622,276,2018,,,,,,,,,,,,50.0,,,,12.2,,,5.0,1974.0,
1623,276,2017,1.0,6.0,7.0,22.0,12.0,10.0,2.0,57.0,6.0,4.0,1.0,50.0,39.0,34.0,6.0,12.2,8.0,,5.0,1974.0,4.0
1624,276,2016,,,,,,,,,,,,50.0,,,,12.2,,,5.0,1971.0,
1625,276,2011,,,,,,,,,,,,50.0,,,,12.2,,,,,
1626,277,2015,,,,,,,,,,,,289.86,,,,31.5,,919.0,2.0,1802.0,
1627,277,2013,,,,,,,,,,,,290.0,,,,31.5,,921.0,2.0,1526.0,
1628,277,2018,,,,,,,,,,,,290.0,,,,31.5,,,2.0,2211.0,
1629,277,2017,9.0,4.0,5.0,18.0,10.0,12.0,2.0,37.0,6.0,4.0,27.0,290.0,41.0,25.0,9.0,31.5,14.0,,2.0,2146.0,7.0
1630,277,2016,,,,,,,,,,,,290.0,,,,31.5,,,2.0,2005.0,
1631,277,2011,,,,,,,,,,,,271.0,,,,29.4,,,,,
1632,278,2015,,,,,,,,,,,,25.83,,,,14.9,,173.0,9.0,1602.0,
1633,278,2013,,,,,,,,,,,,26.0,,,,14.9,,173.0,9.0,1600.0,
1634,278,2018,,,,,,,,,,,,26.0,,,,14.9,,,9.0,1602.0,
1635,278,2017,5.0,3.0,4.0,21.0,14.0,6.0,12.0,29.0,7.0,11.0,7.0,26.0,31.0,49.0,3.0,14.9,4.0,,9.0,1602.0,3.0
1636,278,2016,,,,,,,,,,,,26.0,,,,14.9,,,9.0,1602.0,
1637,278,2011,,,,,,,,,,,,26.0,,,,14.9,,,,,
1638,279,2015,,,,,,,,,,,,0.99,,,,0.8,,118.0,13.0,1505.0,
1639,279,2013,,,,,,,,,,,,1.0,,,,0.8,,118.0,13.0,1505.0,
1640,279,2018,,,,,,,,,,,,1.0,,,,0.9,,,13.0,1505.0,
1641,279,2017,9.0,7.0,5.0,18.0,13.0,8.0,5.0,35.0,7.0,7.0,15.0,1.0,31.0,37.0,8.0,0.9,7.0,,13.0,1505.0,3.0
1642,279,2016,,,,,,,,,,,,1.0,,,,0.8,,,13.0,1505.0,
1643,279,2011,,,,,,,,,,,,1.0,,,,0.8,,,,,
1644,280,2015,,,,,,,,,,,,103.39,,,,11.3,,916.0,1.0,1276.0,
1645,280,2013,,,,,,,,,,,,103.0,,,,11.3,,916.0,1.0,1253.0,
1646,280,2018,,,,,,,,,,,,103.0,,,,11.3,,,1.0,1286.0,
1647,280,2017,14.0,1.0,4.0,33.0,13.0,7.0,1.0,23.0,8.0,3.0,44.0,103.0,33.0,32.0,0.0,11.3,7.0,,1.0,1276.0,4.0
1648,280,2016,,,,,,,,,,,,103.0,,,,11.3,,,1.0,1280.0,
1649,280,2011,,,,,,,,,,,,102.0,,,,11.2,,,,,
1650,281,2015,,,,,,,,,,,,18.79,,,,10.0,,187.0,6.0,1067.0,
1651,281,2013,,,,,,,,,,,,19.0,,,,10.0,,187.0,6.0,1067.0,
1652,281,2018,,,,,,,,,,,,19.0,,,,10.1,,,6.0,1067.0,
1653,281,2017,3.0,5.0,6.0,32.0,17.0,11.0,2.0,19.0,11.0,6.0,3.0,19.0,28.0,72.0,3.0,10.1,10.0,,6.0,1067.0,5.0
1654,281,2016,,,,,,,,,,,,19.0,,,,10.0,,,6.0,1067.0,
1655,281,2011,,,,,,,,,,,,19.0,,,,10.0,,,,,
1656,282,2015,,,,,,,,,,,,70.27,,,,20.2,,349.0,4.0,1452.0,
1657,282,2013,,,,,,,,,,,,70.0,,,,20.0,,348.0,4.0,1404.0,
1658,282,2018,,,,,,,,,,,,70.0,,,,20.2,,,5.0,1578.0,
1659,282,2017,11.0,3.0,5.0,19.0,12.0,12.0,7.0,26.0,7.0,13.0,14.0,70.0,37.0,48.0,4.0,20.2,8.0,,4.0,1544.0,5.0
1660,282,2016,,,,,,,,,,,,70.0,,,,20.2,,,4.0,1480.0,
1661,282,2011,,,,,,,,,,,,72.0,,,,20.6,,,,,
1662,283,2015,,,,,,,,,,,,79.24,,,,18.2,,435.0,6.0,2656.0,
1663,283,2013,,,,,,,,,,,,80.0,,,,18.3,,435.0,6.0,2617.0,
1664,283,2018,,,,,,,,,,,,79.0,,,,18.2,,,6.0,2682.0,
1665,283,2017,6.0,3.0,4.0,29.0,6.0,4.0,2.0,14.0,6.0,3.0,14.0,79.0,35.0,67.0,3.0,18.2,8.0,,6.0,2668.0,3.0
1666,283,2016,,,,,,,,,,,,79.0,,,,18.2,,,6.0,2661.0,
1667,283,2011,,,,,,,,,,,,78.0,,,,17.9,,,,,
1668,284,2015,,,,,,,,,,,,607.5,,,,63.8,,952.0,1.0,960.0,
1669,284,2013,,,,,,,,,,,,608.0,,,,63.8,,952.0,1.0,968.0,
1670,284,2018,,,,,,,,,,,,608.0,,,,63.8,,,2.0,2355.0,
1671,284,2017,1.0,1.0,6.0,28.0,8.0,10.0,0.0,93.0,8.0,5.0,0.0,598.0,48.0,7.0,0.0,62.8,22.0,,1.0,985.0,11.0
1672,284,2016,,,,,,,,,,,,607.0,,,,63.8,,,1.0,965.0,
1673,284,2011,,,,,,,,,,,,525.0,,,,55.2,,,,,
1674,285,2015,,,,,,,,,,,,380.5,,,,13.8,,2765.0,0.0,16.0,
1675,285,2013,,,,,,,,,,,,381.0,,,,13.8,,2761.0,0.0,15.0,
1676,285,2018,,,,,,,,,,,,381.0,,,,13.8,,,0.0,17.0,
1677,285,2017,,,,,,,,,,,,380.0,,,,13.8,,,0.0,17.0,
1678,285,2016,,,,,,,,,,,,381.0,,,,13.8,,,0.0,16.0,
1679,285,2011,,,,,,,,,,,,381.0,,,,13.8,,,,,
1680,286,2015,,,,,,,,,,,,427.13,,,,26.0,,1640.0,0.0,189.0,
1681,286,2013,,,,,,,,,,,,427.0,,,,26.0,,1640.0,0.0,191.0,
1682,286,2018,,,,,,,,,,,,427.0,,,,26.0,,,0.0,161.0,
1683,286,2017,29.0,5.0,12.0,35.0,2.0,11.0,8.0,27.0,12.0,14.0,51.0,427.0,34.0,0.0,14.0,26.0,1.0,,0.0,183.0,4.0
1684,286,2016,,,,,,,,,,,,427.0,,,,26.0,,,0.0,181.0,
1685,286,2011,,,,,,,,,,,,427.0,,,,26.0,,,,,
1686,287,2015,,,,,,,,,,,,84.43,,,,5.5,,1540.0,2.0,2401.0,
1687,287,2013,,,,,,,,,,,,84.0,,,,5.5,,1540.0,1.0,2295.0,
1688,287,2018,,,,,,,,,,,,84.0,,,,5.5,,,2.0,2408.0,
1689,287,2017,10.0,6.0,5.0,14.0,9.0,9.0,2.0,56.0,7.0,5.0,16.0,84.0,29.0,17.0,9.0,5.5,8.0,,2.0,2366.0,3.0
1690,287,2016,,,,,,,,,,,,84.0,,,,5.5,,,2.0,2369.0,
1691,287,2011,,,,,,,,,,,,84.0,,,,5.5,,,,,
1692,288,2015,,,,,,,,,,,,62.04,,,,10.8,,575.0,4.0,2250.0,
1693,288,2013,,,,,,,,,,,,62.0,,,,10.8,,575.0,4.0,2216.0,
1694,288,2018,,,,,,,,,,,,62.0,,,,10.8,,,4.0,2265.0,
1695,288,2017,5.0,3.0,6.0,27.0,8.0,17.0,3.0,81.0,7.0,4.0,6.0,62.0,37.0,7.0,4.0,10.8,11.0,,4.0,2257.0,4.0
1696,288,2016,,,,,,,,,,,,62.0,,,,10.8,,,4.0,2258.0,
1697,288,2011,,,,,,,,,,,,62.0,,,,10.8,,,,,
1698,289,2015,,,,,,,,,,,,299.84,,,,23.9,,1259.0,3.0,3664.0,
1699,289,2013,,,,,,,,,,,,300.0,,,,23.9,,1257.0,3.0,3655.0,
1700,289,2018,,,,,,,,,,,,300.0,,,,23.8,,,3.0,3874.0,
1701,289,2017,4.0,4.0,2.0,26.0,5.0,7.0,4.0,43.0,4.0,5.0,18.0,302.0,35.0,27.0,9.0,24.0,6.0,,3.0,3726.0,2.0
1702,289,2016,,,,,,,,,,,,300.0,,,,23.8,,,3.0,3701.0,
1703,289,2011,,,,,,,,,,,,300.0,,,,23.9,,,,,
1704,290,2015,,,,,,,,,,,,64.93,,,,7.7,,843.0,1.0,983.0,
1705,290,2013,,,,,,,,,,,,65.0,,,,7.7,,842.0,1.0,532.0,
1706,290,2018,,,,,,,,,,,,65.0,,,,7.7,,,1.0,602.0,
1707,290,2017,1.0,4.0,39.0,26.0,41.0,12.0,0.0,14.0,8.0,13.0,0.0,65.0,47.0,85.0,0.0,7.7,19.0,,1.0,973.0,21.0
1708,290,2016,,,,,,,,,,,,65.0,,,,7.7,,,1.0,972.0,
1709,290,2011,,,,,,,,,,,,65.0,,,,7.7,,,,,
1710,291,2015,,,,,,,,,,,,6.84,,,,4.7,,147.0,19.0,2743.0,
1711,291,2013,,,,,,,,,,,,7.0,,,,4.7,,147.0,18.0,2649.0,
1712,291,2018,,,,,,,,,,,,7.0,,,,4.6,,,19.0,2725.0,
1713,291,2017,15.0,0.0,4.0,27.0,9.0,3.0,3.0,5.0,6.0,4.0,30.0,7.0,27.0,63.0,0.0,4.6,5.0,,19.0,2718.0,3.0
1714,291,2016,,,,,,,,,,,,7.0,,,,4.7,,,19.0,2754.0,
1715,291,2011,,,,,,,,,,,,7.0,,,,4.7,,,,,
1716,292,2015,,,,,,,,,,,,68.51,,,,22.4,,305.0,4.0,1136.0,
1717,292,2013,,,,,,,,,,,,69.0,,,,22.4,,305.0,4.0,1171.0,
1718,292,2018,,,,,,,,,,,,69.0,,,,22.4,,,4.0,1123.0,
1719,292,2017,4.0,8.0,4.0,45.0,19.0,4.0,6.0,4.0,22.0,12.0,3.0,69.0,23.0,82.0,5.0,22.4,5.0,,4.0,1130.0,6.0
1720,292,2016,,,,,,,,,,,,69.0,,,,22.4,,,4.0,1124.0,
1721,292,2011,,,,,,,,,,,,69.0,,,,22.4,,,,,
1722,293,2015,,,,,,,,,,,,5.19,,,,4.7,,110.0,7.0,822.0,
1723,293,2013,,,,,,,,,,,,5.0,,,,4.7,,110.0,8.0,844.0,
1724,293,2018,,,,,,,,,,,,5.0,,,,4.7,,,8.0,879.0,
1725,293,2017,1.0,1.0,11.0,24.0,16.0,21.0,2.0,29.0,7.0,7.0,0.0,5.0,34.0,68.0,0.0,4.7,11.0,,8.0,891.0,7.0
1726,293,2016,,,,,,,,,,,,5.0,,,,4.7,,,8.0,882.0,
1727,293,2011,,,,,,,,,,,,5.0,,,,4.7,,,,,
1728,294,2015,,,,,,,,,,,,86.82,,,,23.3,,372.0,3.0,1004.0,
1729,294,2013,,,,,,,,,,,,87.0,,,,23.3,,372.0,3.0,992.0,
1730,294,2018,,,,,,,,,,,,87.0,,,,23.3,,,3.0,1113.0,
1731,294,2017,7.0,2.0,14.0,32.0,16.0,3.0,7.0,2.0,11.0,15.0,4.0,87.0,34.0,86.0,0.0,23.3,18.0,,3.0,1120.0,7.0
1732,294,2016,,,,,,,,,,,,87.0,,,,23.3,,,3.0,1006.0,
1733,294,2011,,,,,,,,,,,,87.0,,,,23.3,,,,,
1734,295,2015,,,,,,,,,,,,6.64,,,,6.3,,106.0,13.0,1422.0,
1735,295,2013,,,,,,,,,,,,8.0,,,,7.3,,106.0,13.0,1427.0,
1736,295,2018,,,,,,,,,,,,8.0,,,,7.3,,,13.0,1424.0,
1737,295,2017,1.0,1.0,5.0,24.0,5.0,4.0,0.0,5.0,9.0,3.0,0.0,8.0,30.0,95.0,0.0,7.3,14.0,,13.0,1416.0,5.0
1738,295,2016,,,,,,,,,,,,8.0,,,,7.3,,,13.0,1425.0,
1739,295,2011,,,,,,,,,,,,8.0,,,,7.3,,,,,
