,NPA,year,violent_crimes,violent_crime_rate,animal_control_calls,animal_control_call_rate,fire_calls,property_crimes,nuisance_violations_total,property_crime_rate,disorder_calls,nuisance_violations,fire_call_rate,disorder_call_rate
2289,387,2015,58.0,24.9,276.0,130.1,266.0,364.0,306.0,156.4,1325.0,32.4,114.3,569.4
2290,387,2013,49.0,21.5,315.0,138.0,213.0,362.0,152.0,158.6,1329.0,16.1,93.3,582.4
2291,387,2011,33.0,13.2,310.0,123.9,,416.0,,166.2,,,,
2292,388,2018,11.0,3.6,79.0,25.7,123.0,120.0,,39.0,500.0,,40.0,162.4
2293,388,2017,20.0,6.6,92.0,30.2,152.0,130.0,,42.7,527.0,,49.9,173.1
2294,388,2016,21.0,10.1,100.0,48.2,107.0,172.0,203.0,82.9,650.0,20.6,51.6,313.3
2295,388,2015,22.0,10.7,139.0,48.2,91.0,120.0,192.0,58.5,664.0,19.7,44.3,323.4
2296,388,2013,27.0,15.6,196.0,113.4,64.0,114.0,88.0,66.0,591.0,10.6,37.0,342.0
2297,388,2011,22.0,14.9,181.0,122.9,,115.0,,78.07,,,,
2298,389,2018,36.0,3.7,317.0,32.5,341.0,228.0,,23.4,815.0,,35.0,83.7
2299,389,2017,56.0,6.0,319.0,34.0,287.0,229.0,,24.4,946.0,,30.6,101.0
2300,389,2016,61.0,6.5,368.0,39.1,232.0,257.0,461.0,27.3,1070.0,12.9,24.6,113.5
2301,389,2015,46.0,4.9,421.0,39.1,237.0,232.0,805.0,24.8,1068.0,22.6,25.3,114.1
2302,389,2013,36.0,4.1,491.0,55.6,196.0,228.0,607.0,25.8,952.0,17.0,22.2,107.9
2303,389,2011,37.0,4.2,547.0,61.5,,239.0,,26.88,,,,
2304,390,2018,6.0,3.9,78.0,50.8,66.0,48.0,,31.2,247.0,,42.9,160.7
2305,390,2017,8.0,5.3,53.0,35.3,47.0,65.0,,43.3,287.0,,31.3,191.1
2306,390,2016,4.0,2.7,47.0,31.8,44.0,47.0,93.0,31.8,279.0,11.9,29.7,188.5
2307,390,2015,1.0,0.7,83.0,31.8,54.0,85.0,122.0,57.9,344.0,15.6,36.8,234.3
2308,390,2013,8.0,5.4,75.0,50.9,36.0,71.0,64.0,48.1,335.0,8.1,24.4,227.1
2309,390,2011,9.0,6.4,94.0,67.3,,54.0,,38.65,,,,
2310,391,2018,2.0,0.9,71.0,30.1,33.0,21.0,,8.9,56.0,,14.0,23.8
2311,391,2017,2.0,0.9,48.0,20.4,67.0,23.0,,9.8,85.0,,28.5,36.2
2312,391,2016,1.0,0.4,49.0,20.9,28.0,22.0,64.0,9.4,75.0,6.6,11.9,31.9
2313,391,2015,1.0,0.4,45.0,20.9,38.0,16.0,46.0,6.8,69.0,4.7,16.2,29.4
2314,391,2013,2.0,0.9,47.0,20.6,41.0,26.0,24.0,11.4,69.0,2.5,18.0,30.2
2315,391,2011,1.0,0.4,83.0,36.3,,12.0,,5.25,,,,
2316,392,2018,6.0,0.6,173.0,16.2,333.0,196.0,,18.4,380.0,,31.3,35.7
2317,392,2017,1.0,0.1,135.0,13.2,370.0,184.0,,18.0,414.0,,36.3,40.6
2318,392,2016,4.0,0.4,142.0,14.0,330.0,132.0,49.0,13.0,358.0,1.2,32.5,35.3
2319,392,2015,6.0,0.6,188.0,14.0,343.0,107.0,98.0,10.4,337.0,2.4,33.4,32.9
2320,392,2013,3.0,0.3,155.0,15.4,321.0,123.0,59.0,12.2,434.0,1.5,31.9,43.2
2321,392,2011,4.0,0.5,160.0,18.2,,142.0,,16.17,,,,
2322,393,2018,27.0,4.9,199.0,36.3,259.0,355.0,,64.8,1123.0,,47.3,205.1
2323,393,2017,17.0,3.1,234.0,42.7,289.0,285.0,,52.0,1092.0,,52.8,199.4
2324,393,2016,13.0,2.4,202.0,36.6,252.0,260.0,393.0,47.1,1083.0,14.7,45.7,196.3
2325,393,2015,3.0,0.5,203.0,36.6,186.0,282.0,951.0,48.7,1019.0,33.9,32.1,176.1
2326,393,2013,9.0,1.5,248.0,41.9,202.0,245.0,968.0,41.4,1118.0,33.1,34.1,189.0
2327,393,2011,20.0,4.1,236.0,48.0,,211.0,,42.89,,,,
2328,394,2018,8.0,2.7,94.0,32.1,80.0,53.0,,18.1,177.0,,27.3,60.4
2329,394,2017,5.0,1.7,81.0,27.7,100.0,78.0,,26.6,188.0,,34.1,64.2
2330,394,2016,2.0,0.7,92.0,31.3,77.0,57.0,151.0,19.4,233.0,10.5,26.2,79.2
2331,394,2015,4.0,1.4,98.0,31.3,69.0,61.0,80.0,20.8,252.0,5.5,23.5,85.9
2332,394,2013,9.0,3.1,158.0,54.8,49.0,63.0,96.0,21.9,240.0,6.7,17.0,83.3
2333,394,2011,5.0,2.0,99.0,38.9,,58.0,,22.78,,,,
2334,395,2018,,,,,96.0,,,,,,43.2,
2335,395,2017,7.0,4.4,130.0,82.1,44.0,145.0,,91.6,,,27.8,
2336,395,2016,4.0,2.5,48.0,30.5,43.0,109.0,,69.2,,,27.3,
2337,395,2015,5.0,3.2,61.0,30.5,40.0,96.0,30.0,60.8,171.0,4.5,25.3,108.2
2338,395,2013,3.0,1.9,5.0,3.2,43.0,118.0,,75.3,,,27.4,
2339,395,2011,,,,,,51.0,,33.86,,,,
2340,396,2018,0.0,0.0,,,41.0,24.0,,8.0,,,13.6,
2341,396,2017,,,,,55.0,,,,,,19.1,
2342,396,2016,,,,,35.0,13.0,6.0,4.7,,0.6,12.6,
2343,396,2015,2.0,0.7,,,31.0,33.0,2.0,12.1,,0.2,11.3,
2344,396,2013,0.0,0.0,,,37.0,41.0,3.0,15.4,,0.3,13.9,
2345,396,2011,,,,,,,,,,,,
2346,397,2018,10.0,5.2,16.0,8.4,31.0,14.0,,7.3,,,16.2,
2347,397,2017,,,,,20.0,,,,,,10.4,
2348,397,2016,6.0,3.1,,,21.0,17.0,,8.9,42.0,,11.0,21.9
2349,397,2015,0.0,0.0,,,20.0,8.0,,4.3,28.0,,10.8,15.2
2350,397,2013,0.0,0.0,,,11.0,18.0,,11.5,35.0,,7.0,22.4
2351,397,2011,5.0,3.3,,,,26.0,,17.33,,,,
2352,398,2018,2.0,2.9,12.0,17.3,16.0,7.0,,10.1,,,23.1,
2353,398,2017,,,,,8.0,,,,,,11.6,
2354,398,2016,0.0,0.0,4.0,6.0,17.0,3.0,0.0,4.5,34.0,0.0,25.3,50.6
2355,398,2015,0.0,0.0,24.0,6.0,18.0,4.0,0.0,6.2,19.0,0.0,28.0,29.6
2356,398,2013,0.0,0.0,19.0,32.3,14.0,15.0,1.0,25.5,88.0,0.3,23.8,149.7
2357,398,2011,2.0,4.3,,,,21.0,,45.26,,,,
2358,399,2018,7.0,3.3,51.0,23.8,66.0,106.0,,49.4,,,30.8,
2359,399,2017,,,,,34.0,,,,,,16.0,
2360,399,2016,9.0,4.3,,,65.0,67.0,,32.3,100.0,,31.4,48.3
2361,399,2015,3.0,1.5,,,47.0,11.0,,5.4,63.0,,23.1,31.0
2362,399,2013,1.0,0.5,,,44.0,44.0,,21.8,33.0,,21.8,16.3
2363,399,2011,2.0,1.1,,,,28.0,,15.04,,,,
2364,400,2018,,,,,38.0,,,,,,14.9,
2365,400,2017,0.0,0.0,63.0,24.9,28.0,27.0,,10.7,,,11.1,
2366,400,2016,0.0,0.0,50.0,19.8,26.0,12.0,,4.8,,,10.3,
2367,400,2015,4.0,1.6,65.0,19.8,20.0,12.0,11.0,4.8,54.0,1.3,7.9,21.4
2368,400,2013,3.0,1.2,2.0,0.8,29.0,16.0,,6.3,,,11.5,
2369,400,2011,,,,,,14.0,,5.65,,,,
2370,401,2018,,,,,54.0,,,,,,24.7,
2371,401,2017,2.0,0.9,92.0,42.0,32.0,64.0,,29.2,,,14.6,
2372,401,2016,7.0,3.2,44.0,20.1,36.0,90.0,,41.1,,,16.4,
2373,401,2015,11.0,5.0,51.0,20.1,46.0,61.0,41.0,27.9,140.0,5.0,21.0,64.0
2374,401,2013,15.0,6.9,3.0,1.4,37.0,59.0,,27.0,,,16.9,
2375,401,2011,,,,,,26.0,,12.45,,,,
2376,402,2018,,,,,28.0,,,,,,17.7,
2377,402,2017,0.0,0.0,51.0,32.2,22.0,59.0,,37.3,,,13.9,
2378,402,2016,2.0,1.3,21.0,13.3,20.0,21.0,,13.3,,,12.6,
2379,402,2015,4.0,2.5,33.0,13.3,29.0,25.0,36.0,15.8,50.0,6.3,18.3,31.6
2380,402,2013,3.0,1.9,5.0,3.1,24.0,19.0,,11.9,,,15.0,
2381,402,2011,,,,,,10.0,,6.46,,,,
2382,403,2018,0.0,0.0,,,37.0,5.0,,2.4,,,17.5,
2383,403,2017,,,,,26.0,,,,,,13.0,
2384,403,2016,,,,,33.0,0.0,19.0,0.0,,2.8,16.8,
2385,403,2015,1.0,0.5,,,31.0,26.0,12.0,13.5,,1.8,16.1,
2386,403,2013,1.0,0.6,,,27.0,21.0,15.0,12.1,,2.3,15.5,
2387,403,2011,,,,,,,,,,,,
2388,404,2018,28.0,13.5,195.0,93.9,68.0,24.0,,11.6,,,32.8,
2389,404,2017,,,,,42.0,,,,,,20.2,
2390,404,2016,12.0,5.8,246.0,118.3,47.0,24.0,27.0,11.5,112.0,3.2,22.6,53.9
2391,404,2015,10.0,4.8,85.0,118.3,52.0,31.0,23.0,15.0,86.0,2.7,25.1,41.6
2392,404,2013,10.0,4.8,360.0,173.0,36.0,66.0,1.0,31.7,360.0,0.1,17.3,173.0
2393,404,2011,8.0,4.3,,,,133.0,,71.31,,,,
2394,405,2018,10.0,2.9,106.0,30.3,75.0,10.0,,2.9,,,21.5,
2395,405,2017,,,,,46.0,,,,,,13.2,
2396,405,2016,6.0,1.7,46.0,13.3,37.0,10.0,10.0,2.9,82.0,0.7,10.7,23.6
2397,405,2015,3.0,0.9,58.0,13.3,39.0,17.0,6.0,4.9,53.0,0.4,11.2,15.3
2398,405,2013,0.0,0.0,107.0,30.9,42.0,20.0,9.0,5.8,165.0,0.7,12.1,47.7
2399,405,2011,0.0,0.0,,,,114.0,,35.91,,,,
2400,406,2018,3.0,1.1,,,51.0,7.0,,2.6,,,19.0,
2401,406,2017,,,,,42.0,,,,,,18.1,
2402,406,2016,,,,,38.0,0.0,20.0,0.0,,2.3,17.4,
2403,406,2015,2.0,0.9,,,35.0,41.0,48.0,19.1,,5.7,16.3,
2404,406,2013,2.0,1.0,,,42.0,40.0,32.0,20.0,,3.9,21.0,
2405,406,2011,,,,,,,,,,,,
2406,407,2018,2.0,1.0,,,34.0,6.0,,3.1,,,17.4,
2407,407,2017,,,,,36.0,,,,,,18.8,
2408,407,2016,,,,,30.0,1.0,20.0,0.5,,2.8,15.9,
2409,407,2015,1.0,0.5,,,35.0,35.0,19.0,18.7,,2.7,18.7,
2410,407,2013,2.0,1.1,,,34.0,33.0,22.0,17.9,,3.1,18.4,
2411,407,2011,,,,,,,,,,,,
2412,408,2018,1.0,0.4,,,53.0,6.0,,2.2,,,19.3,
2413,408,2017,,,,,51.0,,,,,,18.7,
2414,408,2016,,,,,55.0,0.0,29.0,0.0,,2.7,20.3,
2415,408,2015,1.0,0.4,,,54.0,20.0,32.0,7.4,,3.0,19.9,
2416,408,2013,1.0,0.4,,,59.0,28.0,15.0,10.4,,1.4,21.9,
2417,408,2011,,,,,,,,,,,,
2418,409,2018,1.0,0.4,62.0,21.4,55.0,15.0,,5.2,,,19.0,
2419,409,2017,,,,,52.0,,,,,,18.2,
2420,409,2016,1.0,0.4,36.0,12.7,50.0,21.0,3.0,7.4,93.0,0.3,17.7,32.8
2421,409,2015,0.0,0.0,77.0,12.7,51.0,17.0,5.0,6.0,56.0,0.5,18.1,19.8
2422,409,2013,2.0,0.7,163.0,58.8,38.0,43.0,5.0,15.5,154.0,0.5,13.7,55.6
2423,409,2011,0.0,0.0,,,,44.0,,17.71,,,,
2424,410,2018,13.0,7.6,35.0,20.4,40.0,8.0,,4.7,,,23.3,
2425,410,2017,,,,,35.0,,,,,,20.4,
2426,410,2016,0.0,0.0,10.0,5.8,25.0,14.0,1.0,8.1,40.0,0.1,14.5,23.2
2427,410,2015,1.0,0.6,31.0,5.8,25.0,17.0,6.0,9.9,33.0,0.6,14.6,19.2
2428,410,2013,0.0,0.0,34.0,19.8,27.0,20.0,2.0,11.6,104.0,0.2,15.7,60.5
2429,410,2011,1.0,0.8,,,,36.0,,27.91,,,,
2430,411,2018,7.0,4.5,58.0,36.9,30.0,22.0,,14.0,,,19.1,
2431,411,2017,,,,,27.0,,,,,,17.4,
2432,411,2016,2.0,1.3,15.0,9.6,20.0,12.0,1.0,7.7,43.0,0.2,12.8,27.6
2433,411,2015,0.0,0.0,26.0,9.6,23.0,16.0,1.0,10.3,26.0,0.2,14.7,16.7
2434,411,2013,1.0,0.7,30.0,19.4,24.0,18.0,1.0,11.6,98.0,0.2,15.5,63.4
2435,411,2011,1.0,0.7,,,,27.0,,19.4,,,,
2436,412,2018,0.0,0.0,27.0,38.6,27.0,10.0,,14.3,17.0,,38.6,24.3
2437,412,2017,3.0,4.4,8.0,11.9,20.0,11.0,,16.3,34.0,,29.6,50.4
2438,412,2016,1.0,1.5,,,18.0,8.0,,11.9,17.0,,26.7,25.2
2439,412,2015,0.0,0.0,,,15.0,1.0,,1.5,14.0,,22.5,21.0
2440,412,2013,1.0,1.5,,,14.0,12.0,,18.4,,,21.4,
2441,412,2011,0.0,0.0,,,,56.0,,92.72,,,,
2442,413,2018,1.0,0.3,40.0,10.4,33.0,23.0,,6.0,26.0,,8.6,6.8
2443,413,2017,1.0,0.3,5.0,1.3,37.0,42.0,,10.9,30.0,,9.6,7.8
2444,413,2016,1.0,0.3,,,35.0,15.0,,3.9,48.0,,9.1,12.5
2445,413,2015,0.0,0.0,,,29.0,0.0,,0.0,35.0,,7.6,9.1
2446,413,2013,2.0,0.5,,,32.0,30.0,,7.9,,,8.4,
2447,413,2011,4.0,1.1,,,,43.0,,12.01,,,,
2448,416,2018,3.0,1.9,47.0,28.9,27.0,40.0,,24.6,60.0,,16.6,36.9
2449,416,2017,2.0,1.2,0.0,0.0,34.0,50.0,,30.8,47.0,,20.9,28.9
2450,416,2016,4.0,2.5,,,35.0,59.0,,36.3,57.0,,21.5,35.1
2451,416,2015,2.0,1.2,,,41.0,2.0,,1.2,47.0,,25.2,28.9
2452,416,2013,2.0,1.2,,,25.0,26.0,,16.0,,,15.4,
2453,416,2011,2.0,1.6,,,,37.0,,28.93,,,,
2454,417,2018,1.0,0.4,33.0,13.4,48.0,26.0,,10.5,40.0,,19.4,16.2
2455,417,2017,1.0,0.4,0.0,0.0,31.0,22.0,,9.2,26.0,,13.0,10.9
2456,417,2016,4.0,1.8,,,25.0,8.0,,3.7,21.0,,11.5,9.7
2457,417,2015,0.0,0.0,,,23.0,0.0,,0.0,19.0,,11.6,9.6
2458,417,2013,1.0,0.5,,,21.0,9.0,,4.6,,,10.6,
2459,417,2011,3.0,1.6,,,,15.0,,7.88,,,,
2460,418,2018,3.0,0.9,63.0,19.0,99.0,40.0,,12.1,81.0,,29.9,24.5
2461,418,2017,3.0,0.9,0.0,0.0,47.0,33.0,,10.0,49.0,,14.2,14.8
2462,418,2016,3.0,0.9,,,48.0,33.0,,10.0,31.0,,14.5,9.4
2463,418,2015,1.0,0.3,,,66.0,2.0,,0.6,52.0,,20.0,15.7
2464,418,2013,1.0,0.3,,,58.0,35.0,,10.6,,,17.5,
2465,418,2011,2.0,0.7,,,,60.0,,19.35,,,,
2466,419,2018,1.0,0.3,31.0,9.9,23.0,3.0,,1.0,13.0,,7.4,4.2
2467,419,2017,0.0,0.0,0.0,0.0,25.0,19.0,,6.1,11.0,,8.1,3.6
2468,419,2016,1.0,0.3,,,17.0,8.0,,2.6,10.0,,5.5,3.2
2469,419,2015,2.0,0.7,,,19.0,2.0,,0.7,8.0,,6.1,2.6
2470,419,2013,0.0,0.0,,,14.0,7.0,,2.3,,,4.5,
2471,419,2011,1.0,0.3,,,,19.0,,6.28,,,,
2472,420,2018,2.0,0.7,33.0,12.0,52.0,15.0,,5.5,33.0,,18.9,12.0
2473,420,2017,1.0,0.4,0.0,0.0,33.0,50.0,,18.2,32.0,,12.0,11.7
2474,420,2016,2.0,0.7,,,37.0,22.0,,8.0,26.0,,13.5,9.5
2475,420,2015,3.0,1.1,,,27.0,2.0,,0.7,29.0,,9.9,10.7
2476,420,2013,1.0,0.4,,,32.0,43.0,,16.3,,,12.1,
2477,420,2011,1.0,0.4,,,,72.0,,28.97,,,,
2478,421,2018,0.0,0.0,36.0,18.8,31.0,4.0,,2.1,6.0,,16.2,3.1
2479,421,2017,0.0,0.0,0.0,0.0,23.0,8.0,,4.4,16.0,,12.6,8.8
2480,421,2016,0.0,0.0,,,14.0,12.0,,7.0,11.0,,8.1,6.4
2481,421,2015,2.0,1.2,,,16.0,1.0,,0.6,6.0,,10.0,3.7
2482,421,2013,1.0,0.7,,,7.0,12.0,,8.6,,,5.0,
2483,421,2011,2.0,1.7,,,,12.0,,10.06,,,,
2484,422,2018,4.0,1.5,150.0,55.1,145.0,103.0,,37.8,156.0,,53.2,57.3
2485,422,2017,4.0,1.7,2.0,0.9,89.0,64.0,,27.7,164.0,,38.5,71.0
2486,422,2016,5.0,2.3,,,71.0,74.0,,34.7,175.0,,33.3,82.0
2487,422,2015,8.0,3.8,,,82.0,8.0,,3.8,153.0,,38.4,71.7
2488,422,2013,5.0,3.3,,,66.0,95.0,,62.5,,,43.4,
2489,422,2011,13.0,6.9,,,,101.0,,53.78,,,,
2490,423,2018,1.0,0.4,,,60.0,6.0,,2.3,,,23.3,
2491,423,2017,,,,,56.0,,,,,,23.9,
2492,423,2016,,,,,32.0,0.0,16.0,0.0,,2.1,14.8,
2493,423,2015,4.0,1.9,,,33.0,20.0,41.0,9.6,,5.6,15.9,
2494,423,2013,2.0,1.0,,,26.0,34.0,3.0,16.7,,0.4,12.7,
2495,423,2011,,,,,,,,,,,,
2496,424,2018,2.0,1.2,25.0,14.6,40.0,7.0,,4.1,6.0,,23.3,3.5
2497,424,2017,1.0,0.6,2.0,1.2,34.0,10.0,,5.9,12.0,,20.0,7.1
2498,424,2016,0.0,0.0,,,24.0,11.0,,6.5,47.0,,14.2,27.7
2499,424,2015,0.0,0.0,,,37.0,10.0,,5.9,53.0,,21.9,31.4
2500,424,2013,1.0,0.6,,,23.0,15.0,,8.9,,,13.6,
2501,424,2011,2.0,1.4,,,,37.0,,25.02,,,,
2502,425,2018,0.0,0.0,,,19.0,2.0,,1.6,,,14.8,
2503,425,2017,,,,,28.0,,,,,,22.0,
2504,425,2016,,,,,15.0,0.0,4.0,0.0,,0.9,12.2,
2505,425,2015,1.0,0.8,,,12.0,17.0,8.0,14.0,,1.9,9.9,
2506,425,2013,0.0,0.0,,,12.0,8.0,3.0,6.6,,0.7,10.0,
2507,425,2011,,,,,,,,,,,,
2508,426,2018,,,,,53.0,,,,,,25.9,
2509,426,2017,7.0,3.4,88.0,43.1,30.0,187.0,,91.6,,,14.7,
2510,426,2016,6.0,2.9,50.0,24.5,34.0,198.0,,96.8,,,16.6,
2511,426,2015,5.0,2.4,74.0,24.5,33.0,143.0,37.0,69.9,172.0,4.6,16.1,84.1
2512,426,2013,10.0,4.9,7.0,3.4,48.0,171.0,,83.5,,,23.5,
2513,426,2011,,,,,,96.0,,48.44,,,,
2514,428,2018,2.0,1.2,,,51.0,16.0,,9.6,,,30.7,
2515,428,2017,,,,,27.0,,,,,,16.9,
2516,428,2016,,,,,28.0,7.0,14.0,4.5,,2.6,18.1,
2517,428,2015,5.0,3.3,,,18.0,92.0,30.0,61.2,,5.7,12.0,
2518,428,2013,0.0,0.0,,,17.0,54.0,30.0,37.7,,5.9,11.9,
2519,428,2011,,,,,,,,,,,,
2520,430,2018,,,,,65.0,,,,,,19.5,
2521,430,2017,,,,,41.0,,,,,,13.0,
2522,430,2016,,,,,46.0,,,,,,15.0,
2523,430,2015,,,,,37.0,,,,,,12.5,
2524,430,2013,,,,,29.0,,,,,,10.3,
2525,430,2011,3.0,1.2,,,,101.0,,41.06,,,,
2526,431,2018,0.0,0.0,,,17.0,4.0,,2.1,,,8.9,
2527,431,2017,,,,,20.0,,,,,,10.7,
2528,431,2016,,,,,18.0,0.0,18.0,0.0,,2.6,9.7,
2529,431,2015,0.0,0.0,,,25.0,15.0,26.0,8.2,,3.8,13.6,
2530,431,2013,3.0,1.7,,,17.0,30.0,35.0,16.6,,5.1,9.4,
2531,431,2011,,,,,,,,,,,,
2532,432,2018,,,,,54.0,,,,,,20.3,
2533,432,2017,8.0,3.0,116.0,43.5,41.0,35.0,,13.1,,,15.4,
2534,432,2016,4.0,1.5,49.0,18.5,34.0,33.0,,12.5,,,12.8,
2535,432,2015,12.0,4.6,51.0,18.5,40.0,30.0,27.0,11.5,143.0,3.0,15.3,54.9
2536,432,2013,10.0,3.9,4.0,1.6,34.0,54.0,,21.1,,,13.3,
2537,432,2011,,,,,,19.0,,7.22,,,,
2538,433,2018,,,,,8.0,,,,,,7.9,
2539,433,2017,0.0,0.0,38.0,37.6,15.0,15.0,,14.8,,,14.8,
2540,433,2016,0.0,0.0,13.0,12.9,6.0,3.0,,3.0,,,6.0,
2541,433,2015,0.0,0.0,20.0,12.9,6.0,2.0,5.0,2.0,19.0,1.6,6.0,18.9
2542,433,2013,1.0,1.0,1.0,1.0,6.0,6.0,,6.0,,,6.0,
2543,433,2011,,,,,,12.0,,12.02,,,,
2544,434,2018,1.0,0.3,33.0,9.1,65.0,40.0,,11.1,60.0,,18.0,16.6
2545,434,2017,1.0,0.3,24.0,7.0,35.0,47.0,,13.7,54.0,,10.2,15.7
2546,434,2016,1.0,0.3,,,44.0,15.0,,4.5,77.0,,13.3,23.3
2547,434,2015,2.0,0.6,,,36.0,18.0,,5.6,54.0,,11.3,16.9
2548,434,2013,1.0,0.4,,,36.0,28.0,,9.8,,,12.7,
2549,434,2011,3.0,1.2,,,,35.0,,14.3,,,,
2550,435,2018,3.0,4.7,,,16.0,5.0,,7.9,,,25.1,
2551,435,2017,,,,,9.0,,,,,,14.2,
2552,435,2016,,,,,11.0,0.0,14.0,0.0,,5.7,17.5,
2553,435,2015,2.0,3.3,,,10.0,12.0,23.0,19.8,,9.8,16.5,
2554,435,2013,1.0,1.8,,,11.0,10.0,9.0,17.6,,3.9,19.4,
2555,435,2011,,,,,,,,,,,,
2556,436,2018,1.0,0.6,,,31.0,9.0,,5.6,,,19.2,
2557,436,2017,,,,,33.0,,,,,,20.5,
2558,436,2016,,,,,26.0,0.0,28.0,0.0,,4.6,16.2,
2559,436,2015,1.0,0.6,,,20.0,54.0,19.0,33.7,,3.2,12.5,
2560,436,2013,6.0,3.8,,,19.0,35.0,32.0,21.9,,5.3,11.9,
2561,436,2011,,,,,,,,,,,,
2562,437,2018,11.0,2.9,144.0,37.9,122.0,148.0,,38.9,214.0,,32.1,56.3
2563,437,2017,4.0,1.2,26.0,7.9,64.0,184.0,,55.6,185.0,,19.3,55.9
2564,437,2016,2.0,0.6,,,44.0,191.0,,60.6,139.0,,14.0,44.1
2565,437,2015,9.0,3.1,,,46.0,11.0,,3.7,127.0,,15.6,43.0
2566,437,2013,9.0,3.6,,,49.0,126.0,,51.0,,,19.8,
2567,437,2011,2.0,0.9,,,,62.0,,29.19,,,,
2568,438,2018,10.0,3.0,60.0,18.0,67.0,35.0,,10.5,,,20.1,
2569,438,2017,,,,,45.0,,,,,,16.8,
2570,438,2016,10.0,4.5,23.0,10.3,41.0,43.0,4.0,19.3,119.0,0.4,18.4,53.4
2571,438,2015,2.0,1.0,31.0,10.3,51.0,45.0,9.0,23.0,98.0,1.1,26.1,50.1
2572,438,2013,1.0,0.8,35.0,28.1,43.0,50.0,3.0,40.2,174.0,0.4,34.5,139.8
2573,438,2011,0.0,0.0,,,,49.0,,80.07,,,,
2574,442,2018,9.0,4.2,,,60.0,33.0,,15.5,,,28.1,
2575,442,2017,,,,,31.0,,,,,,14.9,
2576,442,2016,,,,,20.0,52.0,10.0,25.6,,1.4,9.8,
2577,442,2015,4.0,2.0,,,33.0,65.0,19.0,32.2,,2.6,16.4,
2578,442,2013,7.0,3.5,,,26.0,49.0,1.0,24.8,,0.1,13.1,
2579,442,2011,,,,,,,,,,,,
2580,443,2018,,,,,12.0,,,,,,7.0,
2581,443,2017,,,,,17.0,,,,,,9.9,
2582,443,2016,,,,,12.0,,,,,,7.0,
2583,443,2015,,,,,15.0,,,,,,8.8,
2584,443,2013,,,,,11.0,,,,,,6.4,
2585,443,2011,0.0,0.0,,,,6.0,,3.59,,,,
2586,444,2018,,,,,40.0,,,,,,17.5,
2587,444,2017,,,,,39.0,,,,,,17.2,
2588,444,2016,,,,,32.0,,,,,,14.3,
2589,444,2015,,,,,31.0,,,,,,13.9,
2590,444,2013,,,,,29.0,,,,,,13.0,
2591,444,2011,1.0,0.4,,,,38.0,,16.23,,,,
2592,445,2018,1.0,0.3,51.0,17.4,37.0,14.0,,4.8,14.0,,12.6,4.8
2593,445,2017,2.0,0.7,0.0,0.0,26.0,39.0,,13.3,21.0,,8.9,7.2
2594,445,2016,0.0,0.0,,,27.0,13.0,,4.4,25.0,,9.2,8.5
2595,445,2015,1.0,0.3,,,30.0,1.0,,0.3,16.0,,10.2,5.5
2596,445,2013,0.0,0.0,,,18.0,28.0,,9.5,,,6.1,
2597,445,2011,1.0,0.4,,,,43.0,,15.38,,,,
2598,446,2018,0.0,0.0,39.0,26.6,14.0,21.0,,14.3,21.0,,9.5,14.3
2599,446,2017,1.0,0.7,0.0,0.0,13.0,13.0,,9.0,9.0,,9.0,6.2
2600,446,2016,1.0,0.7,,,18.0,18.0,,12.6,20.0,,12.6,14.0
2601,446,2015,1.0,0.7,,,14.0,2.0,,1.5,18.0,,10.3,13.2
2602,446,2013,0.0,0.0,,,8.0,12.0,,9.2,,,6.1,
2603,446,2011,2.0,1.6,,,,13.0,,10.23,,,,
2604,447,2018,1.0,0.3,48.0,16.4,29.0,29.0,,9.9,27.0,,9.9,9.2
2605,447,2017,2.0,0.8,0.0,0.0,23.0,28.0,,10.6,34.0,,8.7,12.9
2606,447,2016,0.0,0.0,,,36.0,14.0,,5.6,47.0,,14.3,18.7
2607,447,2015,2.0,0.8,,,28.0,2.0,,0.8,45.0,,11.6,18.6
2608,447,2013,0.0,0.0,,,26.0,32.0,,13.6,,,11.0,
2609,447,2011,4.0,1.9,,,,40.0,,18.7,,,,
2610,448,2018,24.0,6.9,79.0,22.7,84.0,48.0,,13.8,,,24.2,
2611,448,2017,,,,,58.0,,,,,,17.3,
2612,448,2016,12.0,3.6,48.0,14.6,55.0,64.0,9.0,19.4,226.0,0.6,16.7,68.6
2613,448,2015,9.0,2.9,53.0,14.6,64.0,48.0,111.0,15.2,106.0,7.2,20.2,33.5
2614,448,2013,9.0,3.2,135.0,48.5,58.0,72.0,17.0,25.9,462.0,1.1,20.9,166.1
2615,448,2011,6.0,2.4,,,,146.0,,58.97,,,,
2616,449,2018,3.0,1.2,75.0,31.1,62.0,11.0,,4.6,,,25.7,
2617,449,2017,,,,,44.0,,,,,,18.7,
2618,449,2016,3.0,1.3,81.0,34.9,48.0,19.0,1.0,8.2,104.0,0.1,20.7,44.8
2619,449,2015,1.0,0.4,65.0,34.9,43.0,14.0,10.0,6.0,47.0,1.1,18.3,20.0
2620,449,2013,1.0,0.4,128.0,54.7,35.0,23.0,3.0,9.8,124.0,0.3,14.9,53.0
2621,449,2011,1.0,0.5,,,,60.0,,29.79,,,,
2622,450,2018,2.0,0.5,124.0,29.6,63.0,44.0,,10.5,60.0,,15.0,14.3
2623,450,2017,0.0,0.0,15.0,3.7,48.0,59.0,,14.4,43.0,,11.7,10.5
