,NPA,year,voters_participating,board_committee_participation,311_requests,neighborhood_organizations,voter_participation,311_calls,arts_participating_households,board_committee_participants,arts_participation
2971,434,2018,1654.0,1.0,,,68.0,,,2.0,
2972,434,2017,268.0,1.16,,,10.0,,,4.0,
2973,434,2014,1020.0,,,,61.0,,,,
2974,434,2012,1416.0,,,,85.0,,,,
2975,435,2013,,,2.6,,,15.0,37.0,,17.0
2976,435,2016,412.0,,0.6,,85.0,4.0,,,
2977,435,2015,80.0,,1.5,,18.0,9.0,,,
2978,435,2018,325.0,0.0,,,72.0,,,0.0,
2979,435,2017,101.0,0.0,,,19.0,,,0.0,
2980,435,2014,280.0,,,,66.0,,,,
2981,435,2012,394.0,,,,84.0,,,,
2982,436,2013,,,1.6,,,25.0,59.0,,10.0
2983,436,2016,788.0,,0.5,,78.0,8.0,,,
2984,436,2015,79.0,,0.7,,9.0,11.0,,,
2985,436,2018,596.0,1.0,,,59.0,,,2.0,
2986,436,2017,126.0,1.86,,,10.0,,,3.0,
2987,436,2014,457.0,,,,53.0,,,,
2988,436,2012,761.0,,,,75.0,,,,
2989,437,2013,,,1.7,,,43.0,166.0,,16.0
2990,437,2016,1887.0,,0.7,,80.0,22.0,,,
2991,437,2015,282.0,,0.9,,16.0,25.0,,,
2992,437,2018,1805.0,0.0,,,60.0,,,1.0,
2993,437,2017,403.0,1.21,,,13.0,,,4.0,
2994,437,2014,855.0,,,,53.0,,,,
2995,437,2012,1314.0,,,,79.0,,,,
2996,438,2013,,,1.9,,,24.0,104.0,,20.0
2997,438,2016,1417.0,,0.9,,85.0,21.0,,,
2998,438,2015,248.0,,0.8,,21.0,16.0,,,
2999,438,2018,1440.0,3.0,,,71.0,,,10.0,
3000,438,2017,555.0,2.23,,,26.0,,,6.0,
3001,438,2014,648.0,,,,63.0,,,,
3002,438,2012,677.0,,,,87.0,,,,
3003,442,2013,,,1.4,,,28.0,49.0,,7.0
3004,442,2016,870.0,,1.7,,75.0,35.0,,,
3005,442,2015,70.0,,1.9,,7.0,38.0,,,
3006,442,2018,599.0,1.0,,,58.0,,,2.0,
3007,442,2017,114.0,0.96,,,9.0,,,2.0,
3008,442,2014,472.0,,,1.0,52.0,,,,
3009,442,2012,799.0,,,,78.0,,,,
3010,443,2013,,,0.9,,,16.0,88.0,,16.0
3011,443,2016,664.0,,0.6,,78.0,10.0,,,
3012,443,2015,45.0,,0.4,,6.0,6.0,,,
3013,443,2018,637.0,0.0,,,66.0,,,0.0,
3014,443,2017,118.0,0.0,,,10.0,,,0.0,
3015,443,2014,370.0,,,,52.0,,,,
3016,443,2012,654.0,,,,79.0,,,,
3017,444,2013,,,0.9,,,21.0,94.0,,12.0
3018,444,2016,1072.0,,0.4,,77.0,9.0,,,
3019,444,2015,60.0,,0.6,,5.0,13.0,,,
3020,444,2018,787.0,0.0,,,65.0,,,0.0,
3021,444,2017,119.0,0.0,,,8.0,,,0.0,
3022,444,2014,538.0,,,,49.0,,,,
3023,444,2012,966.0,,,,77.0,,,,
3024,445,2013,,,0.5,,,16.0,218.0,,21.0
3025,445,2016,1595.0,,0.9,,80.0,25.0,,,
3026,445,2015,345.0,,0.7,,19.0,19.0,,,
3027,445,2018,1273.0,1.0,,,67.0,,,2.0,
3028,445,2017,338.0,0.34,,,15.0,,,1.0,
3029,445,2014,992.0,,,,57.0,,,,
3030,445,2012,1597.0,,,,82.0,,,,
3031,446,2013,,,1.2,,,15.0,66.0,,14.0
3032,446,2016,720.0,,0.6,,78.0,9.0,,,
3033,446,2015,119.0,,1.4,,15.0,19.0,,,
3034,446,2018,523.0,1.0,,,60.0,,,1.0,
3035,446,2017,96.0,0.69,,,9.0,,,1.0,
3036,446,2014,369.0,,,,51.0,,,,
3037,446,2012,639.0,,,,81.0,,,,
3038,447,2013,,,1.3,,,31.0,152.0,,17.0
3039,447,2016,1445.0,,0.7,,81.0,18.0,,,
3040,447,2015,197.0,,0.8,,14.0,20.0,,,
3041,447,2018,1302.0,0.0,,,61.0,,,0.0,
3042,447,2017,265.0,0.38,,,11.0,,,1.0,
3043,447,2014,642.0,,,,52.0,,,,
3044,447,2012,1110.0,,,,83.0,,,,
3045,448,2013,,,1.0,,,27.0,172.0,,13.0
3046,448,2016,1596.0,,0.6,,75.0,19.0,,,
3047,448,2015,132.0,,0.3,,8.0,10.0,,,
3048,448,2018,1130.0,1.0,,,57.0,,,5.0,
3049,448,2017,254.0,1.19,,,11.0,,,4.0,
3050,448,2014,687.0,,,,48.0,,,,
3051,448,2012,1170.0,,,,82.0,,,,
3052,449,2013,,,1.2,,,27.0,223.0,,24.0
3053,449,2016,1434.0,,0.9,,85.0,20.0,,,
3054,449,2015,369.0,,1.2,,24.0,29.0,,,
3055,449,2018,1358.0,3.0,,,76.0,,,7.0,
3056,449,2017,589.0,3.4,,,30.0,,,8.0,
3057,449,2014,1012.0,,,,69.0,,,,
3058,449,2012,1366.0,,,,88.0,,,,
3059,450,2013,,,0.9,,,35.0,285.0,,23.0
3060,450,2016,2098.0,,0.5,,82.0,21.0,,,
3061,450,2015,397.0,,0.6,,18.0,23.0,,,
3062,450,2018,1720.0,1.0,,,68.0,,,3.0,
3063,450,2017,430.0,0.49,,,15.0,,,2.0,
3064,450,2014,1189.0,,,,57.0,,,,
3065,450,2012,1879.0,,,,84.0,,,,
3066,451,2013,,,1.0,,,36.0,356.0,,30.0
3067,451,2016,2403.0,,0.5,,85.0,20.0,,,
3068,451,2015,294.0,,0.8,,12.0,32.0,,,
3069,451,2018,2065.0,0.0,,,71.0,,,0.0,
3070,451,2017,1079.0,0.23,,,35.0,,,1.0,
3071,451,2014,1396.0,,,4.0,60.0,,,,
3072,451,2012,1994.0,,,,89.0,,,,
3073,452,2013,,,1.5,,,24.0,94.0,,16.0
3074,452,2016,860.0,,1.1,,78.0,19.0,,,
3075,452,2015,205.0,,0.5,,22.0,9.0,,,
3076,452,2018,598.0,1.0,,,57.0,,,2.0,
3077,452,2017,171.0,1.18,,,15.0,,,2.0,
3078,452,2014,506.0,,,,58.0,,,,
3079,452,2012,784.0,,,,81.0,,,,
3080,453,2013,,,0.9,,,17.0,61.0,,7.0
3081,453,2016,845.0,,1.5,,73.0,29.0,,,
3082,453,2015,300.0,,1.0,,31.0,20.0,,,
3083,453,2018,630.0,3.0,,,58.0,,,5.0,
3084,453,2017,375.0,2.5,,,26.0,,,5.0,
3085,453,2014,443.0,,,,49.0,,,,
3086,453,2012,788.0,,,,70.0,,,,
3087,454,2013,,,1.5,,,22.0,56.0,,10.0
3088,454,2016,826.0,,1.2,,84.0,18.0,,,
3089,454,2015,158.0,,0.8,,17.0,12.0,,,
3090,454,2018,682.0,0.0,,,72.0,,,0.0,
3091,454,2017,204.0,0.0,,,19.0,,,0.0,
3092,454,2014,537.0,,,,62.0,,,,
3093,454,2012,819.0,,,,84.0,,,,
3094,455,2013,,,1.2,,,23.0,133.0,,18.0
3095,455,2016,1122.0,,0.8,,84.0,16.0,,,
3096,455,2015,148.0,,0.5,,12.0,9.0,,,
3097,455,2018,785.0,0.0,,,73.0,,,0.0,
3098,455,2017,190.0,0.0,,,15.0,,,0.0,
3099,455,2014,715.0,,,,61.0,,,,
3100,455,2012,1082.0,,,,82.0,,,,
3101,456,2013,,,0.7,,,8.0,82.0,,15.0
3102,456,2016,620.0,,0.5,,78.0,5.0,,,
3103,456,2015,90.0,,0.5,,12.0,5.0,,,
3104,456,2018,799.0,0.0,,,76.0,,,0.0,
3105,456,2017,346.0,0.0,,,30.0,,,0.0,
3106,456,2014,473.0,,,1.0,66.0,,,,
3107,456,2012,663.0,,,,87.0,,,,
3108,457,2013,,,0.8,,,8.0,105.0,,29.0
3109,457,2016,618.0,,0.9,,84.0,9.0,,,
3110,457,2015,130.0,,1.2,,18.0,13.0,,,
3111,457,2018,556.0,0.0,,,79.0,,,0.0,
3112,457,2017,229.0,0.94,,,27.0,,,1.0,
3113,457,2014,461.0,,,0.0,67.0,,,,
3114,457,2012,653.0,,,,84.0,,,,
3115,458,2013,,,1.2,,,14.0,64.0,,16.0
3116,458,2016,574.0,,0.7,,81.0,8.0,,,
3117,458,2015,79.0,,0.9,,13.0,10.0,,,
3118,458,2018,442.0,0.0,,,67.0,,,0.0,
3119,458,2017,152.0,0.0,,,19.0,,,0.0,
3120,458,2014,335.0,,,,56.0,,,,
3121,458,2012,547.0,,,,78.0,,,,
3122,459,2013,,,1.4,,,40.0,127.0,,13.0
3123,459,2016,1314.0,,0.6,,80.0,17.0,,,
3124,459,2015,132.0,,1.2,,9.0,34.0,,,
3125,459,2018,1077.0,0.0,,,67.0,,,0.0,
3126,459,2017,306.0,0.36,,,16.0,,,1.0,
3127,459,2014,785.0,,,6.0,56.0,,,,
3128,459,2012,1290.0,,,,79.0,,,,
3129,460,2013,,,1.4,,,41.0,148.0,,14.0
3130,460,2016,1432.0,,0.9,,79.0,27.0,,,
3131,460,2015,211.0,,0.8,,13.0,23.0,,,
3132,460,2018,1194.0,0.0,,,71.0,,,0.0,
3133,460,2017,405.0,0.0,,,20.0,,,0.0,
3134,460,2014,866.0,,,4.0,56.0,,,,
3135,460,2012,1342.0,,,,77.0,,,,
3136,462,2013,,,1.4,,,29.0,100.0,,14.0
3137,462,2016,1149.0,,0.7,,81.0,16.0,,,
3138,462,2015,142.0,,0.6,,12.0,13.0,,,
3139,462,2018,1048.0,0.0,,,65.0,,,1.0,
3140,462,2017,212.0,0.41,,,11.0,,,1.0,
3141,462,2014,537.0,,,,52.0,,,,
3142,462,2012,852.0,,,,77.0,,,,
3143,463,2013,,,0.8,,,19.0,61.0,,6.0
3144,463,2016,798.0,,0.4,,75.0,10.0,,,
3145,463,2015,196.0,,0.6,,22.0,15.0,,,
3146,463,2018,609.0,0.0,,,58.0,,,0.0,
3147,463,2017,206.0,0.0,,,15.0,,,0.0,
3148,463,2014,480.0,,,,56.0,,,,
3149,463,2012,810.0,,,,76.0,,,,
3150,464,2013,,,0.8,,,28.0,296.0,,24.0
3151,464,2016,2140.0,,0.7,,83.0,26.0,,,
3152,464,2015,340.0,,0.4,,16.0,15.0,,,
3153,464,2018,1670.0,0.0,,,64.0,,,0.0,
3154,464,2017,398.0,0.0,,,13.0,,,0.0,
3155,464,2014,1134.0,,,,56.0,,,,
3156,464,2012,1822.0,,,,81.0,,,,
3157,465,2013,,,1.3,,,16.0,49.0,,10.0
3158,465,2016,561.0,,0.7,,74.0,9.0,,,
3159,465,2015,83.0,,0.3,,13.0,4.0,,,
3160,465,2018,449.0,2.0,,,63.0,,,2.0,
3161,465,2017,138.0,1.6,,,15.0,,,2.0,
3162,465,2014,311.0,,,1.0,53.0,,,,
3163,465,2012,530.0,,,,76.0,,,,
3164,466,2013,,,1.2,,,30.0,133.0,,14.0
3165,466,2016,1195.0,,1.5,,77.0,39.0,,,
3166,466,2015,206.0,,0.8,,15.0,21.0,,,
3167,466,2018,851.0,0.0,,,60.0,,,0.0,
3168,466,2017,207.0,0.38,,,12.0,,,1.0,
3169,466,2014,680.0,,,,52.0,,,,
3170,466,2012,1178.0,,,,80.0,,,,
3171,467,2013,,,0.7,,,14.0,111.0,,16.0
3172,467,2016,1077.0,,0.7,,80.0,14.0,,,
3173,467,2015,152.0,,0.3,,13.0,7.0,,,
3174,467,2018,834.0,0.0,,,63.0,,,0.0,
3175,467,2017,171.0,0.0,,,11.0,,,0.0,
3176,467,2014,607.0,,,,54.0,,,,
3177,467,2012,1011.0,,,,80.0,,,,
3178,468,2013,,,0.3,,,6.0,9.0,,10.0
3179,468,2016,902.0,,0.2,,56.0,4.0,,,
3180,468,2015,25.0,,0.1,,2.0,1.0,,,
3181,468,2018,96.0,0.0,,,74.0,,,0.0,
3182,468,2017,61.0,0.0,,,40.0,,,0.0,
