,NPA,year,voters_participating,board_committee_participation,311_requests,neighborhood_organizations,voter_participation,311_calls,arts_participating_households,board_committee_participants,arts_participation
106,17,2016,1458.0,,38.0,,66.0,1284.0,,,
107,17,2015,374.0,,35.9,3.0,19.0,1215.0,,,
108,17,2018,1051.0,1.0,,,64.0,,,3.0,
109,17,2017,481.0,0.89,,,22.0,,,3.0,
110,17,2014,1018.0,,,3.0,51.0,,,,
111,17,2012,1563.0,,,,77.0,,,,
112,18,2013,,,25.0,,,807.0,516.0,,33.0
113,18,2016,1851.0,,27.5,,78.0,923.0,,,
114,18,2015,608.0,,20.8,4.0,30.0,714.0,,,
115,18,2018,1436.0,1.0,,,70.0,,,4.0,
116,18,2017,793.0,0.91,,,33.0,,,3.0,
117,18,2014,1049.0,,,4.0,57.0,,,,
118,18,2012,1655.0,,,,84.0,,,,
119,19,2013,,,38.0,,,1365.0,463.0,,27.0
120,19,2016,2319.0,,41.5,,84.0,1519.0,,,
121,19,2015,785.0,,40.4,8.0,31.0,1475.0,,,
122,19,2018,2002.0,1.0,,,76.0,,,3.0,
123,19,2017,1047.0,0.55,,,34.0,,,2.0,
124,19,2014,1548.0,,,7.0,64.0,,,,
125,19,2012,2274.0,,,,83.0,,,,
126,20,2013,,,22.6,,,712.0,232.0,,16.0
127,20,2016,1670.0,,26.4,,82.0,831.0,,,
128,20,2015,413.0,,22.6,2.0,23.0,712.0,,,
129,20,2018,1341.0,0.0,,,70.0,,,1.0,
130,20,2017,603.0,0.32,,,26.0,,,1.0,
131,20,2014,1009.0,,,2.0,59.0,,,,
132,20,2012,1616.0,,,,84.0,,,,
133,21,2013,,,25.0,,,722.0,30.0,,3.0
134,21,2016,784.0,,22.6,,64.0,679.0,,,
135,21,2015,107.0,,21.9,4.0,11.0,654.0,,,
136,21,2018,580.0,0.0,,,52.0,,,0.0,
137,21,2017,150.0,0.0,,,10.0,,,0.0,
138,21,2014,375.0,,,4.0,42.0,,,,
139,21,2012,739.0,,,,72.0,,,,
140,22,2013,,,37.4,,,335.0,68.0,,15.0
141,22,2016,563.0,,37.9,,71.0,373.0,,,
142,22,2015,45.0,,41.0,2.0,9.0,394.0,,,
143,22,2018,372.0,0.0,,,55.0,,,0.0,
144,22,2017,114.0,0.0,,,12.0,,,0.0,
145,22,2014,179.0,,,2.0,41.0,,,,
146,22,2012,374.0,,,,68.0,,,,
147,23,2013,,,34.5,,,373.0,40.0,,8.0
148,23,2016,517.0,,39.0,,65.0,434.0,,,
149,23,2015,93.0,,36.4,1.0,14.0,405.0,,,
150,23,2018,335.0,0.0,,,54.0,,,0.0,
151,23,2017,134.0,0.0,,,16.0,,,0.0,
152,23,2014,287.0,,,1.0,45.0,,,,
153,23,2012,525.0,,,,80.0,,,,
154,24,2013,,,31.7,,,381.0,64.0,,14.0
155,24,2016,416.0,,37.6,,83.0,423.0,,,
156,24,2015,116.0,,37.8,1.0,28.0,427.0,,,
157,24,2018,324.0,1.0,,,68.0,,,1.0,
158,24,2017,142.0,0.89,,,23.0,,,1.0,
159,24,2014,230.0,,,1.0,58.0,,,,
160,24,2012,375.0,,,,71.0,,,,
161,25,2013,,,34.0,,,1007.0,297.0,,27.0
162,25,2016,1730.0,,34.6,,82.0,1029.0,,,
163,25,2015,526.0,,32.7,2.0,28.0,968.0,,,
164,25,2018,1478.0,0.0,,,72.0,,,1.0,
165,25,2017,724.0,0.33,,,30.0,,,1.0,
166,25,2014,1124.0,,,2.0,61.0,,,,
167,25,2012,1673.0,,,,81.0,,,,
168,26,2013,,,0.9,,,28.0,153.0,,14.0
169,26,2016,1618.0,,0.7,,75.0,22.0,,,
170,26,2015,115.0,,0.8,1.0,6.0,26.0,,,
171,26,2018,1233.0,1.0,,,66.0,,,2.0,
172,26,2017,226.0,0.65,,,10.0,,,2.0,
173,26,2014,932.0,,,1.0,49.0,,,,
174,26,2012,1551.0,,,,82.0,,,,
175,27,2013,,,17.4,,,472.0,78.0,,8.0
176,27,2016,921.0,,19.8,,75.0,538.0,,,
177,27,2015,139.0,,17.4,0.0,12.0,472.0,,,
178,27,2018,638.0,0.0,,,58.0,,,1.0,
179,27,2017,202.0,0.0,,,15.0,,,0.0,
180,27,2014,540.0,,,0.0,48.0,,,,
181,27,2012,994.0,,,,77.0,,,,
182,28,2013,,,26.5,,,311.0,220.0,,42.0
183,28,2016,724.0,,28.8,,87.0,338.0,,,
184,28,2015,287.0,,29.7,2.0,38.0,356.0,,,
185,28,2018,649.0,2.0,,,75.0,,,3.0,
186,28,2017,359.0,4.27,,,39.0,,,5.0,
187,28,2014,474.0,,,2.0,66.0,,,,
188,28,2012,656.0,,,,88.0,,,,
189,29,2013,,,34.9,,,433.0,117.0,,21.0
190,29,2016,783.0,,42.9,,83.0,531.0,,,
191,29,2015,236.0,,33.9,2.0,28.0,419.0,,,
192,29,2018,662.0,2.0,,,75.0,,,2.0,
193,29,2017,334.0,1.62,,,30.0,,,2.0,
194,29,2014,492.0,,,2.0,60.0,,,,
195,29,2012,761.0,,,,81.0,,,,
196,30,2013,,,18.2,,,225.0,4.0,,1.0
197,30,2016,837.0,,11.0,,61.0,265.0,,,
198,30,2015,65.0,,9.6,1.0,7.0,200.0,,,
199,30,2018,435.0,0.0,,,44.0,,,1.0,
200,30,2017,92.0,0.37,,,6.0,,,1.0,
201,30,2014,350.0,,,0.0,42.0,,,,
202,30,2012,562.0,,,,78.0,,,,
203,31,2013,,,39.0,,,644.0,289.0,,44.0
204,31,2016,1137.0,,40.5,,87.0,678.0,,,
205,31,2015,439.0,,37.2,1.0,36.0,620.0,,,
206,31,2018,1015.0,2.0,,,80.0,,,4.0,
207,31,2017,643.0,2.98,,,44.0,,,5.0,
208,31,2014,777.0,,,2.0,67.0,,,,
209,31,2012,1087.0,,,,86.0,,,,
210,32,2013,,,49.0,,,165.0,23.0,,10.0
211,32,2016,182.0,,44.2,,78.0,149.0,,,
212,32,2015,37.0,,42.4,0.0,19.0,143.0,,,
213,32,2018,150.0,0.0,,,71.0,,,0.0,
214,32,2017,56.0,0.0,,,21.0,,,0.0,
215,32,2014,113.0,,,0.0,60.0,,,,
216,32,2012,180.0,,,,75.0,,,,
217,33,2013,,,6.9,,,91.0,25.0,,4.0
218,33,2016,236.0,,2.8,,65.0,38.0,,,
219,33,2015,29.0,,3.9,1.0,9.0,52.0,,,
220,33,2018,159.0,0.0,,,50.0,,,0.0,
221,33,2017,45.0,0.74,,,11.0,,,1.0,
222,33,2014,120.0,,,1.0,42.0,,,,
223,33,2012,340.0,,,,80.0,,,,
224,34,2013,,,42.9,,,900.0,19.0,,2.0
225,34,2016,779.0,,40.9,,69.0,907.0,,,
226,34,2015,121.0,,40.9,2.0,13.0,891.0,,,
227,34,2018,768.0,0.0,,,57.0,,,1.0,
228,34,2017,249.0,0.44,,,16.0,,,1.0,
229,34,2014,418.0,,,2.0,46.0,,,,
230,34,2012,785.0,,,,73.0,,,,
231,35,2013,,,2.5,,,42.0,73.0,,11.0
232,35,2016,1177.0,,2.8,,76.0,59.0,,,
233,35,2015,47.0,,4.2,4.0,4.0,80.0,,,
234,35,2018,1019.0,1.0,,,64.0,,,2.0,
235,35,2017,143.0,0.89,,,8.0,,,2.0,
236,35,2014,544.0,,,4.0,48.0,,,,
237,35,2012,799.0,,,,72.0,,,,
238,36,2013,,,49.6,,,1194.0,210.0,,20.0
239,36,2016,1516.0,,49.9,,75.0,1427.0,,,
240,36,2015,407.0,,42.5,3.0,23.0,1213.0,,,
241,36,2018,1286.0,0.0,,,71.0,,,1.0,
242,36,2017,612.0,0.33,,,28.0,,,1.0,
243,36,2014,906.0,,,3.0,54.0,,,,
244,36,2012,1301.0,,,,78.0,,,,
245,37,2013,,,59.0,,,1055.0,46.0,,7.0
246,37,2016,831.0,,57.6,,62.0,1069.0,,,
247,37,2015,162.0,,53.2,3.0,14.0,983.0,,,
248,37,2018,651.0,1.0,,,57.0,,,1.0,
249,37,2017,257.0,0.53,,,17.0,,,1.0,
250,37,2014,438.0,,,3.0,39.0,,,,
251,37,2012,864.0,,,,75.0,,,,
252,38,2013,,,25.7,,,617.0,197.0,,23.0
253,38,2016,1317.0,,29.5,,83.0,708.0,,,
254,38,2015,320.0,,26.8,4.0,22.0,643.0,,,
255,38,2018,1053.0,0.0,,,68.0,,,0.0,
256,38,2017,471.0,0.0,,,26.0,,,0.0,
257,38,2014,772.0,,,4.0,57.0,,,,
258,38,2012,1241.0,,,,81.0,,,,
259,39,2013,,,30.2,,,821.0,97.0,,11.0
260,39,2016,1248.0,,34.7,,72.0,995.0,,,
261,39,2015,263.0,,30.7,1.0,17.0,859.0,,,
262,39,2018,948.0,0.0,,,64.0,,,0.0,
263,39,2017,362.0,0.0,,,20.0,,,0.0,
264,39,2014,731.0,,,1.0,48.0,,,,
265,39,2012,1224.0,,,,81.0,,,,
266,40,2013,,,26.1,,,816.0,49.0,,4.0
267,40,2016,1030.0,,29.9,,60.0,956.0,,,
268,40,2015,156.0,,25.7,2.0,11.0,814.0,,,
269,40,2018,743.0,0.0,,,55.0,,,1.0,
270,40,2017,251.0,0.31,,,13.0,,,1.0,
271,40,2014,579.0,,,1.0,41.0,,,,
272,40,2012,1078.0,,,,76.0,,,,
273,41,2013,,,36.6,,,574.0,81.0,,10.0
274,41,2016,767.0,,39.0,,77.0,612.0,,,
275,41,2015,155.0,,34.0,1.0,19.0,533.0,,,
276,41,2018,583.0,0.0,,,65.0,,,0.0,
277,41,2017,235.0,0.0,,,20.0,,,0.0,
278,41,2014,371.0,,,1.0,48.0,,,,
279,41,2012,696.0,,,,77.0,,,,
280,42,2013,,,20.1,,,500.0,288.0,,22.0
281,42,2016,1442.0,,22.8,,83.0,579.0,,,
282,42,2015,464.0,,16.6,4.0,29.0,418.0,,,
283,42,2018,1198.0,1.0,,,76.0,,,2.0,
284,42,2017,604.0,0.79,,,32.0,,,2.0,
285,42,2014,923.0,,,3.0,61.0,,,,
286,42,2012,1393.0,,,,85.0,,,,
287,43,2013,,,32.1,,,486.0,163.0,,26.0
288,43,2016,848.0,,33.5,,85.0,525.0,,,
289,43,2015,292.0,,32.4,1.0,33.0,507.0,,,
290,43,2018,736.0,1.0,,,76.0,,,1.0,
291,43,2017,434.0,0.64,,,39.0,,,1.0,
292,43,2014,556.0,,,0.0,65.0,,,,
293,43,2012,781.0,,,,83.0,,,,
294,44,2013,,,12.4,,,109.0,121.0,,28.0
295,44,2016,462.0,,13.0,,81.0,120.0,,,
296,44,2015,146.0,,14.1,1.0,28.0,127.0,,,
297,44,2018,370.0,1.0,,,68.0,,,1.0,
298,44,2017,174.0,1.07,,,27.0,,,1.0,
299,44,2014,259.0,,,1.0,56.0,,,,
300,44,2012,407.0,,,,82.0,,,,
301,45,2013,,,18.4,,,570.0,180.0,,17.0
302,45,2016,1836.0,,21.1,,78.0,727.0,,,
303,45,2015,219.0,,23.6,1.0,13.0,781.0,,,
304,45,2018,1849.0,1.0,,,61.0,,,5.0,
305,45,2017,570.0,1.33,,,17.0,,,5.0,
306,45,2014,792.0,,,0.0,51.0,,,,
307,45,2012,1320.0,,,,81.0,,,,
308,46,2013,,,22.4,,,554.0,43.0,,4.0
309,46,2016,968.0,,22.6,,66.0,560.0,,,
310,46,2015,143.0,,21.5,1.0,12.0,532.0,,,
311,46,2018,633.0,0.0,,,54.0,,,0.0,
312,46,2017,208.0,0.0,,,13.0,,,0.0,
313,46,2014,455.0,,,1.0,39.0,,,,
314,46,2012,910.0,,,,74.0,,,,
315,47,2013,,,3.2,,,37.0,127.0,,20.0
316,47,2016,497.0,,3.7,,77.0,43.0,,,
317,47,2015,120.0,,3.2,0.0,20.0,38.0,,,
318,47,2018,400.0,0.0,,,67.0,,,0.0,
319,47,2017,164.0,0.0,,,23.0,,,0.0,
320,47,2014,322.0,,,0.0,61.0,,,,
321,47,2012,512.0,,,,88.0,,,,
322,48,2013,,,3.0,,,54.0,22.0,,4.0
323,48,2016,653.0,,6.1,,69.0,111.0,,,
324,48,2015,42.0,,3.8,2.0,5.0,69.0,,,
325,48,2018,446.0,0.0,,,55.0,,,0.0,
326,48,2017,95.0,0.0,,,9.0,,,0.0,
327,48,2014,354.0,,,2.0,45.0,,,,
328,48,2012,667.0,,,,70.0,,,,
329,49,2013,,,15.7,,,404.0,64.0,,7.0
330,49,2016,1180.0,,15.6,,77.0,416.0,,,
331,49,2015,118.0,,16.1,0.0,9.0,422.0,,,
332,49,2018,836.0,0.0,,,59.0,,,1.0,
333,49,2017,261.0,0.37,,,15.0,,,1.0,
334,49,2014,621.0,,,0.0,52.0,,,,
335,49,2012,1058.0,,,,78.0,,,,
336,50,2013,,,18.6,,,560.0,36.0,,4.0
337,50,2016,635.0,,21.9,,65.0,673.0,,,
338,50,2015,114.0,,20.6,1.0,13.0,633.0,,,
339,50,2018,458.0,0.0,,,55.0,,,0.0,
340,50,2017,172.0,0.0,,,14.0,,,0.0,
341,50,2014,392.0,,,0.0,46.0,,,,
342,50,2012,728.0,,,,70.0,,,,
343,51,2013,,,36.2,,,495.0,216.0,,31.0
344,51,2016,994.0,,37.3,,73.0,544.0,,,
345,51,2015,200.0,,38.1,2.0,18.0,527.0,,,
346,51,2018,778.0,2.0,,,63.0,,,4.0,
347,51,2017,307.0,2.76,,,20.0,,,4.0,
348,51,2014,454.0,,,2.0,45.0,,,,
349,51,2012,838.0,,,,79.0,,,,
350,52,2013,,,17.6,,,415.0,25.0,,3.0
351,52,2016,383.0,,29.6,,60.0,431.0,,,
352,52,2015,30.0,,30.3,0.0,6.0,442.0,,,
353,52,2018,297.0,0.0,,,48.0,,,0.0,
354,52,2017,83.0,0.0,,,9.0,,,0.0,
355,52,2014,136.0,,,0.0,31.0,,,,
356,52,2012,476.0,,,,75.0,,,,
357,53,2013,,,35.0,,,1042.0,20.0,,2.0
358,53,2016,904.0,,29.4,,65.0,1032.0,,,
359,53,2015,198.0,,30.9,2.0,17.0,1078.0,,,
360,53,2018,630.0,0.0,,,49.0,,,0.0,
361,53,2017,226.0,0.0,,,13.0,,,0.0,
362,53,2014,522.0,,,3.0,47.0,,,,
363,53,2012,999.0,,,,70.0,,,,
364,54,2013,,,43.7,,,770.0,10.0,,2.0
365,54,2016,370.0,,43.8,,65.0,779.0,,,
366,54,2015,51.0,,39.2,1.0,11.0,695.0,,,
367,54,2018,231.0,0.0,,,48.0,,,0.0,
368,54,2017,75.0,0.0,,,10.0,,,0.0,
369,54,2014,153.0,,,1.0,35.0,,,,
370,54,2012,396.0,,,,65.0,,,,
371,55,2013,,,39.7,,,794.0,166.0,,21.0
372,55,2016,1170.0,,42.7,,84.0,866.0,,,
373,55,2015,377.0,,42.8,3.0,30.0,865.0,,,
374,55,2018,980.0,0.0,,,72.0,,,1.0,
375,55,2017,533.0,0.99,,,33.0,,,2.0,
376,55,2014,734.0,,,3.0,61.0,,,,
377,55,2012,1103.0,,,,83.0,,,,
378,56,2013,,,33.7,,,258.0,56.0,,16.0
379,56,2016,400.0,,40.1,,79.0,311.0,,,
380,56,2015,92.0,,35.0,1.0,21.0,271.0,,,
381,56,2018,300.0,0.0,,,65.0,,,0.0,
382,56,2017,124.0,0.0,,,21.0,,,0.0,
383,56,2014,223.0,,,1.0,53.0,,,,
384,56,2012,374.0,,,,81.0,,,,
385,57,2013,,,23.4,,,373.0,9.0,,1.0
386,57,2016,336.0,,16.4,,62.0,268.0,,,
387,57,2015,61.0,,17.9,1.0,13.0,288.0,,,
388,57,2018,253.0,0.0,,,49.0,,,0.0,
389,57,2017,84.0,0.0,,,12.0,,,0.0,
390,57,2014,180.0,,,1.0,41.0,,,,
391,57,2012,347.0,,,,73.0,,,,
392,58,2013,,,22.7,,,345.0,22.0,,5.0
393,58,2016,452.0,,20.8,,70.0,316.0,,,
394,58,2015,99.0,,20.6,1.0,18.0,310.0,,,
395,58,2018,251.0,0.0,,,60.0,,,0.0,
396,58,2017,120.0,0.0,,,23.0,,,0.0,
397,58,2014,239.0,,,1.0,46.0,,,,
398,58,2012,462.0,,,,75.0,,,,
399,59,2013,,,17.3,,,411.0,34.0,,3.0
400,59,2016,885.0,,18.1,,68.0,465.0,,,
401,59,2015,162.0,,17.0,2.0,16.0,427.0,,,
402,59,2018,587.0,0.0,,,50.0,,,0.0,
403,59,2017,200.0,0.0,,,13.0,,,0.0,
404,59,2014,483.0,,,2.0,49.0,,,,
405,59,2012,866.0,,,,77.0,,,,
406,60,2013,,,8.1,,,260.0,39.0,,4.0
407,60,2016,1106.0,,6.0,,53.0,262.0,,,
408,60,2015,19.0,,7.0,0.0,1.0,247.0,,,
409,60,2018,522.0,0.0,,,38.0,,,0.0,
410,60,2017,48.0,0.0,,,2.0,,,0.0,
411,60,2014,249.0,,,0.0,18.0,,,,
412,60,2012,700.0,,,,58.0,,,,
413,61,2013,,,28.8,,,345.0,33.0,,8.0
414,61,2016,402.0,,27.2,,57.0,327.0,,,
415,61,2015,74.0,,27.5,0.0,11.0,330.0,,,
416,61,2018,296.0,0.0,,,50.0,,,0.0,
417,61,2017,103.0,0.0,,,12.0,,,0.0,
418,61,2014,224.0,,,0.0,32.0,,,,
419,61,2012,436.0,,,,66.0,,,,
420,62,2013,,,0.0,,,1.0,,,
421,62,2016,1789.0,,0.1,,62.0,3.0,,,
422,62,2015,14.0,,0.1,1.0,1.0,4.0,,,
423,62,2018,645.0,0.0,,,32.0,,,1.0,
424,62,2017,29.0,0.36,,,1.0,,,1.0,
425,62,2014,271.0,,,1.0,14.0,,,,
426,62,2012,1030.0,,,,76.0,,,,
427,64,2013,,,15.0,,,649.0,107.0,,5.0
428,64,2016,1534.0,,14.0,,66.0,632.0,,,
429,64,2015,124.0,,14.3,0.0,7.0,640.0,,,
430,64,2018,966.0,0.0,,,50.0,,,1.0,
431,64,2017,252.0,0.0,,,9.0,,,0.0,
432,64,2014,542.0,,,0.0,34.0,,,,
433,64,2012,1234.0,,,,68.0,,,,
434,65,2013,,,1.6,,,29.0,55.0,,6.0
435,65,2016,485.0,,5.3,,62.0,90.0,,,
436,65,2015,26.0,,3.3,0.0,4.0,72.0,,,
437,65,2018,312.0,1.0,,,48.0,,,2.0,
438,65,2017,76.0,0.9,,,8.0,,,2.0,
439,65,2014,184.0,,,0.0,31.0,,,,
440,65,2012,486.0,,,,72.0,,,,
441,66,2013,,,5.6,,,144.0,98.0,,8.0
442,66,2016,660.0,,5.7,,62.0,156.0,,,
443,66,2015,77.0,,4.4,2.0,9.0,121.0,,,
444,66,2018,474.0,0.0,,,52.0,,,1.0,
445,66,2017,150.0,0.37,,,12.0,,,1.0,
446,66,2014,287.0,,,2.0,37.0,,,,
447,66,2012,642.0,,,,73.0,,,,
448,67,2013,,,5.5,,,31.0,5.0,,2.0
449,67,2016,309.0,,2.7,,73.0,32.0,,,
450,67,2015,15.0,,1.8,0.0,5.0,21.0,,,
451,67,2018,207.0,0.0,,,57.0,,,0.0,
452,67,2017,38.0,0.0,,,8.0,,,0.0,
453,67,2014,102.0,,,0.0,39.0,,,,
454,67,2012,177.0,,,,80.0,,,,
455,68,2013,,,25.8,,,639.0,106.0,,9.0
456,68,2016,1128.0,,23.0,,70.0,569.0,,,
457,68,2015,170.0,,24.2,0.0,13.0,600.0,,,
458,68,2018,831.0,0.0,,,58.0,,,0.0,
459,68,2017,304.0,0.0,,,15.0,,,0.0,
460,68,2014,546.0,,,0.0,46.0,,,,
461,68,2012,1030.0,,,,69.0,,,,
462,69,2013,,,18.9,,,275.0,237.0,,32.0
463,69,2016,710.0,,19.8,,85.0,253.0,,,
464,69,2015,324.0,,19.3,1.0,42.0,216.0,,,
465,69,2018,690.0,0.0,,,73.0,,,0.0,
466,69,2017,377.0,0.0,,,38.0,,,0.0,
467,69,2014,468.0,,,1.0,67.0,,,,
468,69,2012,656.0,,,,86.0,,,,
469,70,2013,,,68.6,,,863.0,15.0,,3.0
470,70,2016,779.0,,72.8,,71.0,937.0,,,
471,70,2015,252.0,,63.3,3.0,25.0,808.0,,,
472,70,2018,592.0,2.0,,,51.0,,,3.0,
473,70,2017,301.0,1.55,,,21.0,,,2.0,
474,70,2014,555.0,,,3.0,56.0,,,,
475,70,2012,912.0,,,,77.0,,,,
476,71,2013,,,11.9,,,489.0,29.0,,2.0
477,71,2016,672.0,,14.7,,62.0,615.0,,,
478,71,2015,74.0,,14.0,0.0,8.0,583.0,,,
479,71,2018,398.0,0.0,,,48.0,,,0.0,
480,71,2017,146.0,0.0,,,11.0,,,0.0,
481,71,2014,325.0,,,0.0,39.0,,,,
482,71,2012,743.0,,,,75.0,,,,
483,72,2013,,,13.6,,,177.0,62.0,,11.0
484,72,2016,1048.0,,6.7,,76.0,178.0,,,
485,72,2015,115.0,,8.5,2.0,11.0,235.0,,,
486,72,2018,853.0,0.0,,,57.0,,,0.0,
487,72,2017,250.0,0.0,,,14.0,,,0.0,
488,72,2014,490.0,,,1.0,50.0,,,,
489,72,2012,806.0,,,,78.0,,,,
490,73,2013,,,23.6,,,655.0,65.0,,6.0
491,73,2016,1374.0,,22.6,,70.0,665.0,,,
492,73,2015,186.0,,21.8,4.0,11.0,621.0,,,
493,73,2018,1065.0,0.0,,,61.0,,,1.0,
494,73,2017,309.0,0.68,,,15.0,,,2.0,
495,73,2014,749.0,,,5.0,46.0,,,,
496,73,2012,1233.0,,,,75.0,,,,
497,74,2013,,,36.2,,,404.0,101.0,,14.0
498,74,2016,658.0,,38.3,,81.0,436.0,,,
499,74,2015,130.0,,41.4,1.0,19.0,472.0,,,
500,74,2018,534.0,1.0,,,69.0,,,1.0,
501,74,2017,215.0,2.64,,,23.0,,,3.0,
502,74,2014,356.0,,,1.0,55.0,,,,
503,74,2012,616.0,,,,82.0,,,,
504,75,2013,,,7.1,,,126.0,180.0,,26.0
505,75,2016,924.0,,8.9,,79.0,184.0,,,
506,75,2015,157.0,,6.3,0.0,16.0,129.0,,,
507,75,2018,755.0,0.0,,,63.0,,,1.0,
508,75,2017,268.0,0.49,,,19.0,,,1.0,
509,75,2014,517.0,,,0.0,54.0,,,,
510,75,2012,874.0,,,,84.0,,,,
511,76,2013,,,15.0,,,370.0,130.0,,15.0
512,76,2016,1630.0,,10.3,,79.0,345.0,,,
513,76,2015,163.0,,11.3,2.0,10.0,361.0,,,
514,76,2018,1197.0,0.0,,,62.0,,,0.0,
515,76,2017,366.0,0.0,,,15.0,,,0.0,
516,76,2014,784.0,,,1.0,53.0,,,,
517,76,2012,1116.0,,,,77.0,,,,
518,77,2013,,,12.0,,,665.0,167.0,,8.0
519,77,2016,2103.0,,11.8,,70.0,707.0,,,
520,77,2015,157.0,,10.8,2.0,7.0,645.0,,,
521,77,2018,1526.0,1.0,,,56.0,,,3.0,
522,77,2017,410.0,0.5,,,11.0,,,3.0,
523,77,2014,895.0,,,2.0,44.0,,,,
524,77,2012,1754.0,,,,76.0,,,,
525,78,2013,,,24.8,,,485.0,91.0,,10.0
526,78,2016,946.0,,22.6,,75.0,468.0,,,
527,78,2015,147.0,,19.8,0.0,14.0,406.0,,,
528,78,2018,749.0,0.0,,,61.0,,,0.0,
529,78,2017,274.0,0.0,,,18.0,,,0.0,
530,78,2014,478.0,,,0.0,51.0,,,,
531,78,2012,830.0,,,,77.0,,,,
532,79,2013,,,5.7,,,131.0,1.0,,0.0
533,79,2016,122.0,,8.8,,47.0,154.0,,,
534,79,2015,9.0,,7.3,0.0,4.0,126.0,,,
535,79,2018,61.0,0.0,,,34.0,,,0.0,
536,79,2017,10.0,0.0,,,3.0,,,0.0,
537,79,2014,46.0,,,0.0,23.0,,,,
538,79,2012,174.0,,,,59.0,,,,
539,80,2013,,,4.3,,,95.0,59.0,,5.0
540,80,2016,685.0,,5.0,,65.0,109.0,,,
541,80,2015,58.0,,4.0,2.0,7.0,87.0,,,
542,80,2018,453.0,0.0,,,50.0,,,1.0,
543,80,2017,110.0,0.9,,,9.0,,,2.0,
544,80,2014,272.0,,,2.0,36.0,,,,
545,80,2012,694.0,,,,79.0,,,,
546,81,2013,,,21.5,,,253.0,70.0,,15.0
547,81,2016,619.0,,20.8,,78.0,244.0,,,
548,81,2015,116.0,,20.0,3.0,17.0,235.0,,,
549,81,2018,510.0,0.0,,,71.0,,,0.0,
550,81,2017,226.0,0.0,,,25.0,,,0.0,
551,81,2014,349.0,,,3.0,56.0,,,,
552,81,2012,552.0,,,,82.0,,,,
553,82,2013,,,10.7,,,271.0,83.0,,9.0
554,82,2016,1093.0,,12.3,,72.0,389.0,,,
555,82,2015,148.0,,16.3,1.0,12.0,411.0,,,
556,82,2018,855.0,1.0,,,61.0,,,2.0,
557,82,2017,306.0,0.62,,,17.0,,,2.0,
558,82,2014,493.0,,,1.0,48.0,,,,
559,82,2012,858.0,,,,76.0,,,,
560,83,2013,,,2.9,,,25.0,26.0,,9.0
561,83,2016,431.0,,4.8,,73.0,41.0,,,
562,83,2015,31.0,,4.7,2.0,6.0,40.0,,,
563,83,2018,101.0,0.0,,,41.0,,,0.0,
564,83,2017,23.0,0.0,,,6.0,,,0.0,
565,83,2014,231.0,,,2.0,50.0,,,,
566,83,2012,405.0,,,,72.0,,,,
567,84,2013,,,1.2,,,9.0,10.0,,4.0
568,84,2016,194.0,,3.0,,72.0,19.0,,,
569,84,2015,14.0,,7.3,0.0,6.0,51.0,,,
570,84,2018,79.0,0.0,,,64.0,,,0.0,
571,84,2017,12.0,0.0,,,7.0,,,0.0,
572,84,2014,106.0,,,0.0,47.0,,,,
573,84,2012,236.0,,,,70.0,,,,
574,85,2013,,,62.7,,,1231.0,6.0,,1.0
575,85,2016,769.0,,55.9,,64.0,1113.0,,,
576,85,2015,132.0,,62.9,2.0,12.0,1245.0,,,
577,85,2018,451.0,1.0,,,35.0,,,1.0,
578,85,2017,193.0,0.5,,,12.0,,,1.0,
579,85,2014,418.0,,,2.0,39.0,,,,
580,85,2012,891.0,,,,74.0,,,,
581,86,2013,,,12.9,,,373.0,21.0,,2.0
582,86,2016,570.0,,14.0,,58.0,441.0,,,
583,86,2015,48.0,,12.4,1.0,7.0,387.0,,,
584,86,2018,405.0,0.0,,,51.0,,,1.0,
585,86,2017,95.0,0.32,,,8.0,,,1.0,
586,86,2014,223.0,,,1.0,34.0,,,,
587,86,2012,467.0,,,,73.0,,,,
588,87,2013,,,23.6,,,393.0,80.0,,12.0
589,87,2016,532.0,,26.3,,73.0,436.0,,,
590,87,2015,141.0,,22.4,1.0,24.0,371.0,,,
591,87,2018,412.0,2.0,,,63.0,,,4.0,
592,87,2017,175.0,1.8,,,20.0,,,3.0,
593,87,2014,315.0,,,1.0,54.0,,,,
594,87,2012,500.0,,,,72.0,,,,
595,88,2013,,,66.4,,,849.0,3.0,,1.0
596,88,2016,507.0,,80.1,,66.0,972.0,,,
597,88,2015,75.0,,66.8,2.0,11.0,810.0,,,
598,88,2018,333.0,0.0,,,52.0,,,0.0,
599,88,2017,105.0,0.0,,,11.0,,,0.0,
600,88,2014,282.0,,,2.0,44.0,,,,
601,88,2012,549.0,,,,72.0,,,,
602,89,2013,,,43.2,,,649.0,34.0,,6.0
603,89,2016,606.0,,43.3,,74.0,662.0,,,
604,89,2015,123.0,,39.5,1.0,17.0,605.0,,,
605,89,2018,428.0,1.0,,,59.0,,,1.0,
606,89,2017,172.0,0.65,,,18.0,,,1.0,
607,89,2014,370.0,,,1.0,52.0,,,,
608,89,2012,625.0,,,,74.0,,,,
609,90,2013,,,24.5,,,483.0,36.0,,4.0
610,90,2016,554.0,,22.8,,68.0,456.0,,,
611,90,2015,134.0,,26.8,1.0,21.0,536.0,,,
612,90,2018,445.0,0.0,,,61.0,,,0.0,
613,90,2017,217.0,0.5,,,21.0,,,1.0,
614,90,2014,285.0,,,2.0,48.0,,,,
615,90,2012,507.0,,,,69.0,,,,
