,NPA,year,commercial_size,fincancial_services_proximity,financial_services_proximate_units,job_density,commercial_construction,household_income,employment_rate,employment_rate_moe,household_income_moe,commercial_building_age,commercial_construction_permitted_units,jobs,commercial_size_total,public_nutrition_assistance
932,120,2013,9727.0,,,0.6,0.52,,,,,36.0,2,233.0,175090.0,55.59
933,120,2011,9727.0,,,0.6,0.26,,,,,34.0,1,226.0,175090.0,52.93
934,120,2014,,0.0,0.0,0.7,0.52,,,,,,2,253.0,,
935,120,2012,,,,0.4,0.52,,,,,,2,161.0,,
936,121,2017,20999.0,64.0,525.0,,0.65,36365.0,88.0,10.0,9607.0,31.0,3,,482977.0,30.0
937,121,2018,22201.0,69.0,572.0,,0.43,,,,,32.0,2,,510618.0,29.0
938,121,2016,20999.0,63.0,518.0,,0.86,,,,,30.0,4,,482974.0,37.0
939,121,2015,21089.0,63.0,518.0,0.9,0.22,,,,,30.0,1,415.0,485054.0,35.34
940,121,2013,18650.0,,,0.8,3.46,,,,,30.0,16,347.0,428959.0,31.84
941,121,2011,18650.0,,,1.9,0.0,,,,,28.0,0,889.0,428959.0,32.38
942,121,2014,,63.0,518.0,1.0,0.65,,,,,,3,443.0,,
943,121,2012,,,,0.8,0.65,,,,,,3,366.0,,
944,122,2017,199848.0,,,,1.28,,,,,27.0,49,,5196048.0,
945,122,2018,198472.0,,,,1.42,,,,,27.0,54,,5160273.0,
946,122,2016,201178.0,,,,1.07,,,,,26.0,41,,5230639.0,
947,122,2015,176200.0,,,3.3,1.26,,,,,26.0,48,12414.0,5286006.0,
948,122,2013,176200.0,,,3.0,0.76,,,,,24.0,29,11512.0,5286006.0,
949,122,2011,154700.0,,,1.0,0.79,,,,,23.0,30,3958.0,5259785.0,
950,122,2014,,,,3.2,0.81,,,,,,31,12171.0,,
951,122,2012,,,,2.5,0.95,,,,,,36,9700.0,,
952,123,2017,21455.0,1.0,8.0,,0.82,32051.0,74.0,33.0,8950.0,27.0,10,,643650.0,36.0
953,123,2018,21532.0,1.0,8.0,,0.66,,,,,29.0,8,,645946.0,32.0
954,123,2016,22504.0,1.0,8.0,,0.41,,,,,26.0,5,,675108.0,40.13
955,123,2015,22504.0,1.0,8.0,0.7,0.25,,,,,25.0,3,803.0,675108.0,38.23
956,123,2013,22321.0,,,0.6,0.16,,,,,26.0,2,670.0,647297.0,33.37
957,123,2011,22924.0,,,0.4,0.91,,,,,24.0,11,500.0,641870.0,34.26
958,123,2014,,1.0,8.0,0.6,0.16,,,,,,2,766.0,,
959,123,2012,,,,0.5,0.41,,,,,,5,575.0,,
960,124,2017,18779.0,96.0,850.0,,3.67,27823.0,83.0,6.0,,41.0,26,,1539878.0,36.0
961,124,2018,18821.0,92.0,810.0,,0.99,,,,,40.0,7,,1562143.0,32.0
962,124,2016,18781.0,96.0,851.0,,1.55,,,,,40.0,11,,1558795.0,47.44
963,124,2015,19037.0,96.0,852.0,3.6,1.84,,,,,39.0,13,2575.0,1580089.0,44.25
964,124,2013,19069.0,,,3.3,2.83,,,,,38.0,20,2359.0,1601821.0,36.42
965,124,2011,21521.0,,,3.1,18.23,,,,,37.0,129,2166.0,1764756.0,40.46
966,124,2014,,96.0,852.0,4.0,1.55,,,,,,11,2836.0,,
967,124,2012,,,,3.4,3.96,,,,,,28,2384.0,,
968,125,2017,61751.0,24.0,289.0,,0.88,41897.0,98.0,4.0,11340.0,35.0,9,,2531791.0,27.0
969,125,2018,61753.0,24.0,299.0,,0.98,,,,,36.0,10,,2531867.0,24.0
970,125,2016,61792.0,16.0,169.0,,1.37,,,,,34.0,14,,2533463.0,38.46
971,125,2015,61639.0,16.0,169.0,1.7,1.18,,,,,33.0,12,1717.0,2527192.0,36.78
972,125,2013,61356.0,,,1.6,0.88,,,,,31.0,9,1619.0,2515611.0,30.41
973,125,2011,62172.0,,,1.2,1.18,,,,,29.0,12,1262.0,2549071.0,27.43
974,125,2014,,16.0,169.0,1.6,1.37,,,,,,14,1656.0,,
975,125,2012,,,,1.6,1.47,,,,,,15,1634.0,,
976,126,2017,4960.0,0.0,0.0,,9.96,33162.0,98.0,7.0,16451.0,45.0,14,,19840.0,49.0
977,126,2018,5458.0,0.0,0.0,,0.0,,,,,50.0,0,,16373.0,41.0
978,126,2016,4960.0,0.0,0.0,,0.71,,,,,44.0,1,,19839.0,38.02
979,126,2015,4959.0,0.0,0.0,0.2,2.85,,,,,43.0,4,23.0,19836.0,42.9
980,126,2013,4959.0,,,0.0,0.0,,,,,41.0,0,5.0,19836.0,57.62
981,126,2011,4146.0,,,0.0,0.0,,,,,39.0,0,5.0,16584.0,
982,126,2014,,0.0,0.0,0.0,0.0,,,,,,0,3.0,,
983,126,2012,,,,0.0,0.71,,,,,,1,6.0,,
984,127,2017,9152.0,78.0,771.0,,0.45,32141.0,89.0,20.0,1748.0,31.0,2,,155584.0,26.0
985,127,2018,6443.0,80.0,899.0,,0.22,,,,,32.0,1,,103086.0,16.0
986,127,2016,6184.0,78.0,771.0,,0.45,,,,,35.0,2,,98947.0,31.79
987,127,2015,9057.0,78.0,771.0,1.1,0.89,,,,,33.0,4,476.0,153962.0,31.2
988,127,2013,74622.0,,,1.2,0.67,,,,,31.0,3,523.0,1343204.0,32.5
989,127,2011,55967.0,,,1.1,0.0,,,,,30.0,0,495.0,1343204.0,28.17
990,127,2014,,78.0,771.0,1.2,0.67,,,,,,3,539.0,,
991,127,2012,,,,1.1,0.67,,,,,,3,480.0,,
992,128,2017,4129.0,26.0,268.0,,1.12,33413.0,91.0,6.0,5642.0,49.0,3,,70193.0,35.0
993,128,2018,4048.0,24.0,240.0,,1.49,,,,,51.0,4,,68808.0,26.0
994,128,2016,4005.0,25.0,256.0,,0.37,,,,,48.0,1,,72084.0,43.54
995,128,2015,4005.0,25.0,256.0,0.2,0.0,,,,,47.0,0,61.0,72084.0,41.77
996,128,2013,3794.0,,,0.2,0.37,,,,,45.0,1,66.0,72084.0,35.04
997,128,2011,3794.0,,,0.3,1.12,,,,,43.0,3,68.0,72084.0,39.19
998,128,2014,,25.0,256.0,0.3,0.0,,,,,,0,74.0,,
999,128,2012,,,,0.2,0.37,,,,,,1,59.0,,
1000,129,2017,,12.0,100.0,,1.24,96667.0,96.0,5.0,15256.0,,6,,,2.0
1001,129,2018,,12.0,101.0,,1.24,,,,,,6,,,1.0
1002,129,2016,,12.0,100.0,,0.21,,,,,,1,,,1.44
1003,129,2015,,12.0,100.0,0.2,0.0,,,,,,0,110.0,,1.39
1004,129,2013,,,,0.2,0.0,,,,,,0,73.0,,1.51
1005,129,2011,,,,0.1,0.0,,,,,,0,34.0,,1.24
1006,129,2014,,12.0,100.0,0.2,0.0,,,,,,0,79.0,,
1007,129,2012,,,,0.1,0.0,,,,,,0,53.0,,
1008,130,2017,8757.0,0.0,0.0,,0.03,115500.0,98.0,3.0,26939.0,32.0,1,,52542.0,1.0
1009,130,2018,8757.0,0.0,0.0,,0.03,,,,,33.0,1,,52541.0,1.0
1010,130,2016,8757.0,0.0,0.0,,0.06,,,,,31.0,2,,52541.0,1.16
1011,130,2015,8757.0,0.0,0.0,0.1,0.08,,,,,30.0,3,250.0,52541.0,1.16
1012,130,2013,8757.0,,,0.1,0.14,,,,,28.0,5,296.0,52541.0,1.29
1013,130,2011,8757.0,,,0.1,0.14,,,,,26.0,5,212.0,52541.0,2.41
1014,130,2014,,0.0,0.0,0.1,0.17,,,,,,6,288.0,,
1015,130,2012,,,,0.1,0.14,,,,,,5,275.0,,
1016,131,2017,,1.0,11.0,,0.0,57741.0,97.0,19.0,11434.0,,0,,,9.0
1017,131,2018,,1.0,11.0,,0.0,,,,,,0,,,10.0
1018,131,2016,,1.0,11.0,,0.37,,,,,,1,,,12.47
1019,131,2015,,1.0,11.0,0.2,0.74,,,,,,2,64.0,,12.11
1020,131,2013,,,,0.2,0.0,,,,,,0,55.0,,9.7
1021,131,2011,,,,0.2,0.0,,,,,,0,56.0,,11.35
1022,131,2014,,1.0,11.0,0.2,0.0,,,,,,0,44.0,,
1023,131,2012,,,,0.2,0.0,,,,,,0,53.0,,
1024,132,2017,8970.0,89.0,248.0,,2.12,,100.0,0.0,,57.0,4,,125580.0,7.0
1025,132,2018,8970.0,86.0,236.0,,1.59,,,,,58.0,3,,125585.0,8.0
1026,132,2016,8970.0,89.0,250.0,,2.65,,,,,56.0,5,,125585.0,9.11
1027,132,2015,8967.0,89.0,250.0,1.2,2.12,,,,,55.0,4,229.0,125537.0,9.08
1028,132,2013,8440.0,,,1.3,0.53,,,,,54.0,1,252.0,126598.0,9.12
1029,132,2011,8440.0,,,1.0,1.59,,,,,52.0,3,185.0,126598.0,13.97
1030,132,2014,,89.0,248.0,1.2,2.12,,,,,,4,218.0,,
1031,132,2012,,,,1.3,1.59,,,,,,3,246.0,,
1032,133,2017,,93.0,584.0,,5.04,79196.0,93.0,33.0,12319.0,,8,,,0.0
1033,133,2018,,89.0,488.0,,0.0,,,,,,0,,,1.0
1034,133,2016,,93.0,585.0,,3.15,,,,,,5,,,1.2
1035,133,2015,,93.0,584.0,0.8,2.52,,,,,,4,134.0,,1.2
1036,133,2013,,,,0.8,1.26,,,,,,2,120.0,,1.68
1037,133,2011,,,,0.4,0.0,,,,,,0,56.0,,2.75
1038,133,2014,,93.0,583.0,0.8,0.63,,,,,,1,127.0,,
1039,133,2012,,,,0.8,0.63,,,,,,1,128.0,,
1040,134,2017,6537.0,0.0,0.0,,0.87,31610.0,85.0,9.0,8570.0,28.0,1,,26148.0,20.0
1041,134,2018,6537.0,0.0,0.0,,0.87,,,,,29.0,1,,26146.0,16.0
1042,134,2016,6537.0,0.0,0.0,,0.0,,,,,27.0,0,,26146.0,20.31
1043,134,2015,6537.0,0.0,0.0,0.3,0.0,,,,,26.0,0,34.0,26146.0,19.8
1044,134,2013,6537.0,,,0.3,0.0,,,,,24.0,0,29.0,26146.0,14.86
1045,134,2011,6537.0,,,0.4,0.0,,,,,22.0,0,43.0,26146.0,29.6
1046,134,2014,,0.0,0.0,0.2,0.87,,,,,,1,24.0,,
1047,134,2012,,,,0.3,12.11,,,,,,14,34.0,,
1048,135,2017,30302.0,100.0,555.0,,5.66,26813.0,100.0,0.0,14004.0,38.0,8,,515134.0,37.0
1049,135,2018,31990.0,100.0,555.0,,0.0,,,,,39.0,0,,511832.0,33.0
1050,135,2016,30302.0,100.0,555.0,,1.42,,,,,37.0,2,,515132.0,38.72
1051,135,2015,30255.0,100.0,555.0,7.7,1.42,,,,,36.0,2,1093.0,514334.0,36.3
1052,135,2013,30328.0,,,7.9,3.54,,,,,34.0,5,1111.0,515569.0,40.08
1053,135,2011,30328.0,,,6.8,1.42,,,,,32.0,2,957.0,515569.0,40.71
1054,135,2014,,100.0,555.0,8.8,4.96,,,,,,7,1243.0,,
1055,135,2012,,,,8.0,7.79,,,,,,11,1122.0,,
1056,136,2017,4853.0,1.0,7.0,,0.15,92531.0,93.0,7.0,18227.0,34.0,1,,33971.0,6.0
1057,136,2018,4853.0,1.0,8.0,,0.15,,,,,35.0,1,,33974.0,6.0
1058,136,2016,3968.0,1.0,7.0,,0.15,,,,,38.0,1,,23806.0,5.62
1059,136,2015,3968.0,1.0,7.0,0.1,0.15,,,,,37.0,1,64.0,23806.0,5.68
1060,136,2013,3968.0,,,0.0,0.15,,,,,35.0,1,21.0,23806.0,5.51
1061,136,2011,4593.0,,,0.1,0.0,,,,,38.0,0,55.0,22964.0,6.98
1062,136,2014,,1.0,6.0,0.0,0.0,,,,,,0,27.0,,
1063,136,2012,,,,0.0,0.0,,,,,,0,22.0,,
1064,137,2017,12109.0,3.0,14.0,,1.71,56810.0,89.0,11.0,21800.0,38.0,12,,726540.0,38.0
1065,137,2018,12293.0,2.0,13.0,,0.86,,,,,39.0,6,,737588.0,33.0
1066,137,2016,11810.0,3.0,14.0,,2.14,,,,,39.0,15,,708588.0,41.43
1067,137,2015,11805.0,3.0,15.0,1.8,0.55,,,,,39.0,4,1321.0,720110.0,40.37
1068,137,2013,12029.0,,,1.6,0.55,,,,,37.0,4,1183.0,709731.0,34.93
1069,137,2011,12155.0,,,1.4,0.41,,,,,35.0,3,1036.0,704975.0,32.08
1070,137,2014,,3.0,17.0,1.5,0.27,,,,,,2,1070.0,,
1071,137,2012,,,,1.5,0.14,,,,,,1,1075.0,,
1072,138,2017,17705.0,0.0,0.0,,1.77,25552.0,84.0,10.0,8977.0,38.0,9,,1203940.0,41.0
1073,138,2018,17449.0,0.0,0.0,,0.39,,,,,38.0,2,,1203954.0,39.0
1074,138,2016,17854.0,0.0,0.0,,0.2,,,,,37.0,1,,1231914.0,43.98
1075,138,2015,17673.0,0.0,0.0,6.8,0.59,,,,,36.0,3,3436.0,1219409.0,42.47
1076,138,2013,17478.0,,,7.5,0.2,,,,,35.0,1,3836.0,1223446.0,32.64
1077,138,2011,17582.0,,,6.1,1.97,,,,,33.0,10,3099.0,1230768.0,33.52
1078,138,2014,,0.0,0.0,6.0,0.79,,,,,,4,3070.0,,
1079,138,2012,,,,7.5,0.98,,,,,,5,3809.0,,
1080,139,2017,7310.0,15.0,101.0,,0.0,33075.0,88.0,59.0,7290.0,37.0,0,,204680.0,23.0
1081,139,2018,7222.0,17.0,111.0,,0.16,,,,,38.0,1,,202225.0,21.0
1082,139,2016,7377.0,15.0,101.0,,0.31,,,,,36.0,2,,206564.0,32.2
1083,139,2015,7348.0,15.0,101.0,0.6,0.47,,,,,35.0,3,364.0,205752.0,30.01
1084,139,2013,7527.0,,,0.5,0.63,,,,,35.0,4,327.0,203218.0,26.96
1085,139,2011,7473.0,,,0.4,0.47,,,,,33.0,3,237.0,209234.0,28.14
1086,139,2014,,15.0,101.0,0.7,0.16,,,,,,1,416.0,,
1087,139,2012,,,,0.4,0.47,,,,,,3,268.0,,
1088,140,2017,20034.0,3.0,29.0,,0.29,49391.0,91.0,13.0,6015.0,35.0,3,,520884.0,22.0
1089,140,2018,21061.0,2.0,22.0,,0.19,,,,,35.0,2,,589709.0,18.0
1090,140,2016,20060.0,3.0,29.0,,0.38,,,,,34.0,4,,521560.0,28.26
1091,140,2015,20054.0,3.0,29.0,0.6,0.67,,,,,32.0,7,660.0,521396.0,27.1
1092,140,2013,18007.0,,,0.7,0.19,,,,,32.0,2,689.0,450182.0,20.57
1093,140,2011,18673.0,,,0.3,0.1,,,,,31.0,1,273.0,448142.0,21.12
1094,140,2014,,3.0,30.0,0.6,0.29,,,,,,3,656.0,,
1095,140,2012,,,,0.7,0.67,,,,,,7,681.0,,
1096,141,2017,25933.0,1.0,4.0,,2.21,19367.0,84.0,14.0,10186.0,47.0,15,,2697032.0,40.0
1097,141,2018,25723.0,1.0,3.0,,0.74,,,,,49.0,5,,2700896.0,35.0
1098,141,2016,25731.0,1.0,4.0,,1.03,,,,,46.0,7,,2701756.0,53.35
1099,141,2015,25607.0,1.0,4.0,3.7,1.03,,,,,45.0,7,2549.0,2688701.0,51.02
1100,141,2013,25829.0,,,3.6,3.96,,,,,43.0,27,2419.0,2712068.0,40.2
1101,141,2011,25106.0,,,2.9,0.15,,,,,41.0,1,1991.0,2686361.0,47.79
1102,141,2014,,1.0,4.0,3.7,1.03,,,,,,7,2547.0,,
1103,141,2012,,,,3.5,1.03,,,,,,7,2399.0,,
1104,142,2017,61233.0,0.0,0.0,,1.58,49495.0,90.0,6.0,14904.0,27.0,7,,1469592.0,20.0
1105,142,2018,58987.0,0.0,0.0,,2.04,,,,,28.0,9,,1474669.0,18.0
1106,142,2016,64667.0,0.0,0.0,,2.26,,,,,26.0,10,,1552016.0,25.3
1107,142,2015,57552.0,0.0,0.0,3.6,1.81,,,,,25.0,8,1609.0,1496345.0,24.71
1108,142,2013,57762.0,,,3.5,3.17,,,,,23.0,14,1564.0,1501811.0,22.03
1109,142,2011,57619.0,,,3.4,2.26,,,,,21.0,10,1495.0,1498101.0,26.84
1110,142,2014,,0.0,0.0,3.5,2.26,,,,,,10,1559.0,,
1111,142,2012,,,,3.3,3.17,,,,,,14,1467.0,,
1112,143,2017,634.0,8.0,52.0,,1.37,76339.0,85.0,4.0,29824.0,18.0,4,,2536.0,1.0
1113,143,2018,634.0,8.0,52.0,,0.34,,,,,19.0,1,,2536.0,1.0
1114,143,2016,636.0,8.0,52.0,,0.34,,,,,17.0,1,,2544.0,1.18
1115,143,2015,636.0,8.0,52.0,0.2,0.0,,,,,16.0,0,54.0,2544.0,1.17
1116,143,2013,636.0,,,0.1,0.34,,,,,14.0,1,28.0,2544.0,0.89
1117,143,2011,636.0,,,0.2,0.0,,,,,12.0,0,50.0,2544.0,0.68
1118,143,2014,,8.0,52.0,0.1,0.0,,,,,,0,39.0,,
1119,143,2012,,,,0.2,0.68,,,,,,2,44.0,,
1120,144,2017,6116.0,0.0,0.0,,4.89,32650.0,95.0,5.0,6764.0,40.0,12,,61160.0,28.0
1121,144,2018,6116.0,0.0,0.0,,0.0,,,,,41.0,0,,61159.0,29.0
1122,144,2016,6307.0,0.0,0.0,,4.89,,,,,39.0,12,,56759.0,33.62
1123,144,2015,6115.0,0.0,0.0,0.2,0.0,,,,,38.0,0,56.0,61145.0,33.32
1124,144,2013,6115.0,,,0.2,0.0,,,,,36.0,0,54.0,61145.0,33.7
1125,144,2011,6115.0,,,0.2,8.55,,,,,34.0,21,52.0,61145.0,33.19
1126,144,2014,,0.0,0.0,0.1,1.63,,,,,,4,35.0,,
1127,144,2012,,,,0.2,0.41,,,,,,1,61.0,,
1128,145,2017,10830.0,4.0,29.0,,0.19,47031.0,95.0,29.0,10469.0,22.0,1,,75810.0,27.0
1129,145,2018,10830.0,4.0,28.0,,1.15,,,,,23.0,6,,75810.0,24.0
1130,145,2016,10830.0,4.0,29.0,,1.15,,,,,21.0,6,,75810.0,33.55
1131,145,2015,10830.0,4.0,29.0,0.9,0.0,,,,,20.0,0,455.0,75810.0,31.68
1132,145,2013,10722.0,,,0.8,1.15,,,,,18.0,6,415.0,75055.0,29.94
1133,145,2011,10722.0,,,0.3,0.19,,,,,16.0,1,135.0,75055.0,28.21
1134,145,2014,,4.0,29.0,0.8,1.15,,,,,,6,422.0,,
1135,145,2012,,,,0.8,0.77,,,,,,4,420.0,,
1136,146,2017,29180.0,55.0,380.0,,0.0,63558.0,91.0,30.0,14283.0,13.0,0,,320980.0,17.0
1137,146,2018,29180.0,54.0,372.0,,1.15,,,,,14.0,5,,320982.0,15.0
1138,146,2016,29207.0,55.0,364.0,,1.38,,,,,12.0,6,,321279.0,22.34
1139,146,2015,30256.0,54.0,360.0,1.5,0.23,,,,,11.0,1,655.0,332813.0,21.74
1140,146,2013,30256.0,,,1.2,0.69,,,,,9.0,3,509.0,332813.0,16.96
1141,146,2011,32444.0,,,0.8,0.23,,,,,8.0,1,333.0,324443.0,15.17
1142,146,2014,,55.0,364.0,1.5,0.0,,,,,,0,658.0,,
1143,146,2012,,,,1.2,1.15,,,,,,5,526.0,,
1144,147,2017,19135.0,0.0,1.0,,0.44,37198.0,96.0,25.0,8794.0,32.0,2,,191350.0,26.0
1145,147,2018,17602.0,0.0,4.0,,0.44,,,,,33.0,2,,193619.0,22.0
1146,147,2016,18675.0,0.0,0.0,,0.66,,,,,31.0,3,,205430.0,27.6
1147,147,2015,18519.0,0.0,0.0,0.4,0.44,,,,,30.0,2,188.0,203711.0,27.01
1148,147,2013,18519.0,,,0.4,0.88,,,,,28.0,4,166.0,203711.0,22.34
1149,147,2011,18566.0,,,0.3,3.73,,,,,26.0,17,137.0,204228.0,19.66
1150,147,2014,,0.0,0.0,0.4,0.22,,,,,,1,169.0,,
1151,147,2012,,,,0.3,0.22,,,,,,1,125.0,,
1152,148,2017,6112.0,53.0,495.0,,0.17,126250.0,96.0,17.0,21100.0,27.0,1,,24448.0,1.0
1153,148,2018,6112.0,50.0,485.0,,0.5,,,,,28.0,3,,24449.0,1.0
1154,148,2016,6112.0,53.0,494.0,,0.67,,,,,26.0,4,,24449.0,2.27
1155,148,2015,6112.0,52.0,494.0,0.3,0.17,,,,,25.0,1,198.0,24449.0,2.27
1156,148,2013,4964.0,,,0.3,0.0,,,,,27.0,0,179.0,19857.0,1.46
1157,148,2011,4964.0,,,0.2,0.0,,,,,25.0,0,94.0,19857.0,1.44
1158,148,2014,,52.0,494.0,0.3,0.17,,,,,,1,189.0,,
1159,148,2012,,,,0.7,0.17,,,,,,1,401.0,,
1160,149,2017,35267.0,54.0,242.0,,2.17,78889.0,98.0,8.0,25692.0,16.0,6,,317403.0,3.0
1161,149,2018,35267.0,54.0,242.0,,1.09,,,,,17.0,3,,317406.0,4.0
1162,149,2016,35267.0,54.0,242.0,,3.98,,,,,15.0,11,,317406.0,3.85
1163,149,2015,35267.0,54.0,242.0,3.1,3.26,,,,,14.0,9,859.0,317406.0,3.85
1164,149,2013,35267.0,,,2.4,1.81,,,,,12.0,5,666.0,317406.0,1.96
1165,149,2011,35267.0,,,2.1,1.45,,,,,10.0,4,587.0,317406.0,2.33
1166,149,2014,,59.0,243.0,2.4,2.17,,,,,,6,664.0,,
1167,149,2012,,,,2.4,1.45,,,,,,4,667.0,,
1168,150,2017,5987.0,0.0,0.0,,0.72,38021.0,90.0,3.0,12364.0,33.0,4,,41909.0,21.0
1169,150,2018,5987.0,0.0,0.0,,0.0,,,,,34.0,0,,41912.0,18.0
1170,150,2016,5987.0,0.0,0.0,,0.0,,,,,32.0,0,,41912.0,27.58
1171,150,2015,5987.0,0.0,0.0,0.4,0.18,,,,,31.0,1,236.0,41912.0,26.46
1172,150,2013,6986.0,,,0.4,0.18,,,,,36.0,1,218.0,41918.0,22.43
1173,150,2011,6986.0,,,0.2,0.0,,,,,34.0,0,108.0,41918.0,22.81
1174,150,2014,,0.0,0.0,0.4,0.18,,,,,,1,242.0,,
1175,150,2012,,,,0.4,0.36,,,,,,2,224.0,,
1176,151,2017,5142.0,41.0,530.0,,1.31,111951.0,100.0,0.0,19389.0,22.0,7,,35994.0,2.0
1177,151,2018,5142.0,56.0,727.0,,1.87,,,,,23.0,10,,35996.0,2.0
1178,151,2016,5142.0,50.0,558.0,,1.49,,,,,21.0,8,,35996.0,2.53
1179,151,2015,5142.0,50.0,558.0,0.8,3.37,,,,,20.0,18,404.0,35996.0,2.45
1180,151,2013,5142.0,,,0.6,0.75,,,,,18.0,4,297.0,35996.0,2.18
1181,151,2011,5142.0,,,0.3,0.19,,,,,16.0,1,138.0,35996.0,2.42
1182,151,2014,,50.0,558.0,0.5,0.37,,,,,,2,290.0,,
1183,151,2012,,,,0.6,0.19,,,,,,1,329.0,,
1184,152,2017,1836.0,0.0,0.0,,0.17,66438.0,97.0,10.0,17449.0,12.0,1,,1836.0,13.0
1185,152,2018,1836.0,0.0,0.0,,0.17,,,,,13.0,1,,1836.0,11.0
1186,152,2016,1836.0,0.0,0.0,,0.0,,,,,11.0,0,,1836.0,14.4
1187,152,2015,1836.0,0.0,0.0,0.0,0.0,,,,,10.0,0,2.0,1836.0,13.73
1188,152,2013,1836.0,,,0.0,0.0,,,,,8.0,0,2.0,1836.0,13.1
1189,152,2011,1836.0,,,0.0,0.17,,,,,6.0,1,3.0,1836.0,14.42
1190,152,2014,,0.0,0.0,0.0,0.0,,,,,,0,0.0,,
1191,152,2012,,,,0.0,0.17,,,,,,1,1.0,,
1192,153,2017,15879.0,39.0,474.0,,0.86,97750.0,96.0,3.0,25058.0,15.0,7,,396975.0,8.0
1193,153,2018,15853.0,40.0,486.0,,0.86,,,,,16.0,7,,396325.0,7.0
1194,153,2016,15879.0,38.0,468.0,,1.11,,,,,14.0,9,,396981.0,8.65
1195,153,2015,15709.0,38.0,468.0,1.9,0.98,,,,,13.0,8,1552.0,377006.0,8.27
1196,153,2013,16190.0,,,1.9,1.11,,,,,12.0,9,1521.0,372364.0,6.99
1197,153,2011,17256.0,,,1.1,1.6,,,,,10.0,13,877.0,396884.0,7.17
1198,153,2014,,38.0,468.0,1.8,1.97,,,,,,16,1435.0,,
1199,153,2012,,,,1.8,2.46,,,,,,20,1446.0,,
1200,154,2017,12504.0,40.0,460.0,,0.55,89947.0,94.0,19.0,15590.0,19.0,4,,162552.0,7.0
1201,154,2018,12504.0,40.0,461.0,,0.14,,,,,20.0,1,,162554.0,6.0
1202,154,2016,12504.0,40.0,460.0,,3.56,,,,,18.0,26,,162551.0,5.36
1203,154,2015,12225.0,40.0,460.0,0.6,0.96,,,,,17.0,7,466.0,158926.0,5.26
1204,154,2013,13168.0,,,0.5,0.0,,,,,14.0,0,343.0,158012.0,7.05
1205,154,2011,12753.0,,,0.3,0.68,,,,,12.0,5,223.0,153033.0,7.29
1206,154,2014,,39.0,448.0,0.5,0.96,,,,,,7,351.0,,
1207,154,2012,,,,0.4,0.68,,,,,,5,273.0,,
1208,155,2017,9132.0,0.0,0.0,,0.88,52483.0,93.0,4.0,6617.0,34.0,11,,91320.0,12.0
1209,155,2018,11496.0,0.0,0.0,,0.48,,,,,30.0,6,,137956.0,11.0
1210,155,2016,9657.0,0.0,0.0,,0.64,,,,,37.0,8,,86913.0,14.62
1211,155,2015,8646.0,0.0,0.0,0.2,0.8,,,,,36.0,10,253.0,77813.0,14.28
1212,155,2013,8646.0,,,0.2,0.0,,,,,34.0,0,215.0,77813.0,15.29
1213,155,2011,8646.0,,,0.1,0.0,,,,,32.0,0,146.0,77813.0,18.76
1214,155,2014,,0.0,0.0,0.2,0.0,,,,,,0,247.0,,
1215,155,2012,,,,0.2,0.08,,,,,,1,211.0,,
1216,156,2017,8988.0,0.0,0.0,,0.27,58807.0,91.0,8.0,13823.0,25.0,3,,89880.0,16.0
1217,156,2018,9567.0,0.0,0.0,,0.18,,,,,26.0,2,,86102.0,16.0
1218,156,2016,8988.0,0.0,0.0,,0.18,,,,,24.0,2,,89881.0,21.66
1219,156,2015,7138.0,0.0,0.0,0.3,0.45,,,,,23.0,5,382.0,71381.0,21.62
1220,156,2013,7247.0,,,0.3,0.0,,,,,22.0,0,362.0,79717.0,19.28
1221,156,2011,9111.0,,,0.1,0.0,,,,,20.0,0,94.0,100217.0,22.01
1222,156,2014,,0.0,0.0,0.4,0.09,,,,,,1,433.0,,
1223,156,2012,,,,0.4,0.09,,,,,,1,400.0,,
1224,157,2017,19980.0,74.0,209.0,,4.37,25875.0,81.0,40.0,11741.0,54.0,25,,2857140.0,58.0
1225,157,2018,19339.0,74.0,206.0,,3.5,,,,,55.0,20,,2726826.0,56.0
1226,157,2016,19723.0,75.0,215.0,,2.1,,,,,54.0,12,,2859811.0,72.34
1227,157,2015,19738.0,75.0,215.0,6.0,2.97,,,,,53.0,17,3407.0,2881703.0,73.67
1228,157,2013,20517.0,,,5.9,1.22,,,,,52.0,7,3386.0,3077509.0,59.42
1229,157,2011,20521.0,,,7.5,1.57,,,,,50.0,9,4292.0,3098612.0,64.92
1230,157,2014,,81.0,318.0,6.2,4.72,,,,,,27,3557.0,,
1231,157,2012,,,,6.1,2.1,,,,,,12,3480.0,,
1232,158,2017,67522.0,0.0,0.0,,0.41,44313.0,84.0,3.0,7272.0,36.0,5,,2768402.0,32.0
1233,158,2018,66765.0,0.0,0.0,,0.49,,,,,37.0,6,,2804141.0,28.0
1234,158,2016,69609.0,0.0,0.0,,1.14,,,,,36.0,14,,2784350.0,37.44
1235,158,2015,65360.0,0.0,0.0,1.6,1.39,,,,,34.0,17,1945.0,2810489.0,35.78
1236,158,2013,69368.0,,,1.3,0.41,,,,,33.0,5,1635.0,2774725.0,31.16
1237,158,2011,70245.0,,,1.4,0.74,,,,,31.0,9,1655.0,2809818.0,30.94
1238,158,2014,,0.0,0.0,1.3,0.33,,,,,,4,1632.0,,
1239,158,2012,,,,1.4,0.57,,,,,,7,1668.0,,
1240,159,2017,30033.0,0.0,0.0,,1.23,22000.0,81.0,5.0,5829.0,44.0,6,,450495.0,49.0
