,NPA,year,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,park_proximate_units,low_birthweight,pharmacy_proximate_units,pharmacy_proximity,public_health_insurance,age_of_death,low_cost_healthcare_proximate_units,low_cost_healthcare_proximity,park_proximity
0,2,2018,,349.0,,32.0,576.0,,431.0,40.0,,,205.0,19.0,53.0
1,2,2017,,353.0,,32.0,574.0,,9.0,1.0,15.0,,231.0,21.0,53.0
2,2,2016,6.7,205.0,60.0,19.0,576.0,10.0,18.0,2.0,,70.0,230.0,21.0,53.0
3,2,2015,,205.0,,19.0,575.0,,206.0,19.0,18.0,,,,53.0
4,2,2014,1.4,204.0,75.7,19.0,,21.6,,,13.0,68.0,,,
5,2,2011,,223.0,,21.0,,,218.0,20.0,,,,,
6,2,2013,,,,,575.0,,219.0,20.0,,,,,53.0
7,2,2012,0.0,,84.6,,,9.2,,,,70.0,,,
8,3,2018,,4611.0,,78.0,5373.0,,5598.0,94.0,,,2936.0,50.0,91.0
9,3,2017,,3349.0,,78.0,4741.0,,4848.0,92.0,6.0,,3976.0,75.0,90.0
10,3,2016,3.0,3113.0,80.2,66.0,4524.0,6.9,4320.0,91.0,,70.0,4011.0,85.0,96.0
11,3,2015,,3118.0,,66.0,4547.0,,4330.0,91.0,4.0,,,,96.0
12,3,2014,3.5,2565.0,83.0,54.0,,8.7,,,8.0,70.0,,,
13,3,2011,,2540.0,,57.0,,,4245.0,95.0,,,,,
14,3,2013,,,,,4467.0,,4513.0,95.0,,,,,94.0
15,3,2012,4.4,,92.3,,,7.2,,,,70.0,,,
16,4,2018,,67.0,,16.0,6.0,,82.0,20.0,,,7.0,2.0,1.0
17,4,2017,,52.0,,16.0,6.0,,0.0,0.0,1.0,,11.0,3.0,1.0
18,4,2016,0.0,52.0,70.6,13.0,6.0,5.9,60.0,15.0,,76.0,93.0,23.0,1.0
19,4,2015,,52.0,,13.0,6.0,,58.0,14.0,1.0,,,,1.0
20,4,2014,7.1,52.0,85.7,13.0,,14.3,,,1.0,80.0,,,
21,4,2011,,85.0,,21.0,,,60.0,15.0,,,,,
22,4,2013,,,,,6.0,,60.0,15.0,,,,,1.0
23,4,2012,0.0,,100.0,,,0.0,,,,80.0,,,
24,5,2018,,24.0,,8.0,310.0,,163.0,51.0,,,140.0,44.0,97.0
25,5,2017,,31.0,,8.0,311.0,,159.0,49.0,43.0,,128.0,40.0,97.0
26,5,2016,12.5,43.0,50.0,13.0,302.0,16.7,170.0,52.0,,65.0,93.0,29.0,93.0
27,5,2015,,45.0,,14.0,307.0,,172.0,52.0,53.0,,,,93.0
28,5,2014,13.0,45.0,52.2,14.0,,17.4,,,38.0,65.0,,,
29,5,2011,,116.0,,35.0,,,31.0,9.0,,,,,
30,5,2013,,,,,306.0,,170.0,52.0,,,,,93.0
31,5,2012,3.8,,69.2,,,3.8,,,,55.0,,,
32,6,2018,,411.0,,51.0,542.0,,684.0,85.0,,,507.0,63.0,67.0
33,6,2017,,544.0,,51.0,527.0,,679.0,83.0,38.0,,525.0,65.0,65.0
34,6,2016,5.3,548.0,49.1,67.0,534.0,7.0,701.0,86.0,,66.0,528.0,65.0,65.0
35,6,2015,,547.0,,67.0,533.0,,701.0,86.0,48.0,,,,65.0
36,6,2014,8.9,550.0,55.4,67.0,,25.0,,,35.0,60.0,,,
37,6,2011,,671.0,,81.0,,,714.0,87.0,,,,,
38,6,2013,,,,,536.0,,749.0,91.0,,,,,65.0
39,6,2012,10.3,,62.1,,,10.3,,,,65.0,,,
40,7,2018,,183.0,,42.0,367.0,,138.0,32.0,,,115.0,27.0,85.0
41,7,2017,,202.0,,42.0,367.0,,159.0,37.0,,,117.0,27.0,85.0
42,7,2016,0.0,200.0,63.6,47.0,362.0,18.2,157.0,37.0,,79.0,171.0,40.0,85.0
43,7,2015,,199.0,,47.0,360.0,,156.0,37.0,,,,,85.0
44,7,2014,0.0,198.0,91.7,47.0,,0.0,,,,81.0,,,
45,7,2011,,180.0,,43.0,,,155.0,37.0,,,,,
46,7,2013,,,,,357.0,,155.0,37.0,,,,,84.0
47,7,2012,0.0,,100.0,,,10.0,,,,75.0,,,
48,8,2018,,151.0,,14.0,916.0,,335.0,31.0,,,287.0,27.0,85.0
49,8,2017,,135.0,,14.0,694.0,,5.0,0.0,13.0,,298.0,29.0,67.0
50,8,2016,0.0,135.0,80.0,13.0,701.0,5.0,327.0,32.0,,84.0,298.0,29.0,68.0
51,8,2015,,135.0,,13.0,695.0,,331.0,32.0,9.0,,,,67.0
52,8,2014,0.0,127.0,90.7,12.0,,4.7,,,20.0,85.0,,,
53,8,2011,,108.0,,12.0,,,217.0,24.0,,,,,
54,8,2013,,,,,697.0,,331.0,32.0,,,,,68.0
55,8,2012,0.0,,93.0,,,4.7,,,,80.0,,,
56,9,2018,,282.0,,93.0,304.0,,304.0,100.0,,,304.0,100.0,100.0
57,9,2017,,249.0,,93.0,294.0,,294.0,100.0,11.0,,291.0,99.0,100.0
58,9,2016,0.0,246.0,77.8,81.0,305.0,5.6,304.0,100.0,,62.0,301.0,99.0,100.0
59,9,2015,,243.0,,80.0,302.0,,301.0,100.0,10.0,,,,100.0
60,9,2014,0.0,246.0,87.0,81.0,,17.4,,,7.0,74.0,,,
61,9,2011,,299.0,,98.0,,,304.0,100.0,,,,,
62,9,2013,,,,,305.0,,304.0,100.0,,,,,100.0
63,9,2012,5.3,,84.2,,,10.5,,,,80.0,,,
64,10,2018,,1036.0,,65.0,1581.0,,1364.0,85.0,,,945.0,59.0,99.0
65,10,2017,,1245.0,,65.0,1579.0,,1358.0,86.0,29.0,,984.0,62.0,100.0
66,10,2016,1.8,1246.0,60.2,78.0,1585.0,12.4,1365.0,86.0,,69.0,986.0,62.0,100.0
67,10,2015,,1245.0,,78.0,1585.0,,1269.0,80.0,29.0,,,,100.0
68,10,2014,3.6,1245.0,71.2,78.0,,14.4,,,29.0,67.0,,,
69,10,2011,,1096.0,,69.0,,,1273.0,80.0,,,,,
70,10,2013,,,,,1588.0,,1270.0,80.0,,,,,100.0
71,10,2012,10.6,,73.1,,,14.4,,,,71.0,,,
72,11,2018,,745.0,,59.0,1253.0,,578.0,46.0,,,379.0,30.0,100.0
73,11,2017,,772.0,,59.0,1231.0,,378.0,31.0,1.0,,375.0,30.0,100.0
74,11,2016,0.0,767.0,82.2,63.0,1225.0,7.8,571.0,47.0,,77.0,374.0,31.0,100.0
75,11,2015,,675.0,,55.0,1225.0,,567.0,46.0,1.0,,,,100.0
76,11,2014,0.0,675.0,85.4,56.0,,10.1,,,1.0,83.0,,,
77,11,2011,,689.0,,57.0,,,710.0,59.0,,,,,
78,11,2013,,,,,1212.0,,723.0,60.0,,,,,100.0
79,11,2012,0.0,,100.0,,,10.5,,,,77.0,,,
80,12,2018,,0.0,,0.0,738.0,,1169.0,93.0,,,1169.0,93.0,59.0
81,12,2017,,0.0,,0.0,738.0,,1257.0,100.0,31.0,,1169.0,93.0,59.0
82,12,2016,4.3,0.0,53.2,0.0,738.0,9.6,1257.0,100.0,,64.0,1169.0,93.0,59.0
83,12,2015,,0.0,,0.0,738.0,,1257.0,100.0,34.0,,,,59.0
84,12,2014,8.3,0.0,52.1,0.0,,12.5,,,27.0,62.0,,,
85,12,2011,,0.0,,0.0,,,0.0,0.0,,,,,
86,12,2013,,,,,738.0,,1257.0,100.0,,,,,59.0
87,12,2012,6.8,,63.6,,,11.4,,,,58.0,,,
88,13,2018,,258.0,,14.0,1253.0,,440.0,24.0,,,0.0,0.0,68.0
89,13,2017,,257.0,,14.0,1263.0,,436.0,24.0,16.0,,0.0,0.0,69.0
90,13,2016,2.6,0.0,56.4,0.0,1251.0,9.4,435.0,24.0,,64.0,0.0,0.0,68.0
91,13,2015,,0.0,,0.0,1248.0,,432.0,24.0,18.0,,,,68.0
92,13,2014,3.9,0.0,56.3,0.0,,6.8,,,15.0,67.0,,,
93,13,2011,,0.0,,0.0,,,416.0,23.0,,,,,
94,13,2013,,,,,1234.0,,415.0,23.0,,,,,68.0
95,13,2012,4.2,,61.5,,,6.3,,,,63.0,,,
96,14,2018,,960.0,,60.0,1081.0,,968.0,60.0,,,188.0,12.0,67.0
97,14,2017,,1011.0,,60.0,1393.0,,1011.0,63.0,14.0,,764.0,47.0,86.0
98,14,2016,3.9,1010.0,59.7,63.0,1395.0,15.5,1010.0,63.0,,64.0,764.0,47.0,86.0
99,14,2015,,1011.0,,63.0,1396.0,,1011.0,63.0,16.0,,,,86.0
100,14,2014,1.0,1012.0,68.6,63.0,,6.7,,,10.0,65.0,,,
101,14,2011,,969.0,,60.0,,,1012.0,63.0,,,,,
102,14,2013,,,,,1396.0,,1012.0,63.0,,,,,86.0
103,14,2012,0.0,,76.5,,,16.5,,,,65.0,,,
104,15,2018,,0.0,,0.0,511.0,,0.0,0.0,,,0.0,0.0,60.0
105,15,2017,,0.0,,0.0,503.0,,0.0,0.0,5.0,,0.0,0.0,59.0
106,15,2016,0.0,0.0,76.3,0.0,493.0,13.6,0.0,0.0,,78.0,0.0,0.0,59.0
107,15,2015,,0.0,,0.0,488.0,,0.0,0.0,6.0,,,,59.0
108,15,2014,0.0,0.0,85.7,0.0,,4.8,,,5.0,73.0,,,
109,15,2011,,0.0,,0.0,,,0.0,0.0,,,,,
110,15,2013,,,,,480.0,,0.0,0.0,,,,,58.0
111,15,2012,0.0,,95.7,,,4.3,,,,75.0,,,
112,16,2018,,333.0,,16.0,1009.0,,1331.0,63.0,,,300.0,14.0,48.0
113,16,2017,,344.0,,16.0,986.0,,871.0,41.0,29.0,,275.0,13.0,47.0
114,16,2016,3.7,344.0,57.9,16.0,986.0,9.8,1422.0,67.0,,65.0,1208.0,57.0,47.0
115,16,2015,,409.0,,19.0,984.0,,1137.0,54.0,31.0,,,,47.0
116,16,2014,3.0,409.0,58.0,19.0,,14.8,,,22.0,63.0,,,
117,16,2011,,73.0,,3.0,,,1288.0,61.0,,,,,
118,16,2013,,,,,984.0,,1281.0,61.0,,,,,47.0
119,16,2012,2.7,,72.6,,,10.3,,,,67.0,,,
120,17,2018,,913.0,,73.0,1122.0,,418.0,33.0,,,394.0,32.0,90.0
121,17,2017,,946.0,,73.0,1117.0,,416.0,33.0,30.0,,383.0,31.0,89.0
122,17,2016,7.8,470.0,41.8,38.0,1117.0,17.5,416.0,33.0,,67.0,383.0,31.0,89.0
123,17,2015,,472.0,,38.0,1120.0,,416.0,33.0,36.0,,,,89.0
124,17,2014,2.0,472.0,59.6,38.0,,11.1,,,28.0,67.0,,,
125,17,2011,,0.0,,0.0,,,408.0,32.0,,,,,
126,17,2013,,,,,1120.0,,416.0,33.0,,,,,89.0
127,17,2012,10.8,,56.8,,,16.2,,,,72.0,,,
128,18,2018,,419.0,,25.0,1331.0,,1090.0,65.0,,,1121.0,67.0,79.0
129,18,2017,,439.0,,25.0,1322.0,,1194.0,72.0,4.0,,1202.0,72.0,79.0
130,18,2016,0.0,498.0,74.4,29.0,1368.0,12.8,1243.0,73.0,,79.0,1409.0,83.0,81.0
131,18,2015,,497.0,,29.0,1365.0,,1412.0,83.0,4.0,,,,81.0
132,18,2014,2.7,497.0,86.3,29.0,,5.5,,,4.0,84.0,,,
133,18,2011,,8.0,,1.0,,,1309.0,82.0,,,,,
134,18,2013,,,,,1369.0,,1401.0,83.0,,,,,81.0
135,18,2012,0.0,,87.7,,,13.6,,,,77.0,,,
136,19,2018,,509.0,,29.0,1356.0,,518.0,29.0,,,0.0,0.0,77.0
137,19,2017,,607.0,,29.0,1339.0,,607.0,34.0,4.0,,0.0,0.0,76.0
138,19,2016,2.1,607.0,81.4,34.0,1339.0,9.3,618.0,35.0,,77.0,0.0,0.0,76.0
139,19,2015,,607.0,,34.0,1339.0,,618.0,35.0,5.0,,,,76.0
140,19,2014,1.1,607.0,85.3,35.0,,3.2,,,2.0,80.0,,,
141,19,2011,,510.0,,29.0,,,618.0,35.0,,,,,
142,19,2013,,,,,1336.0,,618.0,35.0,,,,,76.0
143,19,2012,0.0,,87.8,,,8.5,,,,75.0,,,
144,20,2018,,1081.0,,74.0,196.0,,827.0,57.0,,,306.0,21.0,14.0
145,20,2017,,1009.0,,74.0,225.0,,789.0,54.0,4.0,,321.0,22.0,16.0
146,20,2016,1.4,1009.0,71.4,69.0,225.0,10.0,1083.0,75.0,,79.0,321.0,22.0,15.0
147,20,2015,,1009.0,,69.0,225.0,,1083.0,75.0,5.0,,,,15.0
148,20,2014,0.0,1009.0,82.2,69.0,,4.1,,,3.0,76.0,,,
149,20,2011,,1077.0,,74.0,,,1083.0,75.0,,,,,
150,20,2013,,,,,225.0,,1083.0,75.0,,,,,15.0
151,20,2012,0.0,,85.7,,,7.1,,,,74.0,,,
152,21,2018,,533.0,,44.0,1103.0,,0.0,0.0,,,326.0,27.0,91.0
153,21,2017,,445.0,,44.0,1122.0,,0.0,0.0,30.0,,337.0,28.0,92.0
154,21,2016,0.9,0.0,44.4,0.0,1125.0,10.2,532.0,43.0,,57.0,337.0,28.0,92.0
155,21,2015,,0.0,,0.0,1123.0,,529.0,43.0,37.0,,,,92.0
156,21,2014,1.7,0.0,55.4,0.0,,8.3,,,32.0,62.0,,,
157,21,2011,,483.0,,41.0,,,479.0,41.0,,,,,
158,21,2013,,,,,1123.0,,525.0,43.0,,,,,92.0
159,21,2012,4.0,,54.5,,,7.9,,,,68.0,,,
160,22,2018,,0.0,,0.0,688.0,,0.0,0.0,,,0.0,0.0,100.0
161,22,2017,,0.0,,0.0,696.0,,0.0,0.0,10.0,,0.0,0.0,100.0
162,22,2016,10.0,0.0,45.0,0.0,508.0,15.0,0.0,0.0,,58.0,0.0,0.0,100.0
163,22,2015,,0.0,,0.0,499.0,,0.0,0.0,15.0,,,,100.0
164,22,2014,8.3,0.0,66.7,0.0,,0.0,,,12.0,68.0,,,
165,22,2011,,85.0,,18.0,,,0.0,0.0,,,,,
166,22,2013,,,,,364.0,,0.0,0.0,,,,,100.0
167,22,2012,5.3,,78.9,,,21.1,,,,69.0,,,
168,23,2018,,0.0,,0.0,525.0,,0.0,0.0,,,8.0,1.0,95.0
169,23,2017,,0.0,,0.0,532.0,,0.0,0.0,49.0,,3.0,1.0,97.0
170,23,2016,7.7,0.0,71.8,0.0,533.0,12.8,0.0,0.0,,69.0,3.0,1.0,97.0
171,23,2015,,0.0,,0.0,533.0,,0.0,0.0,50.0,,,,97.0
172,23,2014,5.6,0.0,55.6,0.0,,5.6,,,45.0,68.0,,,
173,23,2011,,0.0,,0.0,,,0.0,0.0,,,,,
174,23,2013,,,,,533.0,,0.0,0.0,,,,,97.0
175,23,2012,0.0,,75.0,,,14.3,,,,67.0,,,
176,24,2018,,0.0,,0.0,421.0,,119.0,28.0,,,0.0,0.0,99.0
177,24,2017,,0.0,,0.0,441.0,,160.0,36.0,7.0,,0.0,0.0,99.0
178,24,2016,2.8,0.0,61.1,0.0,441.0,11.1,147.0,33.0,,77.0,0.0,0.0,99.0
179,24,2015,,0.0,,0.0,443.0,,0.0,0.0,12.0,,,,99.0
180,24,2014,8.9,0.0,64.4,0.0,,6.7,,,13.0,80.0,,,
181,24,2011,,0.0,,0.0,,,0.0,0.0,,,,,
182,24,2013,,,,,464.0,,0.0,0.0,,,,,98.0
183,24,2012,2.4,,68.3,,,4.9,,,,78.0,,,
184,25,2018,,0.0,,0.0,515.0,,172.0,15.0,,,0.0,0.0,45.0
185,25,2017,,296.0,,0.0,504.0,,296.0,26.0,3.0,,0.0,0.0,45.0
186,25,2016,0.0,296.0,86.0,26.0,495.0,3.5,296.0,26.0,,78.0,0.0,0.0,44.0
187,25,2015,,296.0,,27.0,489.0,,296.0,27.0,4.0,,,,44.0
188,25,2014,0.0,296.0,72.7,27.0,,3.0,,,2.0,74.0,,,
189,25,2011,,230.0,,21.0,,,296.0,27.0,,,,,
190,25,2013,,,,,579.0,,296.0,27.0,,,,,52.0
191,25,2012,0.0,,95.6,,,8.9,,,,70.0,,,
192,26,2018,,140.0,,13.0,16.0,,0.0,0.0,,,0.0,0.0,1.0
193,26,2017,,140.0,,13.0,15.0,,0.0,0.0,8.0,,0.0,0.0,1.0
194,26,2016,1.7,136.0,65.0,13.0,15.0,1.7,0.0,0.0,,71.0,0.0,0.0,1.0
195,26,2015,,136.0,,13.0,15.0,,0.0,0.0,11.0,,,,1.0
196,26,2014,1.4,136.0,68.6,13.0,,5.7,,,7.0,75.0,,,
197,26,2011,,146.0,,14.0,,,0.0,0.0,,,,,
198,26,2013,,,,,14.0,,0.0,0.0,,,,,1.0
199,26,2012,3.0,,80.3,,,7.6,,,,69.0,,,
200,27,2018,,673.0,,68.0,67.0,,653.0,66.0,,,0.0,0.0,7.0
201,27,2017,,674.0,,68.0,67.0,,674.0,68.0,19.0,,0.0,0.0,7.0
202,27,2016,0.0,674.0,56.9,68.0,67.0,13.9,674.0,68.0,,64.0,0.0,0.0,7.0
203,27,2015,,674.0,,68.0,67.0,,674.0,68.0,23.0,,,,7.0
204,27,2014,0.0,674.0,55.7,68.0,,4.3,,,20.0,75.0,,,
205,27,2011,,659.0,,67.0,,,673.0,68.0,,,,,
206,27,2013,,,,,67.0,,674.0,68.0,,,,,7.0
207,27,2012,4.2,,74.6,,,4.2,,,,47.0,,,
208,28,2018,,319.0,,57.0,211.0,,506.0,90.0,,,490.0,88.0,38.0
209,28,2017,,344.0,,57.0,210.0,,344.0,62.0,3.0,,488.0,88.0,38.0
210,28,2016,0.0,342.0,85.7,62.0,209.0,4.8,511.0,93.0,,87.0,550.0,100.0,38.0
211,28,2015,,343.0,,62.0,210.0,,343.0,62.0,1.0,,,,38.0
212,28,2014,0.0,343.0,88.2,63.0,,0.0,,,2.0,82.0,,,
213,28,2011,,273.0,,50.0,,,512.0,94.0,,,,,
214,28,2013,,,,,210.0,,513.0,94.0,,,,,38.0
215,28,2012,0.0,,95.7,,,0.0,,,,80.0,,,
216,29,2018,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0
217,29,2017,,0.0,,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,0.0
218,29,2016,0.0,0.0,84.6,0.0,0.0,11.5,0.0,0.0,,83.0,0.0,0.0,0.0
219,29,2015,,0.0,,0.0,0.0,,0.0,0.0,5.0,,,,0.0
220,29,2014,11.8,0.0,70.6,0.0,,17.7,,,2.0,73.0,,,
221,29,2011,,0.0,,0.0,,,0.0,0.0,,,,,
222,29,2013,,,,,12.0,,0.0,0.0,,,,,2.0
223,29,2012,0.0,,90.9,,,9.1,,,,81.0,,,
224,30,2018,,613.0,,56.0,874.0,,634.0,58.0,,,0.0,0.0,80.0
225,30,2017,,595.0,,56.0,1096.0,,620.0,57.0,32.0,,1057.0,96.0,100.0
226,30,2016,7.5,275.0,43.3,28.0,987.0,13.4,511.0,52.0,,66.0,948.0,96.0,100.0
227,30,2015,,146.0,,17.0,810.0,,152.0,18.0,45.0,,,,95.0
228,30,2014,6.6,0.0,63.9,0.0,,23.0,,,56.0,61.0,,,
229,30,2011,,0.0,,0.0,,,6.0,1.0,,,,,
230,30,2013,,,,,504.0,,7.0,1.0,,,,,100.0
231,30,2012,9.1,,70.5,,,22.7,,,,65.0,,,
232,31,2018,,136.0,,20.0,141.0,,22.0,3.0,,,137.0,20.0,20.0
233,31,2017,,164.0,,20.0,141.0,,31.0,5.0,2.0,,182.0,27.0,21.0
234,31,2016,0.0,161.0,86.4,24.0,141.0,6.8,28.0,4.0,,83.0,179.0,26.0,21.0
235,31,2015,,160.0,,24.0,141.0,,27.0,4.0,2.0,,,,21.0
236,31,2014,0.0,162.0,89.1,24.0,,8.7,,,1.0,79.0,,,
237,31,2011,,0.0,,0.0,,,30.0,4.0,,,,,
238,31,2013,,,,,141.0,,30.0,4.0,,,,,21.0
239,31,2012,0.0,,97.0,,,9.1,,,,75.0,,,
240,32,2018,,220.0,,100.0,168.0,,220.0,100.0,,,0.0,0.0,76.0
241,32,2017,,220.0,,100.0,176.0,,220.0,100.0,7.0,,0.0,0.0,80.0
242,32,2016,0.0,220.0,66.7,100.0,176.0,11.1,220.0,100.0,,,0.0,0.0,80.0
243,32,2015,,220.0,,100.0,176.0,,220.0,100.0,7.0,,,,80.0
244,32,2014,,220.0,,100.0,,,,,7.0,,,,
245,32,2011,,220.0,,100.0,,,220.0,100.0,,,,,
246,32,2013,,,,,176.0,,220.0,100.0,,,,,80.0
247,32,2012,,,,,,,,,,73.0,,,
248,33,2018,,390.0,,62.0,0.0,,589.0,94.0,,,0.0,0.0,0.0
249,33,2017,,587.0,,62.0,1.0,,587.0,93.0,8.0,,390.0,62.0,0.0
250,33,2016,1.3,391.0,65.0,62.0,0.0,13.8,587.0,93.0,,62.0,390.0,62.0,0.0
251,33,2015,,391.0,,62.0,0.0,,587.0,93.0,12.0,,,,0.0
252,33,2014,0.0,587.0,69.6,94.0,,7.1,,,6.0,57.0,,,
253,33,2011,,390.0,,64.0,,,587.0,96.0,,,,,
254,33,2013,,,,,0.0,,587.0,94.0,,,,,0.0
255,33,2012,0.0,,68.8,,,4.2,,,,,,,
256,34,2018,,244.0,,27.0,0.0,,311.0,34.0,,,0.0,0.0,0.0
257,34,2017,,257.0,,27.0,3.0,,281.0,34.0,30.0,,0.0,0.0,0.0
258,34,2016,7.8,261.0,58.4,32.0,0.0,14.3,292.0,35.0,,63.0,0.0,0.0,0.0
259,34,2015,,257.0,,32.0,0.0,,288.0,35.0,32.0,,,,0.0
260,34,2014,3.5,253.0,57.9,31.0,,10.5,,,24.0,73.0,,,
261,34,2011,,227.0,,29.0,,,258.0,33.0,,,,,
262,34,2013,,,,,0.0,,280.0,35.0,,,,,0.0
263,34,2012,7.7,,56.9,,,13.8,,,,63.0,,,
264,35,2018,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0
265,35,2017,,0.0,,0.0,0.0,,0.0,0.0,15.0,,0.0,0.0,0.0
266,35,2016,1.4,0.0,71.8,0.0,0.0,7.0,0.0,0.0,,65.0,0.0,0.0,0.0
267,35,2015,,0.0,,0.0,16.0,,0.0,0.0,21.0,,,,2.0
268,35,2014,9.4,0.0,71.7,0.0,,5.7,,,15.0,72.0,,,
269,35,2011,,0.0,,0.0,,,0.0,0.0,,,,,
270,35,2013,,,,,16.0,,0.0,0.0,,,,,2.0
271,35,2012,3.8,,86.8,,,5.7,,,,68.0,,,
272,36,2018,,443.0,,33.0,1145.0,,507.0,38.0,,,689.0,52.0,86.0
273,36,2017,,482.0,,33.0,1140.0,,482.0,36.0,8.0,,637.0,48.0,86.0
274,36,2016,0.0,393.0,73.9,32.0,1046.0,7.3,393.0,32.0,,75.0,625.0,51.0,85.0
275,36,2015,,393.0,,32.0,1045.0,,393.0,32.0,9.0,,,,85.0
276,36,2014,0.0,223.0,78.1,21.0,,7.8,,,8.0,70.0,,,
277,36,2011,,188.0,,18.0,,,223.0,22.0,,,,,
278,36,2013,,,,,865.0,,223.0,21.0,,,,,82.0
279,36,2012,0.0,,75.6,,,2.4,,,,73.0,,,
280,37,2018,,0.0,,0.0,787.0,,67.0,9.0,,,0.0,0.0,100.0
281,37,2017,,113.0,,0.0,776.0,,35.0,5.0,32.0,,0.0,0.0,100.0
282,37,2016,3.5,99.0,63.2,13.0,774.0,21.1,34.0,4.0,,57.0,0.0,0.0,100.0
283,37,2015,,99.0,,13.0,779.0,,34.0,4.0,36.0,,,,100.0
284,37,2014,7.1,100.0,51.8,13.0,,14.3,,,35.0,61.0,,,
285,37,2011,,0.0,,0.0,,,38.0,5.0,,,,,
286,37,2013,,,,,780.0,,35.0,4.0,,,,,100.0
287,37,2012,6.9,,77.8,,,16.7,,,,68.0,,,
288,38,2018,,332.0,,39.0,507.0,,178.0,21.0,,,0.0,0.0,60.0
289,38,2017,,271.0,,39.0,516.0,,149.0,18.0,6.0,,0.0,0.0,61.0
290,38,2016,0.0,271.0,70.0,32.0,516.0,8.0,216.0,26.0,,72.0,0.0,0.0,61.0
291,38,2015,,271.0,,32.0,516.0,,158.0,19.0,7.0,,,,61.0
292,38,2014,2.2,271.0,82.2,32.0,,6.7,,,5.0,76.0,,,
293,38,2011,,289.0,,34.0,,,123.0,15.0,,,,,
294,38,2013,,,,,516.0,,271.0,32.0,,,,,61.0
295,38,2012,0.0,,73.1,,,11.5,,,,64.0,,,
296,39,2018,,108.0,,11.0,594.0,,94.0,9.0,,,0.0,0.0,60.0
297,39,2017,,143.0,,11.0,145.0,,0.0,0.0,19.0,,0.0,0.0,15.0
298,39,2016,7.8,112.0,66.2,12.0,138.0,14.3,0.0,0.0,,72.0,0.0,0.0,14.0
299,39,2015,,111.0,,12.0,135.0,,0.0,0.0,27.0,,,,14.0
300,39,2014,6.2,111.0,60.5,12.0,,13.6,,,16.0,65.0,,,
301,39,2011,,309.0,,33.0,,,0.0,0.0,,,,,
302,39,2013,,,,,133.0,,0.0,0.0,,,,,14.0
303,39,2012,4.7,,70.9,,,15.1,,,,62.0,,,
304,40,2018,,805.0,,66.0,894.0,,820.0,67.0,,,428.0,35.0,73.0
305,40,2017,,810.0,,66.0,860.0,,811.0,68.0,28.0,,435.0,36.0,72.0
306,40,2016,3.3,767.0,47.5,64.0,859.0,10.8,930.0,78.0,,61.0,576.0,48.0,72.0
307,40,2015,,762.0,,64.0,852.0,,841.0,71.0,33.0,,,,72.0
308,40,2014,2.3,762.0,46.6,64.0,,10.2,,,23.0,65.0,,,
309,40,2011,,730.0,,62.0,,,789.0,67.0,,,,,
310,40,2013,,,,,850.0,,841.0,71.0,,,,,72.0
311,40,2012,8.6,,57.0,,,8.6,,,,64.0,,,
312,41,2018,,198.0,,26.0,774.0,,378.0,49.0,,,22.0,3.0,100.0
313,41,2017,,386.0,,26.0,774.0,,290.0,37.0,12.0,,9.0,1.0,100.0
314,41,2016,2.4,338.0,57.1,44.0,773.0,2.4,354.0,46.0,,71.0,9.0,1.0,100.0
315,41,2015,,334.0,,43.0,773.0,,357.0,46.0,14.0,,,,100.0
316,41,2014,3.3,382.0,70.0,49.0,,6.7,,,9.0,72.0,,,
317,41,2011,,95.0,,12.0,,,329.0,43.0,,,,,
318,41,2013,,,,,773.0,,357.0,46.0,,,,,100.0
319,41,2012,0.0,,73.1,,,7.7,,,,73.0,,,
320,42,2018,,28.0,,2.0,1095.0,,28.0,2.0,,,0.0,0.0,82.0
321,42,2017,,46.0,,2.0,1095.0,,46.0,3.0,6.0,,0.0,0.0,82.0
322,42,2016,1.6,46.0,80.3,3.0,1095.0,11.5,46.0,3.0,,70.0,0.0,0.0,82.0
323,42,2015,,46.0,,3.0,1095.0,,46.0,3.0,6.0,,,,82.0
324,42,2014,0.0,46.0,91.1,3.0,,11.1,,,5.0,77.0,,,
325,42,2011,,27.0,,2.0,,,46.0,3.0,,,,,
326,42,2013,,,,,1095.0,,46.0,3.0,,,,,82.0
327,42,2012,2.3,,90.9,,,4.5,,,,76.0,,,
328,43,2018,,390.0,,60.0,0.0,,390.0,60.0,,,0.0,0.0,0.0
329,43,2017,,403.0,,60.0,0.0,,403.0,62.0,6.0,,0.0,0.0,0.0
330,43,2016,0.0,403.0,71.1,62.0,0.0,2.6,403.0,62.0,,82.0,0.0,0.0,0.0
331,43,2015,,403.0,,62.0,0.0,,403.0,62.0,9.0,,,,0.0
332,43,2014,0.0,403.0,87.2,62.0,,7.7,,,9.0,77.0,,,
333,43,2011,,376.0,,59.0,,,395.0,62.0,,,,,
334,43,2013,,,,,0.0,,403.0,62.0,,,,,0.0
335,43,2012,3.0,,84.8,,,3.0,,,,82.0,,,
336,44,2018,,0.0,,0.0,363.0,,0.0,0.0,,,0.0,0.0,74.0
337,44,2017,,2.0,,0.0,357.0,,2.0,0.0,4.0,,0.0,0.0,74.0
