,NPA,year,commuters_driving_alone,water_consumption_total,impervious_surface_area,electricity_consumption,adopt_a_street_length,recycling_participation,tree_canopy_area,solid_waste_diversion_rate,residential_canopy_area,electricity_consumption_total,impervious_surface,solid_waste,adopt_a_street,tree_canopy,natural_gas_consumption,commuters_driving_alone_moe,recycling_participating_units,adopt_a_stream_length,solid_waste_diverted,natural_gas_consumption_total,solid_waste_total,residential_tree_canopy,water_consumption,adopt_a_stream
0,2.0,2012,,,,991.0,,,230.9,,168.5,1250238.0,,,,56.2,,,,,,,,68.7,,
1,2.0,2018,,57785.0,92.0,,,,,,,,22.4,,,,,,,,,,,,118.0,
2,2.0,2017,76.0,,92.0,,3.71,,,,,,22.4,,28.18,,,15.0,,0.3,,,,,,15.79
3,2.0,2016,,56282.0,91.0,,,,,,,,22.2,,,,,,,1.93,,,,,113.0,100.0
4,2.0,2015,,,91.0,,,,,,,,22.1,,,,,,,0.32,,,,,,16.38
5,2.0,2013,,56389.0,95.0,1078.0,,55.7,,40.2,,1356368.0,23.1,7.2,,,43.0,,281.0,0.0,267.0,25932.0,3635.0,,118.0,0.0
6,2.0,2011,,,96.0,,,,,,,,y_2011,,,,,,,0.0,,,,,,0.0
7,2.0,2014,,55895.0,,,,,,,,,,,,,,,,,,,,,112.0,
8,3.0,2012,,,,973.0,,,485.2,,260.6,4028335.0,,,,42.0,,,,,,,,60.7,,
9,3.0,2018,,285554.0,448.0,,,,,,,,38.8,,,,,,,,,,,,163.0,
10,3.0,2017,85.0,,446.0,,31.13,,,,,,38.6,,52.24,,,8.0,,4.6,,,,,,100.0
11,3.0,2016,,308527.0,438.0,,,,,,,,37.9,,,,,,,4.6,,,,,176.0,100.0
12,3.0,2015,,,431.0,,,,,,,,37.3,,,,,,,4.23,,,,,,92.01
13,3.0,2013,,275334.0,427.0,1012.0,,42.6,,41.1,,4195164.0,36.9,6.8,,,49.0,,838.0,5.79,1001.0,106609.0,13363.0,,159.0,94.56
14,3.0,2011,,,427.0,,,,,,,,23.3,,,,,,,3.58,,,,,,58.4
15,3.0,2014,,290732.0,,,,,,,,,,,,,,,,,,,,,161.0,
16,4.0,2012,,,,1929.0,,,217.3,,178.5,732981.0,,,,66.0,,,,,,,,68.4,,
17,4.0,2018,,88791.0,69.0,,,,,,,,21,,,,,,,,,,,,248.0,
18,4.0,2017,93.0,,68.0,,1.01,,,,,,20.7,,8.78,,,21.0,,0.0,,,,,,0.0
19,4.0,2016,,95494.0,66.0,,,,,,,,20,,,,,,,1.58,,,,,267.0,100.0
20,4.0,2015,,,65.0,,,,,,,,19.7,,,,,,,1.58,,,,,,100.0
21,4.0,2013,,85096.0,65.0,1858.0,,47.6,,40.8,,770938.0,19.7,9.2,,,81.0,,177.0,1.58,255.0,29066.0,3425.0,,247.0,100.0
22,4.0,2011,,,65.0,,,,,,,,36.9,,,,,,,1.58,,,,,,99.68
23,4.0,2014,,83321.0,,,,,,,,,,,,,,,,,,,,,233.0,
24,5.0,2012,,,,866.0,,,70.5,,28.0,193958.0,,,,42.2,,,,,,,,56.0,,
25,5.0,2018,,19825.0,36.0,,,,,,,,21.5,,,,,,,,,,,,124.0,
26,5.0,2017,56.0,,36.0,,1.85,,,,,,21.5,,25.13,,,26.0,,0.0,,,,,,0.0
27,5.0,2016,,19421.0,37.0,,,,,,,,22.1,,,,,,,0.0,,,,,124.0,0.0
28,5.0,2015,,,37.0,,,,,,,,22.1,,,,,,,0.0,,,,,,0.0
29,5.0,2013,,17391.0,43.0,822.0,,36.1,,23.4,,188945.0,25.7,7.4,,,53.0,,68.0,0.0,60.0,6296.0,1399.0,,113.0,0.0
30,5.0,2011,,,37.0,,,,,,,,19.7,,,,,,,0.0,,,,,,0.0
31,5.0,2014,,18243.0,,,,,,,,,,,,,,,,,,,,,100.0,
32,6.0,2012,,,,1011.0,,,176.3,,108.3,747787.0,,,,43.7,,,,,,,,63.7,,
33,6.0,2018,,70849.0,100.0,,,,,,,,24.8,,,,,,,,,,,,118.0,
34,6.0,2017,57.0,,101.0,,4.4,,,,,,25.1,,25.08,,,17.0,,,,,,,,
35,6.0,2016,,77854.0,101.0,,,,,,,,25,,,,,,,,,,,,131.0,
36,6.0,2015,,,101.0,,,,,,,,25,,,,,,,,,,,,,
37,6.0,2013,,71345.0,101.0,1020.0,,31.5,,29.6,,735700.0,25,7.5,,,51.0,,203.0,,259.0,18674.0,4802.0,,127.0,
38,6.0,2011,,,103.0,,,,,,,,22.1,,,,,,,,,,,,,
39,6.0,2014,,70955.0,,,,,,,,,,,,,,,,,,,,,107.0,
40,7.0,2012,,,,3164.0,,,305.4,,214.2,1224325.0,,,,55.7,,,,,,,,64.3,,
41,7.0,2018,,102171.0,146.0,,,,,,,,26.7,,,,,,,,,,,,301.0,
42,7.0,2017,98.0,,147.0,,5.91,,,,,,26.8,,28.06,,,24.0,,1.1,,,,,,100.0
43,7.0,2016,,113057.0,147.0,,,,,,,,26.8,,,,,,,1.1,,,,,333.0,100.0
44,7.0,2015,,,145.0,,,,,,,,26.5,,,,,,,1.1,,,,,,100.0
45,7.0,2013,,106196.0,145.0,3161.0,,50.9,,42.8,,1239208.0,26.5,9.6,,,113.0,,216.0,1.12,318.0,47784.0,4066.0,,314.0,100.0
46,7.0,2011,,,143.0,,,,,,,,25.5,,,,,,,1.1,,,,,,98.74
47,7.0,2014,,106423.0,,,,,,,,,,,,,,,,,,,,,312.0,
48,8.0,2012,,,,908.0,,,356.6,,138.5,676448.0,,,,59.8,,,,,,,,67.4,,
49,8.0,2018,,56631.0,89.0,,,,,,,,14.9,,,,,,,,,,,,124.0,
50,8.0,2017,89.0,,87.0,,5.45,,,,,,14.6,,27.99,,,24.0,,3.0,,,,,,100.0
51,8.0,2016,,57573.0,87.0,,,,,,,,14.6,,,,,,,2.42,,,,,132.0,80.67
52,8.0,2015,,,87.0,,,,,,,,14.6,,,,,,,2.28,,,,,,76.19
53,8.0,2013,,55367.0,86.0,884.0,,60.2,,46.4,,673448.0,14.4,8.1,,,50.0,,271.0,2.89,307.0,29717.0,3623.0,,131.0,63.37
54,8.0,2011,,,87.0,,,,,,,,26.1,,,,,,,1.71,,,,,,37.42
55,8.0,2014,,54456.0,,,,,,,,,,,,,,,,,,,,,124.0,
56,9.0,2012,,,,935.0,,,55.7,,41.1,275932.0,,,,59.5,,,,,,,,67.7,,
57,9.0,2018,,28352.0,21.0,,,,,,,,22.4,,,,,,,,,,,,104.0,
58,9.0,2017,85.0,,20.0,,0.91,,,,,,21.4,,12.03,,,31.0,,,,,,,,
59,9.0,2016,,26987.0,19.0,,,,,,,,20.3,,,,,,,,,,,,99.0,
60,9.0,2015,,,17.0,,,,,,,,18.2,,,,,,,,,,,,,
61,9.0,2013,,24627.0,17.0,836.0,,39.7,,34.6,,243968.0,18.2,5.9,,,40.0,,106.0,,100.0,8640.0,1588.0,,94.0,
62,9.0,2011,,,17.0,,,,,,,,14.6,,,,,,,,,,,,,
63,9.0,2014,,24950.0,,,,,,,,,,,,,,,,,,,,,88.0,
64,10.0,2012,,,,909.0,,,269.6,,194.8,1452800.0,,,,48.9,,,,,,,,63.5,,
65,10.0,2018,,124871.0,125.0,,,,,,,,22.7,,,,,,,,,,,,101.0,
66,10.0,2017,80.0,,125.0,,4.01,,,,,,22.7,,14.36,,,15.0,,,,,,,,
67,10.0,2016,,131736.0,123.0,,,,,,,,22.3,,,,,,,,,,,,106.0,
68,10.0,2015,,,122.0,,,,,,,,22.1,,,,,,,,,,,,,
69,10.0,2013,,126367.0,121.0,836.0,,38.2,,29.3,,1346805.0,21.9,7.9,,,45.0,,539.0,,595.0,39423.0,11120.0,,106.0,
70,10.0,2011,,,123.0,,,,,,,,18.2,,,,,,,,,,,,,
71,10.0,2014,,127824.0,,,,,,,,,,,,,,,,,,,,,99.0,
72,11.0,2012,,,,1033.0,,,285.7,,184.8,1320351.0,,,,56.0,,,,,,,,67.4,,
73,11.0,2018,,138325.0,145.0,,,,,,,,28.4,,,,,,,,,,,,174.0,
74,11.0,2017,94.0,,143.0,,10.51,,,,,,28,,51.83,,,16.0,,4.6,,,,,,100.0
75,11.0,2016,,144419.0,141.0,,,,,,,,27.6,,,,,,,4.6,,,,,181.0,100.0
76,11.0,2015,,,139.0,,,,,,,,27.2,,,,,,,3.56,,,,,,77.47
77,11.0,2013,,124595.0,142.0,1003.0,,73.2,,57.2,,1284389.0,27.8,7.3,,,49.0,,559.0,4.69,579.0,44286.0,5546.0,,165.0,100.0
78,11.0,2011,,,131.0,,,,,,,,22.3,,,,,,,3.49,,,,,,74.37
79,11.0,2014,,134433.0,,,,,,,,,,,,,,,,,,,,,168.0,
80,12.0,2012,,,,914.0,,,66.6,,62.1,1231399.0,,,,41.9,,,,,,,,47.0,,
81,12.0,2018,,,56.0,,,,,,,,35.3,,,,,,,,,,,,,
82,12.0,2017,67.0,,56.0,,0.0,,,,,,35.3,,0.0,,,13.0,,1.3,,,,,,100.0
83,12.0,2016,,,56.0,,,,,,,,35.3,,,,,,,1.27,,,,,,100.0
84,12.0,2015,,,57.0,,,,,,,,35.9,,,,,,,1.27,,,,,,100.0
85,12.0,2013,,,66.0,881.0,,,,,,1193747.0,41.6,,,,28.0,,,1.27,,6860.0,,,,100.0
86,12.0,2011,,,54.0,,,,,,,,25.7,,,,,,,0.01,,,,,,0.39
87,12.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
88,13.0,2012,,,,797.0,,,212.4,,166.2,1272301.0,,,,46.4,,,,,,,,65.7,,
89,13.0,2018,,65435.0,159.0,,,,,,,,34.8,,,,,,,,,,,,105.0,
90,13.0,2017,88.0,,157.0,,3.31,,,,,,34.3,,20.44,,,14.0,,,,,,,,
91,13.0,2016,,69332.0,157.0,,,,,,,,34.3,,,,,,,,,,,,109.0,
92,13.0,2015,,,157.0,,,,,,,,34.3,,,,,,,,,,,,,
93,13.0,2013,,65353.0,155.0,711.0,,41.6,,38.8,,1174801.0,33.9,7.0,,,47.0,,248.0,,297.0,26611.0,4195.0,,113.0,
94,13.0,2011,,,156.0,,,,,,,,34,,,,,,,,,,,,,
95,13.0,2014,,72923.0,,,,,,,,,,,,,,,,,,,,,116.0,
96,14.0,2012,,,,1040.0,,,190.7,,142.3,1654203.0,,,,43.7,,,,,,,,45.6,,
97,14.0,2018,,116965.0,90.0,,,,,,,,20.6,,,,,,,,,,,,138.0,
98,14.0,2017,83.0,,90.0,,0.0,,,,,,20.6,,0.0,,,18.0,,0.6,,,,,,30.0
99,14.0,2016,,117678.0,89.0,,,,,,,,20.4,,,,,,,0.64,,,,,136.0,32.0
100,14.0,2015,,,89.0,,,,,,,,20.4,,,,,,,0.64,,,,,,32.25
101,14.0,2013,,114530.0,88.0,935.0,,58.1,,30.1,,1477779.0,20.2,5.2,,,55.0,,504.0,0.65,250.0,45512.0,4548.0,,138.0,31.6
102,14.0,2011,,,92.0,,,,,,,,34.1,,,,,,,0.0,,,,,,0.0
103,14.0,2014,,119858.0,,,,,,,,,,,,,,,,,,,,,141.0,
104,15.0,2012,,,,1419.0,,,505.2,,296.0,1116787.0,,,,73.2,,,,,,,,75.8,,
105,15.0,2018,,118176.0,96.0,,,,,,,,13.9,,,,,,,,,,,,152.0,
106,15.0,2017,93.0,,95.0,,0.0,,,,,,13.8,,0.0,,,27.0,,1.8,,,,,,100.0
107,15.0,2016,,126547.0,95.0,,,,,,,,13.8,,,,,,,1.79,,,,,161.0,100.0
108,15.0,2015,,,95.0,,,,,,,,13.8,,,,,,,1.79,,,,,,100.0
109,15.0,2013,,125488.0,93.0,1333.0,,61.1,,54.7,,1113311.0,13.5,6.9,,,52.0,,484.0,1.8,541.0,28050.0,5426.0,,162.0,99.88
110,15.0,2011,,,95.0,,,,,,,,21.1,,,,,,,1.79,,,,,,99.39
111,15.0,2014,,123012.0,,,,,,,,,,,,,,,,,,,,,158.0,
112,16.0,2012,,,,932.0,,,384.9,,268.1,1962185.0,,,,53.1,,,,,,,,59.7,,
113,16.0,2018,,144282.0,157.0,,,,,,,,21.7,,,,,,,,,,,,138.0,
114,16.0,2017,84.0,,157.0,,0.01,,,,,,21.7,,0.04,,,13.0,,2.1,,,,,,100.0
115,16.0,2016,,145405.0,157.0,,,,,,,,21.7,,,,,,,2.12,,,,,138.0,100.0
116,16.0,2015,,,157.0,,,,,,,,21.6,,,,,,,2.12,,,,,,100.0
117,16.0,2013,,140715.0,174.0,898.0,,39.4,,43.9,,1887293.0,24,6.7,,,44.0,,460.0,2.14,623.0,61939.0,7770.0,,137.0,99.39
118,16.0,2011,,,165.0,,,,,,,,13.8,,,,,,,2.12,,,,,,98.61
119,16.0,2014,,139806.0,,,,,,,,,,,,,,,,,,,,,132.0,
120,17.0,2012,,,,1261.0,,,227.6,,179.3,1407462.0,,,,50.2,,,,,,,,56.5,,
121,17.0,2018,,115760.0,89.0,,,,,,,,19.6,,,,,,,,,,,,138.0,
122,17.0,2017,79.0,,89.0,,0.0,,,,,,19.6,,0.0,,,15.0,,0.0,,,,,,0.0
123,17.0,2016,,122108.0,87.0,,,,,,,,19.2,,,,,,,0.0,,,,,144.0,0.0
124,17.0,2015,,,88.0,,,,,,,,19.4,,,,,,,0.0,,,,,,0.0
125,17.0,2013,,125892.0,88.0,1404.0,,25.8,,26.6,,1620002.0,19.4,7.5,,,59.0,,221.0,0.0,311.0,35729.0,6395.0,,152.0,0.0
126,17.0,2011,,,91.0,,,,,,,,22.7,,,,,,,0.0,,,,,,0.0
127,17.0,2014,,121975.0,,,,,,,,,,,,,,,,,,,,,143.0,
128,18.0,2012,,,,1163.0,,,366.1,,266.3,1682393.0,,,,59.5,,,,,,,,63.9,,
129,18.0,2018,,161511.0,144.0,,,,,,,,23.4,,,,,,,,,,,,219.0,
130,18.0,2017,90.0,,141.0,,5.18,,,,,,22.9,,23.54,,,21.0,,2.6,,,,,,61.9
131,18.0,2016,,166493.0,140.0,,,,,,,,22.8,,,,,,,2.91,,,,,231.0,68.96
132,18.0,2015,,,140.0,,,,,,,,22.8,,,,,,,2.91,,,,,,69.01
133,18.0,2013,,138241.0,137.0,1373.0,,59.2,,47.4,,2120549.0,22.3,7.9,,,47.0,,438.0,2.61,506.0,60227.0,5852.0,,202.0,100.0
134,18.0,2011,,,135.0,,,,,,,,20.1,,,,,,,2.6,,,,,,99.62
135,18.0,2014,,150446.0,,,,,,,,,,,,,,,,,,,,,201.0,
136,19.0,2012,,,,1127.0,,,524.4,,395.5,1996081.0,,,,62.6,,,,,,,,69.6,,
137,19.0,2018,,171403.0,163.0,,,,,,,,19.5,,,,,,,,,,,,151.0,
138,19.0,2017,85.0,,162.0,,3.52,,,,,,19.3,,10.32,,,10.0,,4.0,,,,,,100.0
139,19.0,2016,,187910.0,161.0,,,,,,,,19.2,,,,,,,4.01,,,,,165.0,100.0
140,19.0,2015,,,159.0,,,,,,,,19,,,,,,,4.01,,,,,,100.0
141,19.0,2013,,184756.0,159.0,1094.0,,68.5,,44.4,,1946829.0,19,8.0,,,48.0,,903.0,4.02,850.0,53960.0,10487.0,,163.0,87.19
142,19.0,2011,,,163.0,,,,,,,,21.9,,,,,,,0.0,,,,,,0.0
143,19.0,2014,,179680.0,,,,,,,,,,,,,,,,,,,,,161.0,
144,20.0,2012,,,,887.0,,,141.0,,94.9,1165765.0,,,,35.3,,,,,,,,33.0,,
145,20.0,2018,,120213.0,93.0,,,,,,,,23.3,,,,,,,,,,,,136.0,
146,20.0,2017,87.0,,93.0,,0.91,,,,,,23.3,,6.32,,,27.0,,0.0,,,,,,0.0
147,20.0,2016,,129480.0,93.0,,,,,,,,23.3,,,,,,,0.19,,,,,143.0,14.29
148,20.0,2015,,,92.0,,,,,,,,23,,,,,,,0.0,,,,,,0.0
149,20.0,2013,,124937.0,93.0,922.0,,53.2,,36.4,,1315138.0,23.3,7.8,,,43.0,,358.0,0.0,348.0,48223.0,5239.0,,142.0,0.0
150,20.0,2011,,,88.0,,,,,,,,19.5,,,,,,,0.0,,,,,,0.0
151,20.0,2014,,113772.0,,,,,,,,,,,,,,,,,,,,,128.0,
152,21.0,2012,,,,949.0,,,265.8,,68.0,1040266.0,,,,29.1,,,,,,,,42.5,,
153,21.0,2018,,40078.0,261.0,,,,,,,,28.6,,,,,,,,,,,,116.0,
154,21.0,2017,73.0,,258.0,,5.71,,,,,,28.3,,27.89,,,12.0,,0.3,,,,,,9.68
155,21.0,2016,,40109.0,254.0,,,,,,,,27.8,,,,,,,0.77,,,,,116.0,25.0
156,21.0,2015,,,255.0,,,,,,,,28,,,,,,,2.19,,,,,,48.92
157,21.0,2013,,37359.0,261.0,875.0,,38.8,,23.9,,1005798.0,28.6,7.6,,,38.0,,127.0,2.24,108.0,10285.0,2484.0,,116.0,48.73
158,21.0,2011,,,250.0,,,,,,,,22,,,,,,,0.77,,,,,,16.72
159,21.0,2014,,39636.0,,,,,,,,,,,,,,,,,,,,,111.0,
160,22.0,2012,,,,872.0,,,78.9,,19.5,300867.0,,,,25.1,,,,,,,,35.3,,
161,22.0,2018,,16921.0,85.0,,,,,,,,27.1,,,,,,,,,,,,99.0,
162,22.0,2017,95.0,,78.0,,8.61,,,,,,24.8,,59.31,,,25.0,,0.0,,,,,,0.0
163,22.0,2016,,18538.0,77.0,,,,,,,,24.5,,,,,,,1.16,,,,,119.0,100.0
164,22.0,2015,,,80.0,,,,,,,,25.5,,,,,,,3.25,,,,,,99.77
165,22.0,2013,,20462.0,88.0,785.0,,29.9,,30.5,,284205.0,28,8.3,,,32.0,,52.0,3.28,81.0,6000.0,1450.0,,131.0,100.0
166,22.0,2011,,,86.0,,,,,,,,27.4,,,,,,,0.69,,,,,,20.98
167,22.0,2014,,18702.0,,,,,,,,,,,,,,,,,,,,,103.0,
168,23.0,2012,,,,718.0,,,139.9,,73.9,376735.0,,,,49.8,,,,,,,,59.3,,
169,23.0,2018,,25282.0,47.0,,,,,,,,16.7,,,,,,,,,,,,126.0,
170,23.0,2017,84.0,,47.0,,0.0,,,,,,16.7,,0.0,,,29.0,,1.7,,,,,,100.0
171,23.0,2016,,26887.0,47.0,,,,,,,,16.7,,,,,,,1.7,,,,,135.0,100.0
172,23.0,2015,,,47.0,,,,,,,,16.7,,,,,,,1.4,,,,,,82.77
173,23.0,2013,,29035.0,46.0,779.0,,43.8,,45.6,,415285.0,16.4,5.7,,,35.0,,110.0,1.71,119.0,14071.0,1427.0,,151.0,100.0
174,23.0,2011,,,47.0,,,,,,,,27.4,,,,,,,1.4,,,,,,82.25
175,23.0,2014,,26672.0,,,,,,,,,,,,,,,,,,,,,132.0,
176,24.0,2012,,,,819.0,,,87.6,,73.2,381753.0,,,,48.6,,,,,,,,59.4,,
177,24.0,2018,,40591.0,37.0,,,,,,,,20.6,,,,,,,,,,,,116.0,
178,24.0,2017,72.0,,37.0,,2.36,,,,,,20.6,,20.17,,,29.0,,,,,,,,
179,24.0,2016,,44073.0,38.0,,,,,,,,21.1,,,,,,,,,,,,118.0,
180,24.0,2015,,,38.0,,,,,,,,21.1,,,,,,,,,,,,,
181,24.0,2013,,45509.0,39.0,771.0,,42.3,,35.6,,356889.0,21.6,7.1,,,55.0,,147.0,,162.0,20513.0,2487.0,,122.0,
182,24.0,2011,,,41.0,,,,,,,,16.7,,,,,,,,,,,,,
183,24.0,2014,,48618.0,,,,,,,,,,,,,,,,,,,,,122.0,
184,25.0,2012,,,,1475.0,,,367.8,,259.1,1612657.0,,,,56.3,,,,,,,,61.5,,
185,25.0,2018,,173380.0,121.0,,,,,,,,18.5,,,,,,,,,,,,203.0,
186,25.0,2017,97.0,,120.0,,2.32,,,,,,18.4,,11.58,,,11.0,,0.0,,,,,,0.0
187,25.0,2016,,191849.0,118.0,,,,,,,,18.1,,,,,,,1.09,,,,,221.0,40.67
188,25.0,2015,,,116.0,,,,,,,,17.8,,,,,,,1.09,,,,,,40.59
189,25.0,2013,,175116.0,116.0,1400.0,,64.4,,41.9,,1541900.0,17.8,7.5,,,56.0,,568.0,0.0,504.0,41664.0,6589.0,,209.0,0.0
190,25.0,2011,,,119.0,,,,,,,,22.7,,,,,,,0.0,,,,,,0.0
191,25.0,2014,,166085.0,,,,,,,,,,,,,,,,,,,,,194.0,
192,26.0,2012,,,,1366.0,,,686.4,,215.4,292325.0,,,,60.8,,,,,,,,51.3,,
193,26.0,2018,,,78.0,,,,,,,,6.9,,,,,,,,,,,,,
194,26.0,2017,89.0,,78.0,,,,,,,,6.9,,,,,15.0,,0.0,,,,,,0.0
195,26.0,2016,,,77.0,,,,,,,,6.8,,,,,,,0.0,,,,,,0.0
196,26.0,2015,,,77.0,,,,,,,,6.8,,,,,,,0.0,,,,,,0.0
197,26.0,2013,,,76.0,1248.0,,,,,,263315.0,6.7,,,,60.0,,,0.0,,60221.0,,,,0.0
198,26.0,2011,,,80.0,,,,,,,,18.2,,,,,,,0.0,,,,,,0.0
199,26.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
200,27.0,2012,,,,963.0,,,131.9,,94.0,921848.0,,,,41.1,,,,,,,,42.4,,
201,27.0,2018,,102304.0,54.0,,,,,,,,16.8,,,,,,,,,,,,152.0,
202,27.0,2017,92.0,,55.0,,0.0,,,,,,17.1,,0.0,,,25.0,,0.0,,,,,,0.0
203,27.0,2016,,104820.0,55.0,,,,,,,,17.1,,,,,,,0.0,,,,,155.0,0.0
204,27.0,2015,,,54.0,,,,,,,,16.8,,,,,,,0.0,,,,,,0.0
205,27.0,2013,,100683.0,54.0,922.0,,58.2,,28.2,,882020.0,16.8,7.0,,,41.0,,386.0,0.0,238.0,30902.0,4639.0,,154.0,0.0
206,27.0,2011,,,54.0,,,,,,,,7.1,,,,,,,0.0,,,,,,0.0
207,27.0,2014,,103382.0,,,,,,,,,,,,,,,,,,,,,154.0,
208,28.0,2012,,,,1133.0,,,99.8,,85.3,553945.0,,,,51.4,,,,,,,,60.5,,
209,28.0,2018,,59354.0,63.0,,,,,,,,32.5,,,,,,,,,,,,236.0,
210,28.0,2017,87.0,,63.0,,2.41,,,,,,32.5,,24.63,,,34.0,,0.0,,,,,,0.0
211,28.0,2016,,64736.0,62.0,,,,,,,,32,,,,,,,1.06,,,,,250.0,100.0
212,28.0,2015,,,61.0,,,,,,,,31.4,,,,,,,1.06,,,,,,100.0
213,28.0,2013,,51762.0,61.0,1143.0,,78.5,,43.9,,603346.0,31.4,9.2,,,42.0,,226.0,,213.0,20221.0,2658.0,,205.0,
214,28.0,2011,,,56.0,,,,,,,,16.8,,,,,,,,,,,,,
215,28.0,2014,,53692.0,,,,,,,,,,,,,,,,,,,,,203.0,
216,29.0,2012,,,,1361.0,,,258.9,,131.5,760734.0,,,,63.4,,,,,,,,67.3,,
217,29.0,2018,,54969.0,65.0,,,,,,,,15.9,,,,,,,,,,,,186.0,
218,29.0,2017,90.0,,65.0,,0.0,,,,,,15.9,,0.0,,,24.0,,1.5,,,,,,25.0
219,29.0,2016,,59410.0,65.0,,,,,,,,15.9,,,,,,,4.07,,,,,198.0,67.95
220,29.0,2015,,,65.0,,,,,,,,15.9,,,,,,,4.07,,,,,,68.08
221,29.0,2013,,57279.0,70.0,1215.0,,70.3,,37.8,,684235.0,17.1,9.6,,,51.0,,265.0,3.01,249.0,16389.0,3610.0,,197.0,49.89
222,29.0,2011,,,64.0,,,,,,,,28.9,,,,,,,1.46,,,,,,24.24
223,29.0,2014,,58293.0,,,,,,,,,,,,,,,,,,,,,197.0,
224,30.0,2012,,,,632.0,,,137.7,,30.3,301226.0,,,,28.9,,,,,,,,36.0,,
225,30.0,2018,,12568.0,147.0,,,,,,,,30.8,,,,,,,,,,,,114.0,
226,30.0,2017,61.0,,144.0,,5.6,,,,,,30.2,,42.61,,,26.0,,1.1,,,,,,100.0
227,30.0,2016,,10876.0,143.0,,,,,,,,30,,,,,,,1.08,,,,,107.0,100.0
228,30.0,2015,,,140.0,,,,,,,,29.4,,,,,,,0.0,,,,,,0.0
229,30.0,2013,,11904.0,134.0,627.0,,19.5,,21.8,,297648.0,28.1,8.0,,,40.0,,21.0,1.08,34.0,17067.0,844.0,,123.0,100.0
230,30.0,2011,,,133.0,,,,,,,,15.7,,,,,,,1.08,,,,,,100.0
231,30.0,2014,,11581.0,,,,,,,,,,,,,,,,,,,,,96.0,
232,31.0,2012,,,,1369.0,,,274.0,,215.5,906305.0,,,,71.2,,,,,,,,74.3,,
233,31.0,2018,,111069.0,75.0,,,,,,,,19.5,,,,,,,,,,,,192.0,
234,31.0,2017,94.0,,74.0,,3.08,,,,,,19.2,,17.55,,,24.0,,1.6,,,,,,88.89
235,31.0,2016,,124061.0,74.0,,,,,,,,19.2,,,,,,,1.84,,,,,212.0,100.0
236,31.0,2015,,,73.0,,,,,,,,19,,,,,,,1.84,,,,,,100.0
237,31.0,2013,,109618.0,72.0,1309.0,,76.9,,41.0,,882531.0,18.7,8.1,,,62.0,,443.0,1.86,348.0,40284.0,4648.0,,194.0,100.0
238,31.0,2011,,,74.0,,,,,,,,27.9,,,,,,,0.01,,,,,,0.48
239,31.0,2014,,109944.0,,,,,,,,,,,,,,,,,,,,,192.0,
240,32.0,2012,,,,960.0,,,24.1,,7.4,221680.0,,,,27.7,,,,,,,,39.0,,
241,32.0,2018,,6449.0,38.0,,,,,,,,43.8,,,,,,,,,,,,93.0,
242,32.0,2017,90.0,,38.0,,0.0,,,,,,43.8,,0.0,,,46.0,,,,,,,,
243,32.0,2016,,7056.0,38.0,,,,,,,,43.8,,,,,,,,,,,,98.0,
244,32.0,2015,,,38.0,,,,,,,,43.8,,,,,,,,,,,,,
245,32.0,2013,,6949.0,37.0,852.0,,71.6,,41.3,,196757.0,42.6,10.3,,,20.0,,72.0,,78.0,393.0,1034.0,,101.0,
246,32.0,2011,,,37.0,,,,,,,,19.2,,,,,,,,,,,,,
247,32.0,2014,,6810.0,,,,,,,,,,,,,,,,,,,,,97.0,
248,33.0,2012,,,,929.0,,,118.3,,41.5,516650.0,,,,45.7,,,,,,,,46.6,,
249,33.0,2018,,4013.0,66.0,,,,,,,,25.5,,,,,,,,,,,,157.0,
250,33.0,2017,60.0,,67.0,,0.82,,,,,,25.9,,29.56,,,25.0,,,,,,,,
251,33.0,2016,,4277.0,67.0,,,,,,,,25.9,,,,,,,,,,,,168.0,
252,33.0,2015,,,66.0,,,,,,,,25.5,,,,,,,,,,,,,
253,33.0,2013,,3226.0,68.0,853.0,,45.6,,20.6,,475159.0,26.2,5.1,,,42.0,,19.0,,8.0,1035.0,210.0,,142.0,
254,33.0,2011,,,68.0,,,,,,,,42.6,,,,,,,,,,,,,
255,33.0,2014,,3738.0,,,,,,,,,,,,,,,,,,,,,156.0,
256,34.0,2012,,,,1082.0,,,505.8,,246.9,735791.0,,,,54.5,,,,,,,,59.5,,
257,34.0,2018,,123742.0,70.0,,,,,,,,7.5,,,,,,,,,,,,128.0,
258,34.0,2017,82.0,,64.0,,0.23,,,,,,6.9,,1.21,,,35.0,,0.0,,,,,,0.0
259,34.0,2016,,88451.0,59.0,,,,,,,,6.4,,,,,,,0.0,,,,,134.0,0.0
260,34.0,2015,,,58.0,,,,,,,,6.2,,,,,,,0.0,,,,,,0.0
261,34.0,2013,,75360.0,59.0,989.0,,35.6,,24.7,,683336.0,6.4,7.2,,,46.0,,227.0,0.0,207.0,20377.0,4599.0,,134.0,0.0
262,34.0,2011,,,59.0,,,,,,,,26.2,,,,,,,0.0,,,,,,0.0
263,34.0,2014,,76972.0,,,,,,,,,,,,,,,,,,,,,120.0,
264,35.0,2012,,,,1367.0,,,1318.4,,252.2,1045458.0,,,,57.8,,,,,,,,50.9,,
265,35.0,2018,,91088.0,172.0,,,,,,,,7.6,,,,,,,,,,,,115.0,
