,Unnamed: 0,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
1537,1537,361,2019,Hopper Communities,O-1,MUDD-O,CD,no,NO,2.65,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/03/22 14:13:30+00,2019/09/16 08:35:19+00,App,-1.0,172.85714285714286,-1.0,35.0,-1.0,33.285714285714285,-1.0,23.685714285714283,-1.0,64.9657142857143,83.85714285714286,12.811960132890373,19.537142857142857,33.57142857142857,19.1208791208791,136.28571428571428,3.0,12.285714285714286,20.428571428571427,3.142857142857143,1576.0,39.0,1.42,1.657142857142857
1538,1538,361,2019,Hopper Communities,I-2,MUDD-O,CD,no,NO,2.65,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/03/22 14:13:30+00,2019/09/16 08:35:32+00,App,-1.0,172.85714285714286,-1.0,35.0,-1.0,33.285714285714285,-1.0,23.685714285714283,-1.0,64.9657142857143,83.85714285714286,12.811960132890373,19.537142857142857,33.57142857142857,19.1208791208791,136.28571428571428,3.0,12.285714285714286,20.428571428571427,3.142857142857143,1576.0,39.0,1.42,1.657142857142857
1539,1539,361,2019,Wood Partners,R-22MF,TOD-CC,NC,no,NO,4.0,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/11/01 13:52:20+00,2020/03/16 00:00:00+00,App,-1.0,172.85714285714286,-1.0,35.0,-1.0,33.285714285714285,-1.0,23.685714285714283,-1.0,64.9657142857143,83.85714285714286,12.811960132890373,19.537142857142857,33.57142857142857,19.1208791208791,136.28571428571428,3.0,12.285714285714286,20.428571428571427,3.142857142857143,1576.0,39.0,1.42,1.657142857142857
1540,1540,361,2019,Wood Partners,R-5,TOD-CC,NC,no,NO,4.0,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/11/01 13:52:20+00,2020/03/16 00:00:00+00,App,-1.0,172.85714285714286,-1.0,35.0,-1.0,33.285714285714285,-1.0,23.685714285714283,-1.0,64.9657142857143,83.85714285714286,12.811960132890373,19.537142857142857,33.57142857142857,19.1208791208791,136.28571428571428,3.0,12.285714285714286,20.428571428571427,3.142857142857143,1576.0,39.0,1.42,1.657142857142857
1541,1541,361,2015,CitiSculpt,B-D(CD)(PED-O),O-1(PED),NC,no,NO,0.47,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2015/03/23 00:00:00+00,2015/07/20 00:00:00+00,App,-1.0,174.0,-1.0,39.0,-1.0,51.0,-1.0,23.0,-1.0,68.92,85.0,11.6279069767442,18.92,25.0,17.9487179487179,74.0,3.0,10.0,19.8,2.0,1140.0,39.0,1.42,1.6
1542,1542,361,2017,Alliance Residential Company,I-2,MUDD-O,CD,no,NO,10.04,CMUD,CMUD,YES,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/12/16 00:00:00+00,2017/04/17 00:00:00+00,App,-1.0,172.0,-1.0,32.0,-1.0,20.0,-1.0,24.2,-1.0,62.0,83.0,13.7,20.0,40.0,20.0,183.0,3.0,14.0,20.9,4.0,1903.0,39.0,1.42,1.7
1543,1543,361,2017,"Griffith Equities, LLC and E.C Griffith Company",I-1,MUDD-O,CD,no,NO,17.69,CMUD,CMUD,YES,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/03/27 00:00:00+00,2017/09/18 00:00:00+00,App,-1.0,172.0,-1.0,32.0,-1.0,20.0,-1.0,24.2,-1.0,62.0,83.0,13.7,20.0,40.0,20.0,183.0,3.0,14.0,20.9,4.0,1903.0,39.0,1.42,1.7
1544,1544,363,2017,ATCO,I-2,UMUD-O,CD,no,NO,72.0,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/02/24 00:00:00+00,2017/09/18 00:00:00+00,App,-1.0,458.0,-1.0,42.0,-1.0,41.0,-1.0,26.8,102.0,67.0,74.0,23.7,18.7,17.7,27.0,240.0,3.0,11.0,19.3,2.0,2963.0,46.0,1.23,1.3
1545,1545,363,2015,Jim Donaldson,I-2,NS,CD,no,NO,2.51,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2015/01/26 00:00:00+00,2015/05/18 00:00:00+00,App,-1.0,461.0,-1.0,38.0,-1.0,44.0,-1.0,26.5,102.0,74.17,59.0,22.4489795918367,12.64,5.26,26.9333333333333,195.0,3.0,13.0,19.3,2.0,2967.0,46.0,1.23,1.3
1546,1546,363,2017,City salvage I,I-1,I-2,NC,no,NO,0.685,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2017/08/25 00:00:00+00,,Wd,-1.0,458.0,-1.0,42.0,-1.0,41.0,-1.0,26.8,102.0,67.0,74.0,23.7,18.7,17.7,27.0,240.0,3.0,11.0,19.3,2.0,2963.0,46.0,1.23,1.3
