,Unnamed: 0,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
0,0,2,2020,Alenky Signature Homes LLC,R-4,R-8,NC,no,NO,0.398,CMUD,CMUD,YES,Wedge,,Travis Johnson,,,2020/02/18 15:12:46+00,2020/07/20 00:00:00+00,App,3.1666666666666665,204.33333333333334,70.46666666666667,19.0,17.733333333333334,13.0,68.66666666666667,22.2,112.33333333333333,48.00666666666667,78.66666666666667,38.81578947368421,39.955555555555556,60.95757575757576,12.666666666666666,756.3333333333334,2.0,61.333333333333336,4.3,5.0,2240.0,43.0,1.2,1.5
1,1,2,2019,Mark Heisig,O-2,R-4,NC,no,NO,0.33,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 11:14:14+00,2019/12/16 00:00:00+00,App,3.1666666666666665,204.33333333333334,70.46666666666667,19.0,17.733333333333334,13.0,68.66666666666667,22.2,112.33333333333333,48.00666666666667,78.66666666666667,38.81578947368421,39.955555555555556,60.95757575757576,12.666666666666666,756.3333333333334,2.0,61.333333333333336,4.3,5.0,2240.0,43.0,1.2,1.5
2,2,2,2014,"Eastway II Holdings, LLC",BD(CD),BD(CD),CD,SPA,NO,3.05,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/07/28 00:00:00+00,2014/10/20 00:00:00+00,App,1.4,204.0,75.7,19.0,21.6,13.0,68.0,22.2,112.0,48.96,75.0,39.473684210526315,45.83333333333333,63.63636363636363,11.5,603.0,2.0,54.0,4.3,5.0,2240.0,43.0,1.2,1.5
3,3,2,2014,"Eastway II Holdings, LLC",B-1SCD,BD(CD),CD,no,NO,3.74,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/07/28 00:00:00+00,2014/10/20 00:00:00+00,App,1.4,204.0,75.7,19.0,21.6,13.0,68.0,22.2,112.0,48.96,75.0,39.473684210526315,45.83333333333333,63.63636363636363,11.5,603.0,2.0,54.0,4.3,5.0,2240.0,43.0,1.2,1.5
4,4,2,2016,"Dr. Michael Berglass, DDS",UR-C(CD),UR-C(CD),CD,SPA,NO,0.44,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2015/12/23 00:00:00+00,2016/06/20 00:00:00+00,App,6.7,205.0,60.0,19.0,10.0,13.0,70.0,22.2,113.0,46.1,86.0,37.5,28.2,55.6,15.0,1063.0,2.0,76.0,4.3,5.0,2240.0,43.0,1.2,1.5
5,5,3,2015,"1700 South, LLC",B-1,TOD-M,NC,no,NO,0.26,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
6,6,3,2019,The Charlotte-Mecklenburg Hospital Authority,B-1,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
7,7,3,2017,ABW Charlotte,TOD-M,TOD-M(O),CD,no,NO,0.529,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/09/22 00:00:00+00,2018/01/26 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
8,8,3,2016,"Rockwell Capital, LLC",B-2,UR-3(CD),CD,no,NO,2.71,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/10/26 00:00:00+00,2016/04/18 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,6.5,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,7.0,76.0,2.4,7.0,7986.0,34.666666666666664,1.48,2.2
9,9,3,2015,Meeting Street Homes & Communities,R-22MF,MUDD(CD),CD,no,NO,0.419,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,,2014/11/21 00:00:00+00,2015/06/22 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
10,10,3,2014,Golden Triangle #2,MUDD-O,MUDD-O,CD,SPA,NO,1.3,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/01/27 00:00:00+00,2014/05/19 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
11,11,3,2014,Weekley Homes LP,R-5,UR-2(CD),CD,no,NO,1.02,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Lyte-Graham_Claire,2013/10/28 00:00:00+00,2014/04/14 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
12,12,3,2014,"Marsh Euclid Apartments, LLC",O-2,TOD-MO,CD,SPA,NO,2.99,CMUD,CMUD,YES,Corridor,South,Main_Kent,Goodwin_Alan,,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
13,13,3,2014,Weekley Homes LP,MUDD(CD),UR-2(CD),CD,no,NO,1.02,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Lyte-Graham_Claire,2013/10/28 00:00:00+00,2014/04/14 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
14,14,3,2015,Meeting Street Homes & Communities,B-1,MUDD(CD),CD,no,NO,0.419,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,,2014/11/21 00:00:00+00,2015/06/22 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
15,15,3,2018,Suncap Property Group LLC,R-8,R-8(CD),CD,no,NO,1.75,CMUD,CMUD,YES,Wedge,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2018/12/14 13:50:53+00,2019/09/16 08:21:47+00,App,3.375,4611.0,82.30000000000001,78.0,8.250000000000002,6.5,70.0,38.8,163.0,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,3991.0,7.0,67.0,2.4,8.0,9758.0,34.666666666666664,1.48,2.1
16,16,3,2019,"White Point Partners, LLC",B-1,TOD-UC,NC,no,NO,1.2,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2019/02/06 11:15:43+00,2019/06/17 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
17,17,3,2014,"New Carolina Income Properties, LLC",UR-2(CD),TOD-R(CD),CD,no,NO,0.4,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,,2013/11/25 00:00:00+00,2014/03/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
18,18,3,2014,Pulte Home Corporation,B-2,UR-2(CD),CD,no,NO,2.91,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2014/04/28 00:00:00+00,,Den,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
19,19,3,2017,ABW Charlotte,B-1,TOD-M(O),CD,no,NO,0.529,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/09/22 00:00:00+00,2018/01/26 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
20,20,3,2016,MDV Engineering,O-2,MUDD(O),CD,no,NO,0.21,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/03/28 00:00:00+00,,Wd,3.0,3113.0,80.2,66.0,6.9,6.5,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,7.0,76.0,2.4,7.0,7986.0,34.666666666666664,1.48,2.2
21,21,3,2018,Suncap Property Group LLC,R-22MF,MUDD(CD),CD,no,NO,1.75,CMUD,CMUD,YES,Wedge,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2018/12/14 13:50:53+00,2019/09/16 08:22:16+00,App,3.375,4611.0,82.30000000000001,78.0,8.250000000000002,6.5,70.0,38.8,163.0,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,3991.0,7.0,67.0,2.4,8.0,9758.0,34.666666666666664,1.48,2.1
22,22,3,2020,"Bridgewood Houston Property Company, LP",MUDD-O,MUDD-O,CD,SPA,NO,1.379,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/02/06 11:40:40+00,2020/07/20 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
23,23,3,2014,"Marsh Euclid Apartments, LLC",TOD-MO,TOD-MO,CD,SPA,NO,2.99,CMUD,CMUD,YES,Corridor,South,Main_Kent,Goodwin_Alan,,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
24,24,3,2017,Mecklenburg County,B-2,MUDD,NC,no,NO,2.82,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/22 00:00:00+00,2017/05/15 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
25,25,3,2017,South 48. LLC,B-2,TOD-M,NC,no,NO,1.4,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/10/23 00:00:00+00,2018/02/19 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
26,26,3,2014,"New Carolina Income Properties, LLC",UR-2(CD),TOD-RO,CD,no,NO,0.75,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,,2014/06/23 00:00:00+00,2014/11/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
27,27,3,2014,Pulte Home Corporation,R-5,UR-2(CD),CD,no,NO,2.91,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2014/04/28 00:00:00+00,,Den,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
28,28,3,2019,"Pacific National Group, LLC",B-1,TOD-UC,NC,no,NO,0.32,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Claire Lyte-Graham,2019/05/09 00:00:00+00,2019/10/21 08:58:48+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
29,29,3,2019,The Charlotte-Mecklenburg Hospital Authority,O-2,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
30,30,3,2016,"Rockwell Capital, LLC",R-5 ,UR-3(CD),CD,no,NO,2.71,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/10/26 00:00:00+00,2016/04/18 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,6.5,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,7.0,76.0,2.4,7.0,7986.0,34.666666666666664,1.48,2.2
31,31,3,2017,"Pappas Properties, LLC",B-2,O-2(PED),NC,no,NO,0.93,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
32,32,3,2015,"Selwyn Property Group Investments, LLC",R-22MF,UR-2(CD),CD,no,NO,0.4,CMUD,CMUD,YES,Wedge,,Cornett_Kathy,Dixon_Bridget,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
33,33,3,2019,The Charlotte-Mecklenburg Hospital Authority,R-22MF,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
34,34,3,2014,"The Raininer Group, LLC",TOD-R(CD),TOD-M(CD),CD,no,NO,1.28,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,,2013/06/24 00:00:00+00,2014/03/17 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
35,35,3,2016,"YMCA of Greater Charlotte, Inc.",O-2,TOD-MO,CD,no,NO,1.03,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2016/02/22 00:00:00+00,2016/06/20 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,6.5,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,7.0,76.0,2.4,7.0,7986.0,34.666666666666664,1.48,2.2
36,36,3,2018,CitiSculpt,O-2,MUDD-O,CD,no,NO,0.49,,,YES,Corridor,Central,Julia Lund,Grant Meacci,Solomon Fortune,2018/02/26 00:00:00+00,2018/07/16 00:00:00+00,App,3.375,4611.0,82.30000000000001,78.0,8.250000000000002,6.5,70.0,38.8,163.0,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,3991.0,7.0,67.0,2.4,8.0,9758.0,34.666666666666664,1.48,2.1
37,37,3,2019,The Charlotte-Mecklenburg Hospital Authority,O-6(CD),MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
38,38,3,2015,"Lat Purser & Associates, Inc.",R-22MF,TOD-M(O),CD,no,NO,0.52,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/07/24 00:00:00+00,2015/11/16 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
39,39,3,2019,The Charlotte-Mecklenburg Hospital Authority,B-2,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
40,40,3,2020,Five Hundred One Associates LL,UMUD,TOD-UC,NC,no,NO,0.759,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/01/16 07:32:48+00,2020/07/20 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
41,41,3,2020,Five Hundred One Associates LL,B-1,TOD-UC,NC,no,NO,0.759,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2020/01/16 07:32:48+00,,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
42,42,3,2014,Jeff Tonidandel,B-1(CD),B-1(PED-O),CD,no,NO,0.28,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Jones_Michelle,Sanders_Sonja,2013/11/22 00:00:00+00,,Wd,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
43,43,3,2015,YMCA of Greater Charlotte,B-1,MUDD-O,CD,no,NO,4.4,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/09/21 00:00:00+00,App,3.375,3118.0,82.30000000000001,66.0,8.250000000000002,4.0,70.0,37.3,164.47368421052633,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
44,44,3,2019,The Charlotte-Mecklenburg Hospital Authority,R-5,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
45,45,3,2019,JD Brooks,B-1,TOD-UC,NC,no,NO,0.15,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Claire Lyte-Graham,2019/04/17 09:50:45+00,2019/09/16 08:48:18+00,App,3.375,3092.483870967742,82.30000000000001,64.83870967741936,8.250000000000002,6.5,70.0,38.07368421052632,164.47368421052633,77.52571428571427,95.07142857142857,85.98095693779904,80.22193277310926,66.04285714285716,5.586195163997641,2758.0967741935483,7.0,46.29032258064516,2.4315789473684206,7.473684210526316,8512.736842105263,34.666666666666664,1.4863157894736843,2.121052631578948
46,46,3,2017,"Urban Investments, LLC",O-2,TOD-M,NC,no,NO,0.16,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Goodwin_Alan,Fortune_Solomon,2017/06/02 00:00:00+00,2017/10/16 00:00:00+00,App,3.375,3349.0,82.30000000000001,78.0,8.250000000000002,6.0,70.0,38.6,164.47368421052633,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,7.0,25.0,2.4,8.0,8816.0,34.666666666666664,1.48,2.1
47,47,3,2014,"NORCO, LLC",O-2,MUDD-O,CD,no,NO,0.21,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2014/09/22 00:00:00+00,,Wd,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,38.07368421052632,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,2.4315789473684206,7.473684210526316,8512.736842105263,35.0,1.4863157894736843,2.121052631578948
48,48,4,2016,"Simonini Saratoga Foxcroft, LLC",R-3,UR-2(CD),CD,no,NO,6.32,CMUD,CMUD,YES,Wedge,South,Main_Kent,Grant Meacci,John Kinley,2016/04/21 00:00:00+00,,Den,0.0,52.0,70.6,13.0,5.9,-1.0,76.0,20.0,267.0,79.5,100.0,96.15,85.7,66.7,2.0,695.0,-1.0,86.0,4.3,3.0,1080.0,-1.0,1.17,1.8
49,49,6,2019,Amerco Real Estate Company,B-1 SCD,B-D (CD),CD,no,NO,6.19,CMUD,CMUD,NO,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/01/28 10:15:37+00,,Wd,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,50,6,2019,Amerco Real Estate Company,B-1 SCD,B-2 (CD),CD,no,NO,6.19,CMUD,CMUD,NO,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/01/28 10:15:37+00,,Wd,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,51,6,2019,Freedom Communities,R-5,UR-2(CD),CD,no,NO,1.67,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/12/11 11:49:25+00,2020/05/18 00:00:00+00,App,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
