NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
88,2019,DRB Group,I-2(CD),UR-C(CD),CD,no,NO,11.48,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/11/27 08:36:26+00,2020/05/18 16:48:49+00,App,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,14.7,113.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,333.0,-1.0,52.0,11.2,3.0,1268.0,-1.0,1.21,1.8
91,2014,Charlotte-Mecklenburg Planning Department,No Zoning,R-4,NC,no,NO,9.0,CMUD,CMUD,NO,Wedge,East,Osborne_Alysia,Dixon_Bridget,Sanders_Sonja,2014/08/25 00:00:00+00,2015/09/21 00:00:00+00,App,6.6,0.0,65.6,0.0,3.3,22.0,62.0,-1.0,161.0,71.01,88.0,35.22727272727273,32.97872340425532,44.444444444444436,13.856812933025402,527.0,1.0,52.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
93,2017,WaterWalk Real Estate Services LLC,I-1,O-2(CD),CD,no,NO,5.75,CMUD,CMUD,YES,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/12/15 00:00:00+00,2018/04/16 00:00:00+00,App,-1.0,620.0,-1.0,99.0,-1.0,20.0,-1.0,23.4,-1.0,56.0,100.0,32.7,23.8,22.2,14.0,33.0,-1.0,4.0,25.3,2.0,1376.0,-1.0,1.23,1.3
93,2017,WaterWalk Real Estate Services LLC,B-D(CD),O-2(CD),CD,no,NO,5.75,CMUD,CMUD,YES,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/12/15 00:00:00+00,2018/04/16 00:00:00+00,App,-1.0,620.0,-1.0,99.0,-1.0,20.0,-1.0,23.4,-1.0,56.0,100.0,32.7,23.8,22.2,14.0,33.0,-1.0,4.0,25.3,2.0,1376.0,-1.0,1.23,1.3
93,2020,RIAB Properties LLC,R-3,O-2,NC,no,NO,2.962,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/12/23 14:10:06+00,2020/06/15 00:00:00+00,App,-1.0,620.0,-1.0,99.0,-1.0,20.0,-1.0,23.4,-1.0,56.0,100.0,32.7,23.8,22.2,14.0,33.0,-1.0,4.0,25.3,2.0,1376.0,-1.0,1.23,1.3
93,2020,RIAB Properties LLC,I-1,O-2,NC,no,NO,2.962,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/12/23 14:10:06+00,2020/06/15 00:00:00+00,App,-1.0,620.0,-1.0,99.0,-1.0,20.0,-1.0,23.4,-1.0,56.0,100.0,32.7,23.8,22.2,14.0,33.0,-1.0,4.0,25.3,2.0,1376.0,-1.0,1.23,1.3
94,2016,Central Piedmont Community College,INST,O-1,NC,no,NO,8.11,CMUD,CMUD,YES,Corridor,South,Main_Kent,Grant Meacci,John Kinleyi,2016/05/18 00:00:00+00,2016/10/17 00:00:00+00,App,8.3,124.0,36.1,33.0,11.1,-1.0,65.0,20.0,149.0,79.9,88.0,19.05,28.3,31.3,17.0,542.0,-1.0,75.0,16.9,2.0,1101.0,-1.0,1.27,1.5
94,2019,"C4 Investments, LLC",INST,R-22MF,NC,no,NO,10.54,CMUD,CMUD,YES,Corridor,South,Kent Main,Grant Meacci,John Kinley,2018/12/19 13:12:02+00,2019/05/20 14:35:31+00,App,8.3,124.0,36.1,33.0,11.1,-1.0,65.0,20.0,149.0,79.9,88.0,19.05,28.3,31.3,17.0,542.0,-1.0,75.0,16.9,2.0,1101.0,-1.0,1.27,1.5
94,2016,Central Piedmont Community College,B-1(CD),INST,NC,no,NO,10.6,CMUD,CMUD,YES,Corridor,South,Main_Kent,Grant Meacci,John Kinleyi,2016/05/18 00:00:00+00,2016/10/17 00:00:00+00,App,8.3,124.0,36.1,33.0,11.1,-1.0,65.0,20.0,149.0,79.9,88.0,19.05,28.3,31.3,17.0,542.0,-1.0,75.0,16.9,2.0,1101.0,-1.0,1.27,1.5
96,2015,Whitehall Corporate Ctr. Dev. Limited Partnership,MUDD-O,MUDD-O,CD,SPA,NO,15.16,CMUD,CMUD,YES,Mixed Use Activity Center,Southwest,Catherine Stutts,Dixon_Bridget,Lyte-Graham_Claire,2015/03/23 00:00:00+00,2015/10/19 00:00:00+00,App,-1.0,769.0,-1.0,43.0,-1.0,15.0,-1.0,22.7,-1.0,52.22,76.0,43.137254901960794,26.47,48.28,11.2334801762115,178.0,1.0,10.0,28.0,6.0,4272.0,100.0,1.17,1.3
